scenario,orders,status,checks
S0_0_paid_open_5,86,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S0_0_locked_open_5,29,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S0_10_paid_open_5,216,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S0_10_locked_open_5,159,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S0_30_paid_open_5,445,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S0_30_locked_open_5,403,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S1_F1_0_paid_open_5,91,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S1_F1_0_locked_open_5,49,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S1_F1_10_paid_open_5,311,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S1_F1_10_locked_open_5,251,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S1_F1_30_paid_open_5,572,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S1_F1_30_locked_open_5,572,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S2_F2_0_paid_open_5,93,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S2_F2_0_locked_open_5,32,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S2_F2_10_paid_open_5,211,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S2_F2_10_locked_open_5,154,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S2_F2_30_paid_open_5,675,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S2_F2_30_locked_open_5,645,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S1_F1_30_paid_open_10,572,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S1_F1_30_paid_post0935_5,572,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S1_F1_30_paid_post0935_10,572,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S1_F1_30_locked_open_10,339,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S1_F1_30_locked_post0935_5,572,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S1_F1_30_locked_post0935_10,299,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S0_30_paid_open_10,268,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S0_30_paid_post0935_5,664,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S0_30_paid_post0935_10,400,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S0_30_locked_open_10,238,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S0_30_locked_post0935_5,495,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
S0_30_locked_post0935_10,330,PASS,"independent window timing, source price, per-leg slippage and historical fee, event inventory, financial invariants"
