check,status,scenario
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S0_0_paid_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S0_0_locked_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S0_10_paid_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S0_10_locked_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S0_30_paid_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S0_30_locked_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S1_F1_0_paid_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S1_F1_0_locked_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S1_F1_10_paid_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S1_F1_10_locked_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S1_F1_30_paid_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S1_F1_30_locked_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S2_F2_0_paid_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S2_F2_0_locked_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S2_F2_10_paid_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S2_F2_10_locked_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S2_F2_30_paid_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S2_F2_30_locked_open_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S1_F1_30_paid_open_10
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S1_F1_30_paid_post0935_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S1_F1_30_paid_post0935_10
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S1_F1_30_locked_open_10
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S1_F1_30_locked_post0935_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S1_F1_30_locked_post0935_10
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S0_30_paid_open_10
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S0_30_paid_post0935_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S0_30_paid_post0935_10
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S0_30_locked_open_10
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S0_30_locked_post0935_5
"independent cash, inventory, receivable/equity, identical-capital hold, T+1",PASS,S0_30_locked_post0935_10
