scenario,date,clock,side,quantity_old,reference_old,value_old,fee_old,dividend_tax_old,sequence,quantity_new,reference_new,value_new,fee_new,dividend_tax_new,_merge
S0_0_paid_open_5,2020-03-04,13:05,BUY,100.0,16.85,1685.8425000000002,5.03371685,0.0,0,,,,,,left_only
S0_0_paid_open_5,2020-03-05,15:00,SELL,1000.0,17.16,17151.420000000002,22.494448400000003,0.0,0,,,,,,left_only
S0_0_paid_open_5,2020-03-06,09:25,BUY,1000.0,16.83,16838.415,5.3367683,0.0,0,100.0,16.83,1683.8414999999998,5.03367683,0.0,both
S0_0_paid_open_5,2020-03-20,09:25,BUY,1000.0,13.68,13686.84,5.2737368,0.0,0,900.0,13.68,12318.155999999999,5.24636312,0.0,both
S0_0_paid_open_5,2020-03-23,09:25,BUY,,,,,,0,100.0,13.1,1310.655,5.0262131,0.0,right_only
S0_0_paid_open_5,2020-03-23,15:00,SELL,1000.0,12.52,12513.74,17.764014799999998,0.0,0,,,,,,left_only
S0_0_paid_open_5,2020-03-24,09:25,BUY,900.0,12.75,11480.7375,5.22961475,0.0,0,,,,,,left_only
S0_0_paid_open_5,2020-03-24,15:00,SELL,,,,,,0,1000.0,13.02,13013.490000000002,18.2737598,0.0,right_only
S0_0_paid_open_5,2020-03-25,09:25,BUY,,,,,,0,900.0,13.4,12066.029999999999,5.2413206,0.0,right_only
S0_0_paid_open_5,2020-07-27,11:15,BUY,100.0,13.98,1398.6989999999998,5.02797398,0.0,0,,,,,,left_only
S0_0_paid_open_5,2020-07-28,15:00,SELL,1000.0,14.21,14202.895,19.4869529,18.0,0,,,,,,left_only
S0_0_paid_open_5,2020-07-29,09:25,BUY,900.0,14.22,12804.399,5.25608798,0.0,0,,,,,,left_only
S0_0_paid_open_5,2020-09-10,13:10,BUY,100.0,13.66,1366.683,5.02733366,0.0,0,,,,,,left_only
S0_0_paid_open_5,2020-09-11,15:00,SELL,1000.0,13.62,13613.19,18.8854538,0.0,0,,,,,,left_only
S0_0_paid_open_5,2020-09-14,09:25,BUY,900.0,13.62,12264.129,5.24528258,0.0,0,,,,,,left_only
S0_0_paid_open_5,2020-09-24,13:45,BUY,100.0,13.21,1321.6605,5.02643321,0.0,0,,,,,,left_only
S0_0_paid_open_5,2020-09-25,15:00,SELL,1000.0,13.17,13163.415,18.4266833,0.0,0,,,,,,left_only
S0_0_paid_open_5,2020-09-28,09:25,BUY,900.0,13.2,11885.94,5.2377188,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-05-24,14:45,BUY,100.0,12.42,1242.621,5.02485242,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-05-25,15:00,SELL,1000.0,12.64,12633.68,17.8863536,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-05-26,09:25,BUY,1000.0,12.56,12566.28,5.2513256,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-05-27,15:00,SELL,1000.0,12.62,12613.69,17.865963800000003,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-05-28,09:25,BUY,1000.0,12.56,12566.28,5.2513256,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-05-31,15:00,SELL,1000.0,12.42,12413.79,17.6620658,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-06-01,09:25,BUY,1000.0,12.42,12426.21,5.2485242,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-06-02,15:00,SELL,1000.0,12.22,12213.89,17.458167800000002,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-06-03,09:25,BUY,1000.0,12.22,12226.11,5.2445222,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-06-04,15:00,SELL,1000.0,12.22,12213.89,17.458167800000002,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-06-07,09:25,BUY,900.0,12.23,11012.5035,5.22025007,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-14,10:15,BUY,100.0,11.78,1178.589,5.02357178,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-15,15:00,SELL,1000.0,11.75,11744.125,16.9790075,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-16,09:25,BUY,900.0,11.72,10553.274,5.21106548,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-16,10:25,BUY,100.0,11.63,1163.5815,5.02327163,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-19,15:00,SELL,1000.0,11.56,11554.22,16.7853044,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-20,09:25,BUY,1000.0,11.51,11515.755,5.2303151,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-21,15:00,SELL,1000.0,11.77,11764.115,16.9993973,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-22,09:25,BUY,900.0,11.76,10589.292,5.21178584,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-23,09:40,BUY,100.0,11.58,1158.579,5.02317158,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-26,15:00,SELL,1000.0,11.62,11614.19,16.846473800000002,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-27,09:25,BUY,1000.0,11.43,11435.715,5.2287143,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-28,09:25,BUY,,,,,,0,100.0,11.28,1128.5639999999999,5.02257128,0.0,right_only
S0_0_paid_open_5,2021-07-28,15:00,SELL,1000.0,11.0,10994.5,16.21439,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-29,09:25,BUY,1000.0,11.05,11055.525,5.2211105,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-07-29,15:00,SELL,,,,,,0,1000.0,10.99,10984.505000000001,16.2041951,0.0,right_only
S0_0_paid_open_5,2021-07-30,09:25,BUY,,,,,,0,1000.0,10.96,10965.48,5.2193096,0.0,right_only
S0_0_paid_open_5,2021-07-30,15:00,SELL,1000.0,11.22,11214.39,16.4386778,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-08-02,09:25,BUY,1000.0,11.22,11225.61,5.2245122,0.0,0,,,,,,left_only
S0_0_paid_open_5,2021-08-02,15:00,SELL,,,,,,0,1000.0,11.81,11804.095000000001,17.040176900000002,0.0,right_only
S0_0_paid_open_5,2021-08-03,09:25,BUY,,,,,,0,1000.0,11.85,11855.925,5.2371185,0.0,right_only
