date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-01-02,15:00,SELL,1000,18.38,18370.81,23.738226200000003,0.0,18347.071773800002,0,close_proxy
2020-01-03,09:25,BUY,900,18.49,16649.320499999998,5.33298641,0.0,1692.4182873900027,900,daily_open_indicative
2020-03-06,09:25,BUY,100,16.83,1683.8414999999998,5.03367683,0.0,3.5431105600027877,1000,daily_open_indicative
2020-03-09,15:00,SELL,1000,16.18,16171.910000000002,21.495348200000002,0.0,16153.957762360005,0,close_proxy
2020-03-10,09:25,BUY,1000,15.98,15987.99,5.3197598,0.0,160.6480025600049,1000,daily_open_indicative
2020-03-11,15:00,SELL,1000,16.54,16531.73,21.8623646,0.0,16670.51563796,0,close_proxy
2020-03-12,09:25,BUY,1000,16.25,16258.125,5.3251625,0.0,407.06547546000184,1000,daily_open_indicative
2020-03-13,15:00,SELL,1000,15.65,15642.175000000001,20.9550185,0.0,16028.285456960002,0,close_proxy
2020-03-16,09:25,BUY,1000,15.68,15687.839999999998,5.3137568,0.0,335.1317001600037,1000,daily_open_indicative
2020-03-17,15:00,SELL,1000,13.91,13903.045,19.1811059,0.0,14218.995594260005,0,close_proxy
2020-03-18,09:25,BUY,1000,14.05,14057.025,5.2811405,0.0,156.68945376000556,1000,daily_open_indicative
2020-03-19,15:00,SELL,1000,13.51,13503.245,18.7733099,0.0,13641.161143860007,0,close_proxy
2020-03-20,09:25,BUY,900,13.68,12318.155999999999,5.24636312,0.0,1317.7587807400068,900,daily_open_indicative
2020-03-23,09:25,BUY,100,13.1,1310.655,5.0262131,0.0,2.0775676400069187,1000,daily_open_indicative
2020-03-24,15:00,SELL,1000,13.02,13013.490000000002,18.2737598,0.0,12997.293807840008,0,close_proxy
2020-03-25,09:25,BUY,900,13.4,12066.029999999999,5.2413206,0.0,926.0224872400086,900,daily_open_indicative
2022-04-26,09:25,BUY,100,9.17,917.4585,5.01834917,0.0,3.5456380700086356,1000,daily_open_indicative
2022-04-27,15:00,SELL,1000,9.37,9365.315,14.552621300000002,0.0,9354.30801677001,0,close_proxy
2022-04-28,09:25,BUY,1000,9.31,9314.654999999999,5.1862931,0.0,34.46672367001156,1000,daily_open_indicative
2022-04-29,15:00,SELL,1000,9.52,9515.24,14.6103924,0.0,9535.096331270011,0,close_proxy
2022-05-05,09:25,BUY,900,9.56,8608.302,5.08608302,0.0,921.7082482500118,900,daily_open_indicative
2022-05-10,09:25,BUY,100,9.11,911.4554999999999,5.009114555,0.0,5.2436336950119085,1000,daily_open_indicative
2022-05-11,15:00,SELL,1000,9.39,9385.305,14.47915805,0.0,9376.069475645012,0,close_proxy
2022-05-12,09:25,BUY,1000,9.35,9354.675,5.09354675,0.0,16.300928895012476,1000,daily_open_indicative
2022-05-13,15:00,SELL,1000,9.38,9375.310000000001,14.469063100000001,0.0,9377.141865795014,0,close_proxy
2022-05-16,09:25,BUY,900,9.44,8500.248,5.08500248,0.0,871.8088633150146,900,daily_open_indicative
2022-10-12,09:25,BUY,100,8.16,816.4079999999999,5.00816408,0.0,50.392699235014675,1000,daily_open_indicative
2022-10-13,15:00,SELL,1000,8.35,8345.825,13.429283250000001,45.0,8337.788415985016,0,close_proxy
2022-10-14,09:25,BUY,900,8.41,7572.7845,5.075727845,0.0,759.9281881400166,900,daily_open_indicative
