date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-01-02,15:00,SELL,1000,18.38,18370.81,23.738226200000003,0.0,23861.071773800002,0,close_proxy
2020-01-03,09:40,BUY,1000,18.47,18479.235,5.3695847,0.0,5376.4671891,1000,post0935_window_indicative_unknown
2020-01-06,15:00,SELL,1000,17.9,17891.05,23.248871,0.0,23244.2683181,0,close_proxy
2020-01-07,09:40,BUY,1000,17.82,17828.91,5.3565782,0.0,5410.001739899999,1000,post0935_window_indicative_unknown
2020-01-08,15:00,SELL,1000,17.52,17511.24,22.861464800000004,0.0,22898.3802751,0,close_proxy
2020-01-09,09:40,BUY,1000,17.79,17798.895,5.3559779,0.0,5094.129297200001,1000,post0935_window_indicative_unknown
2020-01-10,15:00,SELL,1000,18.03,18020.985,23.3814047,0.0,23091.7328925,0,close_proxy
2020-01-13,09:40,BUY,1000,17.85,17858.925,5.3571785,0.0,5227.450714000002,1000,post0935_window_indicative_unknown
2020-01-14,15:00,SELL,1000,18.39,18380.805,23.7484211,0.0,23584.5072929,0,close_proxy
2020-01-15,09:40,BUY,1000,18.51,18519.254999999997,5.3703851,0.0,5059.881907800005,1000,post0935_window_indicative_unknown
2020-01-16,15:00,SELL,1000,18.41,18400.795000000002,23.768810900000002,0.0,23436.908096900006,0,close_proxy
2020-01-17,09:40,BUY,1000,18.4,18409.2,5.368184,0.0,5022.339912900006,1000,post0935_window_indicative_unknown
2020-01-20,15:00,SELL,1000,19.34,19330.33,24.716936600000004,0.0,24327.952976300006,0,close_proxy
2020-01-21,09:40,BUY,1000,19.26,19269.629999999997,5.3853926,0.0,5052.937583700008,1000,post0935_window_indicative_unknown
2020-01-22,15:00,SELL,1000,20.85,20839.575,26.256366500000002,0.0,25866.256217200007,0,close_proxy
2020-01-23,09:40,BUY,1000,20.39,20400.195,5.4080039,0.0,5460.653213300007,1000,post0935_window_indicative_unknown
2020-02-04,15:00,SELL,1000,18.02,18010.99,23.371209800000003,0.0,23448.27200350001,0,close_proxy
2020-02-05,09:40,BUY,1000,18.16,18169.079999999998,5.3633816,0.0,5273.828621900011,1000,post0935_window_indicative_unknown
2020-02-06,15:00,SELL,1000,18.92,18910.54,24.288750800000003,0.0,24160.079871100013,0,close_proxy
2020-02-07,09:40,BUY,1000,19.36,19369.68,5.3873936,0.0,4785.012477500011,1000,post0935_window_indicative_unknown
2020-02-10,15:00,SELL,1000,18.91,18900.545000000002,24.278555900000004,0.0,23661.278921600013,0,close_proxy
2020-02-11,09:40,BUY,1000,18.91,18919.454999999998,5.3783891,0.0,4736.445532500016,1000,post0935_window_indicative_unknown
2020-02-12,15:00,SELL,1000,19.15,19140.425,24.5232335,0.0,23852.347299000015,0,close_proxy
2020-02-13,09:40,BUY,1000,18.95,18959.475,5.3791895,0.0,4887.493109500017,1000,post0935_window_indicative_unknown
2020-02-14,15:00,SELL,1000,18.35,18340.825,23.7076415,0.0,23204.610468000017,0,close_proxy
2020-02-17,09:40,BUY,1000,18.33,18339.164999999997,5.3667833,0.0,4860.07868470002,1000,post0935_window_indicative_unknown
2020-02-18,15:00,SELL,1000,18.85,18840.575,24.217386500000003,0.0,23676.43629820002,0,close_proxy
2020-02-19,09:40,BUY,1000,18.62,18629.309999999998,5.3725862,0.0,5041.753712000023,1000,post0935_window_indicative_unknown
2020-02-20,15:00,SELL,1000,18.81,18800.595,24.176606900000003,0.0,23818.172105100024,0,close_proxy
2020-02-21,09:40,BUY,1000,18.91,18919.454999999998,5.3783891,0.0,4893.3387160000275,1000,post0935_window_indicative_unknown
2020-02-24,15:00,SELL,1000,20.14,20129.93,25.532528600000003,0.0,24997.736187400027,0,close_proxy
2020-02-25,09:40,BUY,1000,19.96,19969.98,5.3993996,0.0,5022.3567878000285,1000,post0935_window_indicative_unknown
2020-02-26,15:00,SELL,1000,18.71,18700.645,24.074657900000002,0.0,23698.92712990003,0,close_proxy
2020-02-27,09:40,BUY,1000,18.65,18659.325,5.3731865,0.0,5034.228943400027,1000,post0935_window_indicative_unknown
2020-02-28,15:00,SELL,1000,17.08,17071.46,22.4128892,0.0,22083.276054200025,0,close_proxy
2020-03-02,09:40,BUY,1000,17.17,17178.585,5.3435717,0.0,4899.347482500027,1000,post0935_window_indicative_unknown
2020-03-03,15:00,SELL,1000,17.44,17431.280000000002,22.779905600000003,0.0,22307.84757690003,0,close_proxy
2020-03-04,09:40,BUY,1000,17.08,17088.54,5.3417708,0.0,5213.965806100026,1000,post0935_window_indicative_unknown
2020-03-05,15:00,SELL,1000,17.16,17151.420000000002,22.494448400000003,0.0,22342.891357700028,0,close_proxy
2020-03-06,09:40,BUY,1000,16.92,16928.46,5.3385692,0.0,5409.092788500027,1000,post0935_window_indicative_unknown
2020-03-09,15:00,SELL,1000,16.18,16171.910000000002,21.495348200000002,0.0,21559.50744030003,0,close_proxy
2020-03-10,09:40,BUY,1000,15.8,15807.9,5.316158,0.0,5746.29128230003,1000,post0935_window_indicative_unknown
2020-03-11,15:00,SELL,1000,16.54,16531.73,21.8623646,0.0,22256.158917700028,0,close_proxy
2020-03-12,09:40,BUY,1000,16.31,16318.154999999997,5.3263631,0.0,5932.67755460003,1000,post0935_window_indicative_unknown
2020-03-13,15:00,SELL,1000,15.65,15642.175000000001,20.9550185,0.0,21553.89753610003,0,close_proxy
2020-03-16,09:40,BUY,1000,15.6,15607.8,5.312156,0.0,5940.785380100031,1000,post0935_window_indicative_unknown
2020-03-17,15:00,SELL,1000,13.91,13903.045,19.1811059,0.0,19824.649274200034,0,close_proxy
2020-03-18,09:40,BUY,1000,14.15,14157.074999999999,5.2831415,0.0,5662.291132700035,1000,post0935_window_indicative_unknown
2020-03-19,15:00,SELL,1000,13.51,13503.245,18.7733099,0.0,19146.762822800036,0,close_proxy
2020-03-20,09:40,BUY,1000,13.57,13576.785,5.2715357,0.0,5564.706287100036,1000,post0935_window_indicative_unknown
2020-03-23,15:00,SELL,1000,12.52,12513.74,17.764014799999998,0.0,18060.682272300037,0,close_proxy
2020-03-24,09:40,BUY,1000,12.81,12816.404999999999,5.2563281,0.0,5239.020944200038,1000,post0935_window_indicative_unknown
2020-03-25,15:00,SELL,1000,13.55,13543.225,18.8140895,0.0,18763.431854700037,0,close_proxy
2020-03-26,09:40,BUY,1000,13.35,13356.675,5.2671335,0.0,5401.489721200038,1000,post0935_window_indicative_unknown
2020-03-27,15:00,SELL,1000,13.07,13063.465,18.324734300000003,0.0,18446.629986900036,0,close_proxy
2020-03-30,09:40,BUY,1000,12.65,12656.324999999999,5.2531265,0.0,5785.051860400037,1000,post0935_window_indicative_unknown
2020-03-31,15:00,SELL,1000,13.21,13203.395,18.4674629,0.0,18969.979397500036,0,close_proxy
2020-04-01,09:40,BUY,1000,13.42,13426.71,5.2685342,0.0,5538.000863300036,1000,post0935_window_indicative_unknown
2020-04-02,15:00,SELL,1000,13.98,13973.01,19.2524702,0.0,19491.758393100037,0,close_proxy
2020-04-03,09:40,BUY,1000,13.74,13746.869999999999,5.2749374,0.0,5739.613455700039,1000,post0935_window_indicative_unknown
2020-04-07,15:00,SELL,1000,14.15,14142.925000000001,19.4257835,0.0,19863.11267220004,0,close_proxy
2020-04-08,09:40,BUY,1000,14.1,14107.05,5.282141,0.0,5750.780531200042,1000,post0935_window_indicative_unknown
2020-04-09,15:00,SELL,1000,13.95,13943.025000000001,19.221885500000003,0.0,19674.583645700044,0,close_proxy
