date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-01-03,15:00,SELL,1000,18.22,18210.89,23.5751078,0.0,18187.3148922,0,close_proxy
2020-01-06,09:25,BUY,1000,18.01,18019.004999999997,5.3603801,0.0,162.94951210000363,1000,daily_open_indicative
2020-01-10,15:00,SELL,1000,18.03,18020.985,23.3814047,0.0,18160.553107400003,0,close_proxy
2020-01-13,09:25,BUY,1000,18.02,18029.01,5.3605802,0.0,126.182527200006,1000,daily_open_indicative
2020-01-14,15:00,SELL,1000,18.39,18380.805,23.7484211,0.0,18483.239106100005,0,close_proxy
2020-01-15,09:25,BUY,1000,18.35,18359.175,5.3671835,0.0,118.69692260000738,1000,daily_open_indicative
2020-01-16,15:00,SELL,1000,18.41,18400.795000000002,23.768810900000002,0.0,18495.72311170001,0,close_proxy
2020-01-17,09:25,BUY,1000,18.41,18419.204999999998,5.3683841,0.0,71.14972760001183,1000,daily_open_indicative
2020-02-13,15:00,SELL,1000,18.42,18410.79,23.779005800000004,0.0,18458.160721800014,0,close_proxy
2020-02-14,09:25,BUY,1000,18.26,18269.129999999997,5.3653826,0.0,183.6653392000153,1000,daily_open_indicative
2020-02-19,15:00,SELL,1000,18.49,18480.755,23.850370100000003,0.0,18640.569969100015,0,close_proxy
2020-02-20,09:25,BUY,1000,18.59,18599.295,5.3719859,0.0,35.902983200016024,1000,daily_open_indicative
2020-02-28,15:00,SELL,1000,17.08,17071.46,22.4128892,0.0,17084.950094000014,0,close_proxy
2020-03-02,09:25,BUY,900,17.3,15577.785,5.3115557,0.0,1501.8535383000144,900,daily_open_indicative
2020-03-17,09:25,BUY,100,14.39,1439.7195,5.02879439,0.0,57.10524391001445,1000,daily_open_indicative
2020-03-18,15:00,SELL,1000,13.56,13553.220000000001,18.824284400000003,0.0,13591.500959510016,0,close_proxy
2020-03-19,09:25,BUY,1000,13.55,13556.775,5.2711355,0.0,29.454824010017546,1000,daily_open_indicative
2020-03-23,15:00,SELL,1000,12.52,12513.74,17.764014799999998,0.0,12525.430809210018,0,close_proxy
2020-03-24,09:25,BUY,900,12.75,11480.7375,5.22961475,0.0,1039.4636944600188,900,daily_open_indicative
2022-03-11,09:25,BUY,100,10.23,1023.5115,5.02047023,0.0,10.931724230018972,1000,daily_open_indicative
2022-03-15,15:00,SELL,1000,9.75,9745.125,14.940027500000001,0.0,9741.116696730018,0,close_proxy
2022-03-16,09:25,BUY,900,9.85,8869.432499999999,5.17738865,0.0,866.5068080800193,900,daily_open_indicative
2022-10-12,09:25,BUY,100,8.16,816.4079999999999,5.00816408,0.0,45.090644000019324,1000,daily_open_indicative
2022-10-19,15:00,SELL,1000,8.4,8395.800000000001,13.479758000000002,45.0,8382.410886000021,0,close_proxy
2022-10-20,09:25,BUY,900,8.38,7545.771000000001,5.07545771,0.0,831.5644282900212,900,daily_open_indicative
2022-10-31,09:25,BUY,100,7.87,787.3934999999999,5.007873935,0.0,39.163054355021245,1000,daily_open_indicative
2022-11-18,15:00,SELL,1000,8.95,8945.525,14.03498025,0.0,8970.653074105021,0,close_proxy
2022-11-21,09:25,BUY,1000,8.9,8904.449999999999,5.0890445,0.0,61.11402960502164,1000,daily_open_indicative
2022-11-23,15:00,SELL,1000,9.05,9045.475,14.13592975,0.0,9092.453099855022,0,close_proxy
2022-11-24,09:25,BUY,1000,9.05,9054.525,5.09054525,0.0,32.83755460502289,1000,daily_open_indicative
2022-11-28,15:00,SELL,1000,8.76,8755.62,13.843176200000002,0.0,8774.614378405024,0,close_proxy
2022-11-29,09:25,BUY,900,8.83,7950.973499999999,5.079509735,0.0,818.5613686700244,900,daily_open_indicative
