window,version,stage,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
primary,stage,ALL,654,-0.6024282179441639,-0.284612086036379,45.412844036697244,-133261.92975551414,0.5978757517904338,0.6529948765409168,-12.332728137168735,-136408.6990764545,1
primary,stage,U,216,-0.8458519423633718,-0.335255577899381,46.75925925925926,-57713.90725559605,0.5365787321367681,0.6505700612610045,-12.332728137168735,-68463.07661544622,9
primary,stage,R,152,-0.633419548223537,-0.626400186944445,41.44736842105263,-39050.61032041934,0.5794464320494367,0.576093490711194,-8.628950102799992,-41328.17804750949,18
primary,stage,D,166,-0.4904196864560081,-0.1946695189504391,45.18072289156627,-24677.01357294536,0.591777062951221,0.6363494435933941,-12.229427049039755,-25654.520626245372,12
primary,stage,C,120,-0.2799549641943322,-0.10605496934486631,48.333333333333336,-11820.398606553375,0.786234396151183,0.7992753836938444,-9.500315327488165,-20955.377515767508,12
primary,stage_v3,ALL,654,-0.6024282179441639,-0.284612086036379,45.412844036697244,-133261.92975551414,0.5978757517904338,0.6529948765409168,-12.332728137168735,-136408.6990764545,1
primary,stage_v3,U,221,-0.7981922282123141,-0.2631238892592399,47.511312217194565,-56017.78019089603,0.5603224865830908,0.6644139062139414,-12.332728137168735,-66766.94955074618,9
primary,stage_v3,R,175,-0.5865184307598533,-0.6229183218151051,42.285714285714285,-44087.46495953015,0.6050451083717366,0.5885791815155572,-9.120108097805772,-50387.80537477835,23
primary,stage_v3,D,173,-0.47485953568047523,-0.17905499999999508,45.664739884393065,-26371.209468832327,0.5984723539814297,0.6284663328899537,-12.229427049039755,-27348.71652213233,13
primary,stage_v3,C,85,-0.38583702405723724,-0.18806305485384023,45.88235294117647,-6785.475136255629,0.7125357330440961,0.8258834572486671,-9.500315327488165,-15010.591220632688,9
old_main,stage,ALL,598,-0.6519638851822182,-0.26950777395381253,45.48494983277592,-133473.4250213345,0.5682496192514078,0.6032709273009196,-12.332728137168735,-136408.6990764545,1
old_main,stage,U,215,-0.8786158683557967,-0.3509379898711684,46.51162790697674,-62362.70136510205,0.5208567641467713,0.6224238497473598,-12.332728137168735,-68463.07661544622,9
old_main,stage,R,131,-0.7080514011813884,-0.6229183218151051,41.98473282442748,-37911.395327929466,0.5361875789074233,0.4847402206698867,-8.628950102799992,-38177.67040367949,16
old_main,stage,D,151,-0.4474355063836288,-0.17905499999999508,45.033112582781456,-16591.70591412247,0.5930229965315236,0.6552403375334469,-12.229427049039755,-17569.21296742248,10
old_main,stage,C,101,-0.40251976855228017,-0.15194824213011696,48.51485148514851,-16607.622414180503,0.7152326254460619,0.6649401196355261,-9.500315327488165,-17780.404386480524,11
old_main,stage_v3,ALL,598,-0.6519638851822182,-0.26950777395381253,45.48494983277592,-133473.4250213345,0.5682496192514078,0.6032709273009196,-12.332728137168735,-136408.6990764545,1
old_main,stage_v3,U,220,-0.82999488445877,-0.2913485275934168,47.27272727272727,-60666.57430040203,0.5448730183712047,0.6365643439730174,-12.332728137168735,-66766.94955074618,9
old_main,stage_v3,R,152,-0.6818232219663329,-0.6093850016064775,42.76315789473684,-45737.54769354831,0.5544559061083503,0.489156574054145,-9.120108097805772,-47237.29773094835,20
old_main,stage_v3,D,154,-0.41031823252172234,-0.14742423127253923,46.103896103896105,-15201.502180081461,0.6193691244589427,0.6841274316386867,-12.229427049039755,-16179.009233381465,10
old_main,stage_v3,C,72,-0.5617971001501277,-0.236215378327283,44.44444444444444,-11867.800847302697,0.6079927434265168,0.6273922916039218,-9.500315327488165,-11867.800847302695,8
viewed_tail,stage,ALL,56,-0.07345805708065511,-0.3744246210188526,44.642857142857146,211.49526582035924,0.9464076243776527,1.0044431986711184,-11.915439188277979,-15771.257850977909,1
viewed_tail,stage,U,1,6.198392146008,6.198392146008,100.0,4648.794109506,,,6.198392146008,0.0,1
