id,scope,source_direction,opposite_direction,n,source_mean_pct,source_cash,opposite_mean_pct,opposite_cash,large_loss,status,start,end
U__volume_lt08,primary_bounded_scan,rt,pt,59,-0.7987698850905594,-14318.837035912746,0.4214414862601358,6136.050920413169,True,research_candidate_only,2024-03-26,2026-06-26
U__volume_08_12,primary_bounded_scan,rt,pt,82,-0.8771743337319945,-25977.097411337643,0.5035237497324814,12513.289287838441,True,research_candidate_only,2024-02-27,2026-06-25
U__volume_12_15,primary_bounded_scan,rt,pt,60,-1.3079423117522149,-25496.858663415707,0.9324588877270169,16452.6585624162,True,research_candidate_only,2024-02-22,2026-06-04
U__r3_le0,primary_bounded_scan,rt,pt,75,-0.8317687914390521,-24564.967987626726,0.45430644562292855,13605.494008127273,True,research_candidate_only,2024-02-26,2026-06-26
U__r3_0_3,primary_bounded_scan,rt,pt,36,-1.7008433005581967,-22114.668380847834,1.3221265908417035,16935.57355734814,True,research_candidate_only,2024-02-27,2026-06-24
U__r3_3_6,primary_bounded_scan,rt,pt,34,-1.1147393497224887,-15716.50164052588,0.739414209970184,10257.012949026142,True,research_candidate_only,2024-02-23,2026-06-17
U__r3_gt6,primary_bounded_scan,rt,pt,71,-0.29844878143520703,4682.230753404388,-0.07299437499708814,-15972.609236903678,False,research_candidate_only,2024-02-21,2026-06-23
U__clv_lt04,primary_bounded_scan,rt,pt,77,-1.398298947119659,-47419.31215004969,1.0200938096676953,35999.8432330503,True,research_candidate_only,2024-02-26,2026-06-24
U__clv_04_07,primary_bounded_scan,rt,pt,68,-0.4896026196563438,-7940.933045967794,0.10997755794675411,-922.6820775317574,False,research_candidate_only,2024-02-21,2026-06-04
U__clv_ge07,primary_bounded_scan,rt,pt,71,-0.5879158096569463,-2353.66205957858,0.21973698480876255,-10251.689877920668,True,research_candidate_only,2024-02-28,2026-06-26
U__upper_ge03,primary_bounded_scan,rt,pt,91,-1.317373523609447,-39526.620527714644,0.9376782196195804,27156.720651215343,True,research_candidate_only,2024-02-21,2026-06-17
U__bias20_0_5,primary_bounded_scan,rt,pt,62,-0.3675844863298524,-9563.137858998769,-0.009196980999573964,94.44898849921537,False,research_candidate_only,2024-03-26,2026-06-26
