date,open,high,low,close,preclose,volume
2018-06-08,13.7114513200,16.4587215300,13.7114513200,16.4587215300,11.4289760700,1672614
2018-06-11,18.1021037100,18.1021037100,18.1021037100,18.1021037100,16.4587215300,1932286
2018-06-12,19.9114840900,19.9114840900,19.9114840900,19.9114840900,18.1021037100,14492391
2018-06-13,20.3762790500,21.8785627600,19.5545879600,21.3473685200,19.9114840900,633217104
2018-06-14,20.3430794100,20.6335762600,19.2142916500,19.3304903900,21.3473685200,347782112
2018-06-15,18.7577966000,19.1976918300,18.2764018200,18.7411967800,19.3304903900,213870016
2018-06-19,18.1187035300,18.1270034400,16.8654171200,16.8654171200,18.7411967800,209967713
2018-06-20,16.4338218000,16.8156176600,15.7781289100,16.4836212600,16.8654171200,198271914
2018-06-21,16.2678236000,16.4172219800,14.9813375500,15.0809364700,16.4836212600,197849535
2018-06-22,14.6908407000,15.9192273800,14.5497422300,15.5374315200,15.0809364700,175575007
2018-06-25,15.4544324200,15.5706311600,15.0477368300,15.1141361100,15.5374315200,115443049
2018-06-26,14.7240403400,15.4876320600,14.5663420500,15.3797332300,15.1141361100,113725844
2018-06-27,15.3548335000,15.6536302600,15.0892363800,15.1639355700,15.3797332300,97039103
2018-06-28,15.1224360200,15.4710322400,14.7406401600,14.8485389900,15.1639355700,86399084
2018-06-29,14.8983384500,15.4461325100,14.6078416000,15.3050340400,14.8485389900,127800363
2018-07-02,15.1058362000,15.2303348500,14.1928461000,14.5995416900,15.3050340400,121806604
2018-07-03,14.5580421400,14.9149382700,14.1928461000,14.8568389000,14.5995416900,89742495
2018-07-04,14.6908407000,14.8319391700,14.2094459200,14.2509454700,14.8568389000,80724110
2018-07-05,14.1098470000,14.5248425000,13.8691496100,14.0766473600,14.2509454700,91199252
2018-07-06,14.0351478100,14.6742408800,13.9438488000,14.3007449300,14.0766473600,105690560
2018-07-09,14.3007449300,14.5248425000,14.1845461900,14.4999427700,14.3007449300,80084021
2018-07-10,14.5331424100,14.5580421400,14.2758452000,14.4003438500,14.4999427700,65616875
2018-07-11,14.0683474500,14.1928461000,13.7280511400,13.8193501500,14.4003438500,79234984
2018-07-12,13.8193501500,15.1722354800,13.8193501500,14.9066383600,13.8193501500,179476511
2018-07-13,14.6908407000,14.7655398900,14.5082426800,14.6244414200,14.9066383600,99440876
2018-07-16,14.6244414200,15.0975362900,14.5746419600,14.8070394400,14.6244414200,91002211
2018-07-17,14.8070394400,14.8153393500,14.4750430400,14.6825407900,14.8070394400,61176816
2018-07-18,14.6825407900,14.7406401600,14.2592453800,14.2841451100,14.6825407900,62140093
2018-07-19,14.2592453800,14.4252435800,14.0019481700,14.0517476300,14.2841451100,52695296
2018-07-20,14.0351478100,14.5082426800,13.8857494300,14.3588443000,14.0517476300,71270453
2018-07-23,14.2011460100,14.3588443000,14.1430466400,14.3173447500,14.3588443000,48368564
2018-07-24,14.3007449300,15.0228371000,14.2758452000,14.9896374600,14.3173447500,125054476
2018-07-25,14.9398380000,14.9481379100,14.5995416900,14.6991406100,14.9896374600,85980738
2018-07-26,14.6576410600,14.9813375500,14.6327413300,14.7406401600,14.6991406100,66539746
2018-07-27,14.6742408800,14.6742408800,14.3422444800,14.3505443900,14.7406401600,54516175
2018-07-30,14.2758452000,14.4252435800,14.1513465500,14.2260457400,14.3505443900,36771092
2018-07-31,14.2675452900,14.3339445700,14.1513465500,14.2509454700,14.2260457400,29162201
2018-08-01,14.3173447500,14.4501433100,14.0766473600,14.0932471800,14.2509454700,45200663
2018-08-02,14.0268479000,14.0517476300,13.2964558200,13.4790538400,14.0932471800,68910577
