date,open,high,low,close,preclose,volume
2018-06-08,16.5200,19.8300,16.5200,19.8300,13.7700,1672614
2018-06-11,21.8100,21.8100,21.8100,21.8100,19.8300,1932286
2018-06-12,23.9900,23.9900,23.9900,23.9900,21.8100,14492391
2018-06-13,24.5500,26.3600,23.5600,25.7200,23.9900,633217104
2018-06-14,24.5100,24.8600,23.1500,23.2900,25.7200,347782112
2018-06-15,22.6000,23.1300,22.0200,22.5800,23.2900,213870016
2018-06-19,21.8300,21.8400,20.3200,20.3200,22.5800,209967713
2018-06-20,19.8000,20.2600,19.0100,19.8600,20.3200,198271914
2018-06-21,19.6000,19.7800,18.0500,18.1700,19.8600,197849535
2018-06-22,17.7000,19.1800,17.5300,18.7200,18.1700,175575007
2018-06-25,18.6200,18.7600,18.1300,18.2100,18.7200,115443049
2018-06-26,17.7400,18.6600,17.5500,18.5300,18.2100,113725844
2018-06-27,18.5000,18.8600,18.1800,18.2700,18.5300,97039103
2018-06-28,18.2200,18.6400,17.7600,17.8900,18.2700,86399084
2018-06-29,17.9500,18.6100,17.6000,18.4400,17.8900,127800363
2018-07-02,18.2000,18.3500,17.1000,17.5900,18.4400,121806604
2018-07-03,17.5400,17.9700,17.1000,17.9000,17.5900,89742495
2018-07-04,17.7000,17.8700,17.1200,17.1700,17.9000,80724110
2018-07-05,17.0000,17.5000,16.7100,16.9600,17.1700,91199252
2018-07-06,16.9100,17.6800,16.8000,17.2300,16.9600,105690560
2018-07-09,17.2300,17.5000,17.0900,17.4700,17.2300,80084021
2018-07-10,17.5100,17.5400,17.2000,17.3500,17.4700,65616875
2018-07-11,16.9500,17.1000,16.5400,16.6500,17.3500,79234984
2018-07-12,16.6500,18.2800,16.6500,17.9600,16.6500,179476511
2018-07-13,17.7000,17.7900,17.4800,17.6200,17.9600,99440876
2018-07-16,17.6200,18.1900,17.5600,17.8400,17.6200,91002211
2018-07-17,17.8400,17.8500,17.4400,17.6900,17.8400,61176816
2018-07-18,17.6900,17.7600,17.1800,17.2100,17.6900,62140093
2018-07-19,17.1800,17.3800,16.8700,16.9300,17.2100,52695296
2018-07-20,16.9100,17.4800,16.7300,17.3000,16.9300,71270453
2018-07-23,17.1100,17.3000,17.0400,17.2500,17.3000,48368564
2018-07-24,17.2300,18.1000,17.2000,18.0600,17.2500,125054476
2018-07-25,18.0000,18.0100,17.5900,17.7100,18.0600,85980738
2018-07-26,17.6600,18.0500,17.6300,17.7600,17.7100,66539746
2018-07-27,17.6800,17.6800,17.2800,17.2900,17.7600,54516175
2018-07-30,17.2000,17.3800,17.0500,17.1400,17.2900,36771092
2018-07-31,17.1900,17.2700,17.0500,17.1700,17.1400,29162201
2018-08-01,17.2500,17.4100,16.9600,16.9800,17.1700,45200663
2018-08-02,16.9000,16.9300,16.0200,16.2400,16.9800,68910577
2018-08-03,16.2700,16.3400,15.8000,15.8100,16.2400,51818003
2018-08-06,15.7700,15.8500,15.1100,15.1400,15.8100,49149378
2018-08-07,15.2000,15.5700,15.0400,15.5500,15.1400,45278678
2018-08-08,15.4100,15.4700,15.0000,15.0100,15.5500,46605307
2018-08-09,14.9900,15.5800,14.8000,15.4200,15.0100,61822492
2018-08-10,15.3200,15.5300,15.3100,15.4700,15.4200,36117070
2018-08-13,15.1900,15.8300,15.0800,15.7200,15.4700,52992504
2018-08-14,15.7300,15.7600,15.4400,15.5100,15.7200,44634477
2018-08-15,15.3900,15.4900,15.0400,15.0600,15.5100,40808623
2018-08-16,14.8500,15.1500,14.7100,14.8900,15.0600,34594813
2018-08-17,15.0900,15.1400,14.6200,14.6300,14.8900,32110673
2018-08-20,14.6500,14.9300,14.5300,14.9200,14.6300,35590839
2018-08-21,14.9000,15.1400,14.8100,15.0200,14.9200,35059990
2018-08-22,14.9900,14.9900,14.7000,14.7400,15.0200,27760231
2018-08-23,14.7700,15.2000,14.7700,15.1300,14.7400,48348554
2018-08-24,15.0400,15.1200,14.9200,14.9900,15.1300,25449258
2018-08-27,15.0000,15.4200,15.0000,15.3100,14.9900,54095468
2018-08-28,15.3100,15.4800,15.2200,15.3200,15.3100,31555827
2018-08-29,15.3500,15.3700,15.0700,15.1100,15.3200,29797605
2018-08-30,15.1300,15.1600,14.7800,14.8000,15.1100,29261454
2018-08-31,14.7500,14.9700,14.6700,14.7900,14.8000,20320097
2018-09-03,14.7100,14.7700,14.5100,14.7000,14.7900,22555766
2018-09-04,14.6900,14.9900,14.6600,14.9300,14.7000,24088328
2018-09-05,14.8600,14.8900,14.6100,14.6300,14.9300,23697402
2018-09-06,14.6100,15.4000,14.5700,15.0300,14.6300,62592378
2018-09-07,15.0000,15.1900,14.7200,14.8900,15.0300,36279607
2018-09-10,14.8000,14.8400,14.6300,14.6300,14.8900,22616185
2018-09-11,14.6300,14.8800,14.5800,14.6900,14.6300,20442007
2018-09-12,14.6800,14.8800,14.6600,14.7200,14.6900,18113180
2018-09-13,14.8700,14.9400,14.5400,14.7900,14.7200,26594098
2018-09-14,14.7900,14.8100,14.5800,14.6000,14.7900,23302806
2018-09-17,14.5600,14.5600,14.1600,14.1700,14.6000,26101621
