date,quality,net_loser,adverse2,favorable1,order
2024-01-19,ok,True,True,False,adverse_only
2024-01-22,ok,False,False,True,favorable_only
2024-02-21,ok,False,False,True,favorable_only
2024-02-28,ok,False,False,True,favorable_only
2024-03-14,ok,True,False,True,favorable_only
2024-03-15,ok,True,True,False,adverse_only
2024-04-29,ok,False,False,True,favorable_only
2024-06-07,ok,False,False,True,favorable_only
2024-06-11,ok,False,True,True,adverse_first
2024-09-02,ok,False,False,True,favorable_only
2024-11-11,ok,True,True,False,adverse_only
2024-11-12,ok,False,False,True,favorable_only
2024-12-20,ok,True,False,False,neither
2025-02-05,ok,False,False,True,favorable_only
2025-07-04,ok,True,True,False,adverse_only
2025-07-07,ok,True,True,True,adverse_first
2025-07-09,ok,False,False,True,favorable_only
2025-07-10,ok,False,False,True,favorable_only
2025-07-16,ok,False,False,True,favorable_only
2025-08-01,ok,False,False,True,favorable_only
2025-11-25,ok,True,True,False,adverse_only
2025-11-27,ok,True,True,False,adverse_only
2025-12-10,ok,False,False,True,favorable_only
2026-04-02,ok,False,True,True,adverse_first
2026-04-23,ok,True,True,False,adverse_only
2026-04-24,ok,False,False,True,favorable_only
2026-05-14,ok,False,False,True,favorable_only
2026-05-15,ok,False,True,True,favorable_first
2026-06-22,ok,True,False,True,favorable_only
2026-08-07,ok,True,False,True,favorable_only
2026-09-08,ok,False,False,True,favorable_only
