candidate,mode,execution,unavailable,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,opposite_pt_pct,opposite_pt_cash,baseline_cash,delta_cash,baseline_winner_to_loss,delta_2024,delta_2025,delta_2026
UR_VOL_frozen,stop2,bar_touch_gap_aware,0,23,0.4918420665116482,0.7265464680488039,52.17391304347826,3507.6094268036377,1.5274372096320992,1.3813088602979213,-2.1974592163138937,-3997.8823254854287,12,-0.8693281533895711,-6699.439649763471,8706.203697820081,-5198.594271016444,2,564.4877448210048,-2091.1133892175385,-3671.9686266199087
UR_VOL_frozen,stop2,confirm_bar_then_next_open,0,23,0.36748630719023084,0.7265464680488039,52.17391304347826,2322.088291348085,1.3477123305420888,1.2236133991888503,-3.8861603466323382,-4621.084325882983,12,-0.7451786658148829,-5515.952760347934,8706.203697820081,-6384.115406471996,2,510.2601025499973,-3462.1615376610107,-3432.2139713609818
UR_VOL_frozen,stop2_tp1,bar_touch_gap_aware,0,23,-0.23277617408667767,0.8046175697782251,65.21739130434783,-2048.3784107123065,0.6943404481485758,0.6905098819111697,-2.1974592163138937,-4891.093953274877,12,-0.14584136839972234,-1152.4022378225332,8706.203697820081,-10754.582108532388,1,-1865.0507003205016,-3327.8438063980266,-5561.687601813859
UR_VOL_frozen,stop2_tp1,confirm_bar_then_next_open,0,23,-0.28510302053331277,0.37772176750000336,60.86956521739131,-2010.2175670459376,0.687345920891723,0.7415713068213056,-3.8861603466323382,-5581.011932282946,12,-0.0935910002096236,-1190.422395453912,8706.203697820081,-10716.42126486602,1,-1840.9384092000093,-4722.8041439610115,-4152.678711704997
UR_VOL_v3,stop2,bar_touch_gap_aware,0,31,0.6172047367083783,0.7747852864023691,51.61290322580645,6456.877763351066,1.7344153666033235,1.6022830856401116,-2.22524934526011,-3634.6807418320245,19,-0.9973511981643599,-10848.397536370776,13286.535425781152,-6829.657662430086,3,647.7301772370038,-2091.1133892175385,-5386.274450449551
UR_VOL_v3,stop2,confirm_bar_then_next_open,0,31,0.5142100464008496,0.7747852864023691,51.61290322580645,5161.288768749156,1.5450619140328994,1.4295254528036994,-3.8861603466323382,-4344.738769259937,19,-0.894527286698332,-9555.03346574888,13286.535425781152,-8125.246657031997,3,570.2907028499967,-3462.1615376610107,-5233.3758222209835
UR_VOL_v3,stop2_tp1,bar_touch_gap_aware,0,31,-0.18924155250214855,0.7998968727043048,64.51612903225806,-1605.057515571811,0.7342267527289419,0.8020446138650897,-2.22524934526011,-5360.2323470982965,19,-0.19216937420735938,-2799.5589946179134,13286.535425781152,-14891.592941352963,2,-2661.456664300503,-4659.652888793357,-7570.483388259105
UR_VOL_v3,stop2_tp1,confirm_bar_then_next_open,0,31,-0.09894070504736191,0.6124325571378564,58.06451612903226,358.7865576691166,0.8821019856314435,1.0381661275211385,-3.8861603466323382,-3987.6040571009153,19,-0.2823116377601891,-4759.934374668869,13286.535425781152,-12927.748868112036,3,-2731.3923136500143,-3892.2900764520364,-6304.066478009987
R_deceleration,stop2,bar_touch_gap_aware,0,15,0.9447131587666882,1.4106470517625915,66.66666666666666,4179.586573302225,2.9966532834695463,2.7222725469144686,-2.199441828392944,-1304.5009791328107,10,-1.3272246458927346,-5923.488508782115,5177.304172437052,-997.7175991348277,1,-931.074610653006,-66.64298848182148,0.0
R_deceleration,stop2,confirm_bar_then_next_open,0,15,0.915140317493017,1.4106470517625915,66.66666666666666,3826.5506411910483,2.820373552944449,2.3765453326814714,-2.8717496532625564,-1718.1678175469874,10,-1.297709189646221,-5571.100693190942,5177.304172437052,-1350.753531246004,1,-870.4437043500056,-480.30982689599796,0.0
R_deceleration,stop2_tp1,bar_touch_gap_aware,0,15,0.06666851279211429,0.8039120688107917,66.66666666666666,160.07697069614323,1.1409040445082663,1.0659625461006723,-2.199441828392944,-1304.500979132811,10,-0.4505455892169422,-1910.405556211022,5177.304172437052,-5017.227201740909,1,-3597.03356997601,147.81782395598384,-1568.011455720883
R_deceleration,stop2_tp1,confirm_bar_then_next_open,0,15,0.28105132576049247,0.8061749128913465,66.66666666666666,1315.2393710700594,1.5590600595938438,1.4731380262203646,-2.8717496532625564,-1718.1678175469874,10,-0.664586831315823,-3063.6662795699376,5177.304172437052,-3862.064801366993,1,-2981.519814900009,540.3715847670078,-1420.9165712339918
