n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,months,delete5_pct,delete5_cash,stress10bp_pct,delayed_n,delayed_pct,delayed_cash,max_cash_loss,month_ci,name,window,direction
25,1.8821658413471365,1.4191128763200147,76.0,25033.391761520143,5.003657189432022,4.582611739861415,-4.6126820117264495,-3574.828559087997,17,13,0.7149480976247846,4957.478742584062,1.7811572091977694,24,1.199245783466256,17809.335262497112,-3574.8285590879987,"[0.5217122823793049, 3.1916860681131354]",PT_U1,primary,pt
6,0.19342979667150648,1.554864462044494,66.66666666666666,97.02134215001593,1.1386212562960754,1.0491866745481435,-4.744503777897002,-1105.4693802500014,3,4,-4.744503777897002,-1105.4693802500014,0.09325952620386942,6,-0.17979319018418316,-473.2693606999842,-1105.4693802500014,,PT_U1,2023,pt
1,-3.004114284736456,-3.004114284736456,0.0,-438.9010969999962,0.0,0.0,-3.004114284736456,-438.9010969999962,1,1,,,-3.1026967419575366,1,-2.2508213309376983,-328.8449964499977,-438.9010969999962,,PT_U1,2021_2022,pt
6,0.5921140902967688,0.17181238552578365,66.66666666666666,940.7751711000153,2.8534662466431953,2.8961663355203626,-1.383951388639742,-496.1459094999909,5,5,-1.383951388639742,-370.3453915999949,0.4917454734485993,6,-0.34105397087693906,-359.8878353999826,-370.3453915999949,,PT_U1,2024,pt
14,2.6392327392374697,2.190465168784279,78.57142857142857,19869.335355371062,8.073888930059297,7.8127434784036565,-3.369841558624988,-1698.4001455469934,9,6,0.5894787534768491,1857.7948122860334,2.5378467748965474,13,1.782355235331681,13115.406120507032,-1698.4001455469938,,PT_U1,2025,pt
5,1.3104406285146455,1.1304619140000025,80.0,4223.281235049068,2.420475793890862,2.181394062748145,-4.6126820117264495,-3574.8285590879987,3,2,,,1.2097205081401952,5,1.5315209138279855,5053.816977390062,-3574.8285590879987,,PT_U1,2026,pt
31,1.5553137036679827,1.4191128763200147,74.19354838709677,25130.413103670162,3.3957518642733153,3.8047390339675555,-4.744503777897002,-3574.828559087997,20,17,0.5945977204817205,5054.500084734078,1.4544673350699182,30,0.9234379887361682,17336.065901797127,-3574.8285590879987,,PT_U1,original_PT_window,pt
14,2.312144320219154,1.8900825753358879,85.71428571428571,10655.04539198002,23.930259626057488,32.434801641416925,-1.2121691377550723,-296.9814387499928,9,9,0.98601349014922,1999.9336195000135,2.210915641893378,14,2.2110699510828593,11135.433790142024,-296.9814387499927,"[1.3220214436407565, 3.598891466989663]",PT_R1,primary,pt
7,0.4993724953824112,-0.1340357622615714,42.857142857142854,736.606190050009,1.9069947437588066,2.4488223772644684,-2.3784160607661677,-360.09219159999776,4,3,-1.6550547960407003,-449.348431899997,0.39903430430062314,7,-0.0013324226354077342,186.32568730000204,-360.09219159999776,,PT_R1,2023,pt
9,0.09601451421640941,-0.1280995548148029,44.44444444444444,145.6692472000112,1.295806129597764,1.4536661129300013,-1.355895427555544,-253.58630074999672,8,8,-0.6982935035509887,-303.8000758999955,-0.0041302475833321734,9,-0.23696219940845184,-204.50925454998622,-152.5382355999987,,PT_R1,2021_2022,pt
9,2.518961811662195,1.6636597459198847,88.88888888888889,5400.355744100018,19.70255197797366,19.18415240639395,-1.2121691377550723,-296.9814387499928,5,5,0.5209733555748932,439.9216981000112,2.4176293876042183,9,2.2939249075336927,4990.146642050012,-296.9814387499927,,PT_R1,2024,pt
4,1.5157045870590444,1.6047831777409505,75.0,2636.740304954993,31.38953115240126,63.816113978639414,-0.1995035171102703,-41.97554000000093,3,3,,,1.4148731057473567,4,1.3034079911522907,2476.660058831995,-41.97554000000088,,PT_R1,2025,pt
1,3.6365458298722175,3.6365458298722175,100.0,2617.949342925009,,,3.6365458298722175,0.0,1,1,,,3.5346620750798983,1,5.096023182747629,3668.6270892600182,0.0,,PT_R1,2026,pt
21,1.7078870452735728,1.625379479927012,71.42857142857143,11391.651582030028,7.8111439670141,14.443472921057822,-2.3784160607661677,-360.09219159999776,13,12,0.7673764770669027,2736.5398095500227,1.6069551960291264,21,1.4736024931767702,11321.759477442027,-360.09219159999776,,PT_R1,original_PT_window,pt
20,0.761685450165654,0.7541499551361894,65.0,3860.810478828079,2.1399082154461557,2.0123610857644962,-3.418863025592392,-1752.5035401389896,13,9,-0.408257895699799,-1649.4105185349579,0.6612308866574679,20,-0.05936837932299084,-701.8727786999158,-1436.1015681449942,"[-0.011909758265709293, 1.7432507545775333]",PT_D1,primary,pt
5,1.2780139166617215,1.423380237708734,80.0,1057.7606637000115,29.95318350904176,33.93935983999855,-0.2207035223367772,-32.11236250000104,2,3,,,1.1772935715970678,5,1.9314970861962493,1638.0564666000084,-32.11236250000109,,PT_D1,2023,pt
6,0.43433778650357185,0.6858187032228207,83.33333333333334,176.97390680000552,1.4823671995675947,1.3412219100815603,-5.402578619270829,-518.6475474499996,5,4,-5.402578619270829,-518.6475474499996,0.3340185643450389,6,0.16338444926588544,66.91780625000706,-518.6475474499996,,PT_D1,2021_2022,pt
8,0.10721025141308083,0.2741310492364998,62.5,24.21701670001994,1.1344220206123876,1.0174745506161438,-3.418863025592392,-1385.8448913499906,5,3,-2.1268390585542893,-1385.8448913499906,0.007079144070355037,8,-0.3328324193057706,-616.1093864999726,-721.3800983999947,,PT_D1,2024,pt
6,1.8070565241305632,0.7541499551361894,66.66666666666666,1794.9509961540136,4.130455984574291,3.657922856058671,-3.253217508905826,-675.3209529999963,4,3,-3.253217508905826,-639.2572404999949,1.7060753158109756,6,-0.11976569718818116,-1376.9217536489873,-639.2572404999949,,PT_D1,2025,pt
6,0.5889479745375089,1.2432669074723512,66.66666666666666,2041.6424659740442,2.0039000343119753,2.1649862149848342,-2.9338132137793544,-1752.5035401389894,4,3,-2.9338132137793544,-1436.1015681449942,0.48858878095344355,6,0.3656476585192392,1291.1583614490442,-1436.1015681449942,,PT_D1,2026,pt
25,0.8649511434648675,0.8341936753775027,68.0,4918.57114252809,2.5917765600500497,2.278952230292071,-3.418863025592392,-1752.5035401389896,15,12,-0.030060748246964718,-591.6498548349466,0.7644434236453879,25,0.3388047137808571,936.1836879000927,-1436.1015681449942,,PT_D1,original_PT_window,pt
13,1.6670121288012776,2.0686076891270377,76.92307692307693,5879.423193126036,4.724438451744586,3.3959115728644296,-2.9215982626458734,-1822.655023317006,10,9,0.29525918165660825,-301.20069900098315,1.5661058196627347,13,0.9881954310545262,2157.0870591780276,-1822.655023317006,"[0.6329707944926407, 3.359536301389636]",PT_C1,primary,pt
2,0.25914478252936113,0.25914478252936113,50.0,81.56608075000798,1.226500996539747,1.2241868437160874,-2.288244082704383,-363.8308091499969,1,1,,,0.1589326277972123,2,-0.3715342067241263,-118.53592024999242,-363.8308091499969,,PT_C1,2023,pt
18,0.71340958020638,0.7657288433361555,77.77777777777779,1434.7472001000165,8.867144131798213,8.821881538372137,-0.7102156933842037,-83.73443024999756,7,7,0.33754244216502516,444.5581843000099,0.612955151525918,18,0.5806861281810156,1194.6247989000226,-83.7344302499976,,PT_C1,2021_2022,pt
4,3.5844410538795572,2.9124723525014073,100.0,2493.1757532500096,,,2.331211463325204,0.0,4,4,,,3.4825683795286473,4,2.280037903405242,1682.7626492000109,0.0,,PT_C1,2024,pt
6,0.10743604326808087,1.0005821471343874,66.66666666666666,-620.9511251419868,1.111736950802684,0.7437618139023688,-2.9215982626458734,-1822.655023317006,3,3,-2.9215982626458734,-1822.655023317006,0.007310786116657586,6,-0.126680967742152,-2192.00922162199,-1822.655023317006,,PT_C1,2025,pt
3,2.2295923997632983,2.0686076891270377,66.66666666666666,4007.1985650180122,135.89301333947927,131.9355787348986,-0.0495857942060835,-30.604352183994706,3,2,,,2.128412473600338,3,1.4954915988469286,2666.333631600007,-30.604352183994763,,PT_C1,2026,pt
14,1.4372028250248783,2.0554695430115943,71.42857142857143,4664.799695869042,3.481945623204494,2.6554929579949653,-2.9215982626458734,-1822.655023317006,10,10,0.07088864955813588,-814.6420314509771,1.3364094725445903,14,0.7874978671155314,1362.761753995038,-1822.655023317006,,PT_C1,original_PT_window,pt
72,1.6156810165899478,1.4290188755534035,75.0,45428.670825454275,4.596276194732876,4.341808860653908,-4.6126820117264495,-3574.828559087997,42,29,1.1212910670659906,25352.7578065182,1.5148019806280062,71,1.0055781850084393,30399.983333117245,-3574.8285590879987,"[0.9809582934677086, 2.3352534792265476]",PT_PT_matrix,primary,pt
20,0.5782272698036625,1.1818535540238628,60.0,1972.9542766500442,1.7848189915440609,1.6857981610616743,-4.744503777897002,-1105.4693802500014,10,9,-0.2807246220386531,-914.9841214999688,0.4778565200453671,20,0.39131654589900206,1232.5768729500342,-1105.4693802500014,,PT_PT_matrix,2023,pt
34,0.39139457370433833,0.5300261051503168,67.64705882352942,1318.489257100037,2.0267873210553438,1.9017965459824384,-5.402578619270829,-532.5239220499947,19,18,0.015611080820207296,-0.6881752999666162,0.2911010336273303,34,0.20732870227175967,728.1883541500459,-518.6475474499996,,PT_PT_matrix,2021_2022,pt
27,1.5340291508727124,1.6636597459198847,77.77777777777779,8858.523685150061,5.355532851254822,5.065459634665355,-3.418863025592392,-1365.6221188999916,17,12,0.686145856794342,3074.6826726000527,1.4331868148076663,27,0.928018244508015,5696.912069350068,-721.3800983999947,,PT_PT_matrix,2024,pt
