factor,primary_rank_available,primary_IC,primary_factor_available,IC2024,IC2025,IC2026
ret1,654,0.06507729887936027,654,0.05988287358838707,0.039438689443138816,0.12989904495145185
ret3,654,0.07711662748252938,654,0.04468022773398944,0.11330781493391463,0.08467595575052335
ret5,654,0.030592639079540105,654,0.04408359644783431,0.0023994814662985434,0.08405903051574101
ret10,654,0.015078272955054716,654,0.0030055572556256615,-0.0008421987581780746,0.11512438796565018
ret20,654,-0.030117858509970365,654,-0.019392644646264032,-0.07348412291822186,0.03305962871675294
bias5,654,0.0681947098372665,654,0.061022085673005405,0.0843772973720185,0.08134117030167588
bias20,654,0.00611602021572158,654,0.0011380366968080748,-0.022999051390782486,0.10805337598429555
ma20slope5,654,-0.03691087524092729,654,-0.004721909867249139,-0.10672103641350997,0.04138669234277464
range_pos20,654,0.019699067744892947,654,0.03108219732486544,-0.01055423866906766,0.0823636762096149
drawdown60,654,0.005698556796556049,654,0.02246120668208162,-0.033821043166298706,0.09930575982331091
overnight5,654,-0.00048130457710244775,654,0.03576143942165852,-0.012521703064991323,-0.02123536045491841
intraday5,654,0.04132485418970233,654,0.007051327784828768,0.041570025480341215,0.10618376589801556
overnight_minus_intraday5,654,-0.020935688084635175,654,0.05975760546808013,-0.02910778354176673,-0.13317147353384096
volume_ratio,654,0.055934483726435606,654,0.06074762203342373,0.01992668626439795,0.10650750768912592
volume_trend,654,-0.0048414379682517415,654,-0.005078819934769418,-0.060639907201110975,0.07507430984703421
signed_volume5,654,0.05918685332601426,654,0.06799048083630682,0.04804430589185874,0.07545260508633016
volume_price_corr20,654,-0.02733294205525736,654,0.0014183385262893904,-0.07443362793398843,0.008546966069189808
amihud20,654,0.0023040451977534627,654,-0.07314999571368236,0.08819370701892437,-0.05144696186803079
atr20,654,-0.07379797484393269,654,-0.0426121503683863,-0.16118254325920173,0.00020637166362760567
rv5_20,654,-0.03992711300919722,654,-0.0017366811234275385,-0.09266613676155937,0.0014047850981989117
downside_share20,654,0.01971324643171892,654,-0.022943602739116557,0.0731597569975269,-0.029197152934778443
range_expansion,654,0.04086036144811087,654,0.05334523301164602,-0.008728398282847941,0.1027407904836586
body,653,0.08857048004192598,653,0.05583173511773576,0.12032929582198146,0.10374654102062499
clv,654,0.1325185566726972,654,0.11846459625830816,0.1421250470544743,0.1468780536744464
upper_shadow,653,-0.08466616839054907,653,-0.12543380089345235,-0.037617049210799,-0.09251900599822419
lower_shadow,653,0.052632359229622276,653,0.042384149147862704,0.05230268743227234,0.05505087832204468
clv3,654,0.13803831705217195,654,0.13984341515504142,0.12349547357352231,0.16032640124087155
market_ret1,654,0.08759659522884909,654,0.08627298735960807,0.05348340705994015,0.14156115964377416
market_ret5,654,0.032354648785897056,654,0.11610920989652404,-0.07517935817912502,0.07603454770230716
relative_ret5,654,0.031163729592198167,654,0.026855369644444963,0.02220183845401813,0.07662677599381278
beta_residual1,654,0.049510474286084474,654,0.06089106013629756,0.047507953630463506,0.05486522693537936
prev_late_return,651,0.05443379490358836,651,0.09606641917658319,0.06726249331827845,-0.024400598474802204
prev_am_return,651,0.019167567206927714,651,-0.006873490936064072,0.06429443230570142,-0.0020810205714514355
prev_pm_minus_am,651,0.03440616326477575,651,0.02139573106779385,0.008728556225394287,0.0814403981369792
us_NASDAQCOM,654,0.021892737632061003,654,0.021511563053213723,0.0011453647232027584,0.04790825605335562
us_NASDAQSOX,654,0.00637513953374591,654,-0.02662004476385736,-0.0034059881424964604,0.06917218278508754
current_gap,654,-0.011852380427049536,654,0.019385517053026734,-0.037285732195038515,-0.02550949055955478
gap_over_atr,654,-0.01566116063297406,654,0.016204390235141027,-0.04350527838986109,-0.02865230490734301
