id,stage,factor,tail,timing,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,months,delete5_pct,delete5_cash,stress10bp_pct,delayed_n,delayed_pct,delayed_cash,max_cash_loss,2024_n,2024_pct,2025_n,2025_pct,2026_n,2026_pct,basic_pass,cluster_t,maxT_p,statistical_pass,literal_open_pass
R__range_pos20__high,R,range_pos20,high,previous_close,5,2.7967849250630596,2.9721673083004188,100.0,3604.390874200022,,,0.7265464680488039,0.0,4,4,,,2.6983039981836163,5.0,1.8502437884875818,2405.6025682000204,0.0,4,3.3143445393166235,1,0.7265464680488039,0,,False,,,False,False
R__drawdown60__high,R,drawdown60,high,previous_close,5,2.7967849250630596,2.9721673083004188,100.0,3604.390874200022,,,0.7265464680488039,0.0,4,4,,,2.6983039981836163,5.0,1.8502437884875818,2405.6025682000204,0.0,4,3.3143445393166235,1,0.7265464680488039,0,,False,,,False,False
R__bias5__high,R,bias5,high,previous_close,8,1.7131206894433366,1.874802133956357,87.5,6563.6484140150305,2.9708482597406394,4.7307833480983525,-6.953841041699601,-1759.3217835499988,6,6,-2.0132098645502645,-1497.7244701059924,1.6140963924139238,8.0,0.7060827980137836,2937.6670056680355,-1759.3217835499988,5,1.2607074231133788,2,0.45710572402440336,1,6.487216951930993,False,,,False,False
R__ret3__high,R,ret3,high,previous_close,10,1.5937779689292173,1.177669769292131,80.0,6836.573289619046,3.5302362605553386,4.747981470711293,-5.322547377045629,-1235.895500949995,7,8,-0.9214562078529971,-1369.977355201973,1.4946941716743083,10.0,0.7527129724684078,2821.0533479720516,-1235.895500949995,5,1.586966156044173,4,0.3789329892850786,1,6.487216951930993,False,,,False,False
R__bias20__high,R,bias20,high,previous_close,3,1.492050245320506,0.777436959612295,100.0,1093.393746150015,,,0.7265464680488039,0.0,2,2,,,1.392918285406724,3.0,0.4201135925692647,314.18134725001426,0.0,2,1.874802133956357,1,0.7265464680488039,0,,False,,,False,False
C__drawdown60__high,C,drawdown60,high,previous_close,4,1.2208186148305245,1.2183238807879366,75.0,1581.764496300013,2.392987984282886,3.520722445684558,-3.505611329329607,-627.5044279499997,3,3,,,1.1215520348123267,4.0,0.7480036216401952,1052.2996611500084,-627.5044279499997,2,1.2233133488731123,2,1.2183238807879366,0,,False,,,False,False
C__ret3__low,C,ret3,low,previous_close,5,1.0897591288168857,2.524511394941658,60.0,3409.1935212300314,2.434072298314997,3.4785990888631315,-2.7205006850040694,-707.8409088930041,5,4,,,0.9904217398686207,5.0,0.09899155541379652,1291.5601855710365,-707.8409088930041,1,-2.7205006850040694,2,2.87837388957311,2,1.2062742749711395,False,,,False,False
R__overnight5__high,R,overnight5,high,previous_close,12,1.0893890100331731,1.284694200608441,75.0,7238.146211127051,2.1940414407432507,2.657822991847029,-4.630043570564496,-2814.368371289993,6,5,-1.11164510737145,-3639.1311915399733,0.9900528102211705,12.0,1.1503256704770222,6279.356457821065,-2814.368371289993,7,0.4293471498899458,1,1.577902578971967,4,2.1223338730491226,False,,,False,False
U__combo_persistent_sell,U,combo_persistent_sell,fixed,previous_close,7,1.009033794827538,0.1446823502752929,85.71428571428571,2941.3687356750397,3.5676957998468675,2.6655369138182397,-2.750807383107456,-1766.018339954987,5,4,-1.3461522342546073,-1752.1121971549849,0.9096573892322005,7.0,0.9104538158652,1832.6844311370373,-1766.018339954987,3,1.3727819764669027,1,0.3872763503184962,3,0.8525380946911877,False,,,False,False
U__combo_market_relative_weak,U,combo_market_relative_weak,fixed,previous_close,4,0.961013905913724,1.1544993253917237,75.0,2059.959480280042,3.593139604536856,2.846911671245673,-1.4823943982535637,-1115.3535452459814,4,4,,,0.8616105282849805,4.0,0.7106785594404647,1880.1574742560565,-1115.3535452459814,1,0.0585029145982416,2,0.7675284864357244,1,2.250495736185206,False,,,False,False
