id,window,losing_direction,n,losing_mean,opposite_mean,opposite_cash,large
ALL__ret1__low,primary,rt,136,-0.6337874711976286,0.2540198852643281,9255.15805758157,True
ALL__ret1__low,2023,rt,75,-0.17422836903616795,-0.32270211368847995,-6097.412142149822,False
ALL__ret1__low,2023,pt,75,-0.32270211368847995,-0.17422836903616795,-239.04629534986594,False
ALL__ret1__low,2021_2022,rt,84,-0.6803792324284679,0.09079378854733895,1125.2744143001037,True
ALL__ret1__low,2024,rt,49,-0.7889249881698531,0.3890747952171002,3322.75136720014,True
ALL__ret1__low,2025,rt,47,-0.4765386172560565,0.09996070172871971,65.79762252515798,False
ALL__ret1__low,2026,rt,40,-0.6285114162880004,0.2695971612265222,5866.609067856276,True
ALL__ret1__low,original_PT_window,rt,211,-0.47043707943407603,0.04902391407257168,3157.7459154317485,False
ALL__ret1__high,primary,rt,139,-0.349014209129948,-0.03055966400356108,-5236.308789353492,False
ALL__ret1__high,primary,pt,139,-0.03055966400356108,-0.349014209129948,-14993.870461645365,False
ALL__ret1__high,2023,rt,65,-0.9952754286334737,0.47534251753855383,4494.951316350139,True
ALL__ret1__high,2021_2022,rt,91,-0.28055822104741024,-0.3121140926737387,-3440.8879776498884,False
ALL__ret1__high,2021_2022,pt,91,-0.3121140926737387,-0.28055822104741024,-2381.417707349903,False
ALL__ret1__high,2024,rt,50,-0.32861506221342973,-0.06788577227786004,-1599.0581044498977,False
ALL__ret1__high,2024,pt,50,-0.06788577227786004,-0.32861506221342973,-2818.753263049863,False
ALL__ret1__high,2025,rt,61,-0.7761540869246064,0.40000769844080986,15470.267820891271,True
ALL__ret1__high,2026,pt,28,-0.9019276531246925,0.5451134765717753,12584.562761295176,True
ALL__ret1__high,original_PT_window,rt,203,-0.5683063555374747,0.14366357899184035,925.5811221816439,True
ALL__ret3__low,primary,rt,128,-0.7903297091600595,0.4119527340242856,12184.585830523636,True
ALL__ret3__low,2023,rt,73,-0.6996178784560523,0.21215297419257698,2292.127991950182,True
ALL__ret3__low,2021_2022,rt,82,-0.46285829507861864,-0.12899039095424836,-1733.7184304999137,False
ALL__ret3__low,2021_2022,pt,82,-0.12899039095424836,-0.46285829507861864,-3532.8188894999053,False
ALL__ret3__low,2024,rt,41,-1.3256147817678845,0.9221034680951846,8172.881984650083,True
ALL__ret3__low,2025,rt,42,-0.8125012395540532,0.4371427870072589,6293.687279172212,True
ALL__ret3__low,2026,rt,45,-0.28193210352742404,-0.07636198424664181,-2281.9834332986616,False
ALL__ret3__low,2026,pt,45,-0.07636198424664181,-0.28193210352742404,-7540.669473200725,False
ALL__ret3__low,original_PT_window,rt,201,-0.7573846164168131,0.3393886421451079,14476.71382247382,True
ALL__ret3__high,primary,rt,136,-0.2153602755623873,-0.16435869524600322,-18653.496920148405,False
ALL__ret3__high,primary,pt,136,-0.16435869524600322,-0.2153602755623873,-598.0131103503641,False
ALL__ret3__high,2023,rt,74,-0.8169164951140505,0.29671254422333265,2697.282372100146,True
ALL__ret3__high,2021_2022,rt,87,-0.2736802600048817,-0.3132072611918209,-3157.0668465498784,False
ALL__ret3__high,2021_2022,pt,87,-0.3132072611918209,-0.2736802600048817,-2537.3766884498878,False
ALL__ret3__high,2024,rt,45,-0.23104455958960304,-0.16479713972095936,-3397.8852043998922,False
ALL__ret3__high,2024,pt,45,-0.16479713972095936,-0.23104455958960304,-638.574845599875,False
ALL__ret3__high,2025,rt,69,-0.4303549165745419,0.05387865139209329,-657.833881486707,False
ALL__ret3__high,2026,pt,22,-0.847933555093986,0.4910225885768568,9516.19693426215,True
ALL__ret3__high,original_PT_window,rt,209,-0.43971832707556546,0.010134841678960588,-14289.27595286326,False
ALL__ret5__low,primary,rt,133,-0.7347720854438291,0.35504811283406046,12545.396151550629,True
ALL__ret5__low,2023,rt,75,-1.0456684799231002,0.5602657939328292,7300.518049650178,True
ALL__ret5__low,2021_2022,rt,84,-0.4138087125447144,-0.17791149396368416,-1834.431755699912,False
ALL__ret5__low,2021_2022,pt,84,-0.17791149396368416,-0.4138087125447144,-3553.572194299893,False
ALL__ret5__low,2024,rt,47,-0.8529581498421466,0.45257756469683624,4055.772557950096,True
ALL__ret5__low,2025,rt,45,-0.7463656848660526,0.36918804609270145,3792.9472087142403,True
ALL__ret5__low,2026,rt,41,-0.5865658171335614,0.2277266193172487,4696.676384886292,True
ALL__ret5__low,original_PT_window,rt,208,-0.8468741507608738,0.4290448728456357,19845.91420120081,True
ALL__ret5__high,primary,rt,134,-0.7449164175192128,0.36420941286793074,3379.999606772523,True
ALL__ret5__high,2023,rt,75,-0.43941220435367634,-0.08135109771412684,-3234.999034949869,False
ALL__ret5__high,2023,pt,75,-0.08135109771412684,-0.43941220435367634,-3254.224422549858,False
ALL__ret5__high,2021_2022,rt,88,-0.17780724129636982,-0.4116856045936009,-4272.119717099875,False
ALL__ret5__high,2021_2022,pt,88,-0.4116856045936009,-0.17780724129636982,-1433.5389928998684,False
ALL__ret5__high,2024,rt,48,-0.8346579476770591,0.4356048981044606,2818.3727421501103,True
ALL__ret5__high,2025,rt,67,-1.1925463838565804,0.8179458181135706,20491.299076869247,True
ALL__ret5__high,2026,pt,19,-1.41617597885898,1.0602836452271172,15281.529750747159,True
