direction,year,id,date,net_pct,cash
rt,2025,C__drawdown60__low,2025-12-09,-6.417454118864033,-4107.17063607298
rt,2025,C__drawdown60__low,2025-12-12,-1.4093568106967094,-859.7076545249927
rt,2025,C__drawdown60__low,2025-12-18,1.9714255323304384,1174.181047056009
rt,2025,C__drawdown60__low,2025-12-23,-3.979392825643976,-2409.920295209992
rt,2026,C__clv__high,2026-01-22,-1.898432858748584,-1171.1432305620012
rt,2026,C__clv__high,2026-01-23,2.871299747424193,1780.2058434029998
rt,2026,C__clv__high,2026-02-26,-1.137861637604522,-653.1325799849957
rt,2026,C__clv__high,2026-04-02,1.0750771913824777,566.1356489820128
rt,2026,C__clv__high,2026-04-09,-0.2154421080981723,-118.49315945399476
rt,2026,C__clv__high,2026-04-15,2.4169591980424587,1434.7069799580036
rt,2026,C__clv__high,2026-04-20,0.4353338828987076,269.4281401260102
rt,2026,C__clv__high,2026-04-22,-9.500315327488163,-5813.242948890008
rt,2026,C__clv__high,2026-08-06,-4.331237586947363,-2839.1262382439963
rt,2026,C__clv__high,2026-08-18,2.038032457976392,1379.7479740500175
rt,2026,C__clv__high,2026-09-01,2.013501513608397,1295.688224007003
rt,2026,C__clv__high,2026-09-08,2.160312243868787,1432.2870176850058
pt,2024,U__beta_residual1__low,2024-02-22,-0.5352046728766788,-97.67485279999389
pt,2024,U__beta_residual1__low,2024-02-29,2.708514180341433,491.8661751500044
pt,2024,U__beta_residual1__low,2024-03-07,0.4259450520694381,95.70985320000275
pt,2024,U__beta_residual1__low,2024-03-13,-4.84578237451057,-1237.6128184499996
pt,2024,U__beta_residual1__low,2024-03-15,2.424300013116941,545.2250729500001
pt,2024,U__beta_residual1__low,2024-03-21,-0.5503367342503835,-138.0244529499962
pt,2024,U__beta_residual1__low,2024-05-10,-0.5266384183333146,-126.3932203999955
pt,2024,U__beta_residual1__low,2024-06-26,-0.0046685370575103,-1.2661072499968
pt,2024,U__beta_residual1__low,2024-07-03,0.6574826745856509,178.50654615000423
pt,2024,U__beta_residual1__low,2024-07-12,-1.5972053777576654,-441.62728694999447
pt,2024,U__beta_residual1__low,2024-10-17,-0.4462089726545828,-106.06387279999431
pt,2024,U__beta_residual1__low,2024-10-24,0.5626837776232219,141.57123845000262
pt,2024,U__beta_residual1__low,2024-10-29,-0.7862945962301444,-198.1462382499964
pt,2024,U__beta_residual1__low,2024-11-13,3.730986346682381,950.2822225000024
pt,2025,U__overnight5__high,2025-06-27,1.2723927711501914,267.7114390500003
pt,2025,U__overnight5__high,2025-06-30,-0.6636091969273757,-142.5432555000003
pt,2025,U__overnight5__high,2025-07-01,0.4588370211665016,97.54875069999824
pt,2025,U__overnight5__high,2025-07-02,-0.3876335386792294,-82.17831019999664
pt,2025,U__overnight5__high,2025-07-09,-1.6689975999999704,-450.629351999992
pt,2025,U__overnight5__high,2025-07-10,-2.937301352044592,-790.1340636999952
pt,2025,U__overnight5__high,2025-07-11,-0.573044063218388,-149.56450049999927
pt,2025,U__overnight5__high,2025-07-14,-0.4978181553845981,-129.4327203999955
pt,2025,U__overnight5__high,2025-07-15,3.418522118821301,899.0713172500022
pt,2025,U__overnight5__high,2025-07-16,-1.151372800296408,-310.7555188000006
pt,2025,U__overnight5__high,2025-07-31,3.872790015784733,1288.0899592500025
pt,2025,U__overnight5__high,2025-08-01,-3.1195933970588023,-1060.6617549999928
pt,2025,U__overnight5__high,2025-08-11,-0.5899162006848996,-215.3194132499884
pt,2025,U__overnight5__high,2025-08-12,8.694623246687717,3170.9290980670107
pt,2025,U__overnight5__high,2025-08-13,9.779317341117832,3884.3448478920022
pt,2025,U__overnight5__high,2025-08-14,-1.8604759344813384,-817.8652207979965
pt,2025,U__overnight5__high,2025-09-05,4.562226340395881,2431.666639431005
pt,2025,U__overnight5__high,2025-09-08,-6.717014494036358,-3694.357971719997
pt,2025,U__overnight5__high,2025-09-09,-3.369841558624988,-1698.4001455469938
pt,2025,U__overnight5__high,2025-09-11,5.620747776967758,3136.377259548009
pt,2025,U__overnight5__high,2025-09-12,4.944147898359389,2911.114282554008
pt,2025,U__overnight5__high,2025-09-15,-0.3455308204499951,-207.31849226999708
pt,2025,U__overnight5__high,2025-09-16,-0.4126272217771644,-247.03991767798837
pt,2025,U__overnight5__high,2025-09-17,3.585729258733456,2111.994533394005
pt,2025,U__overnight5__high,2025-09-24,-0.4258650826438902,-292.9951768589965
pt,2025,U__overnight5__high,2025-09-26,-4.141943516411525,-2797.8828453359847
pt,2025,U__overnight5__high,2025-10-27,4.8685803298440735,3371.9787364500053
pt,2025,U__overnight5__high,2025-10-28,3.76416266337032,2679.330983786994
pt,2025,U__overnight5__high,2025-10-30,-2.713649366351232,-2170.919493080986
pt,2025,U__overnight5__high,2025-10-31,-7.80341265242462,-6082.760162564991
pt,2025,U__overnight5__high,2025-11-03,6.251889854791096,4398.829701831015
pt,2026,U__bias5__low,2026-05-06,-0.4947487176675099,-313.0769885400003
pt,2026,U__bias5__low,2026-05-07,-0.0387882765751092,-24.859406456987493
pt,2026,U__bias5__low,2026-06-08,0.5202433456536848,364.118317623014
