scale,window,label,completed_legs,profitable_rt_legs,profitable_pt_legs,both_negative_legs,positive_net_rt_cash,negative_net_rt_cash
0.08,full_available,U,43,0,43,0,0.0,-290185.16416517587
0.08,full_available,D,46,43,0,3,117277.40634546202,-1193.741894499744
0.08,full_available,R,25,10,13,2,14274.291774317058,-36820.59575287169
0.08,full_2020,U,34,0,34,0,0.0,-253863.0773678262
0.08,full_2020,D,37,34,0,3,104893.80456481174,-1193.741894499744
0.08,full_2020,R,24,10,12,2,14274.291774317058,-35477.9272220217
0.08,primary,U,19,0,19,0,0.0,-197537.12916892665
0.08,primary,D,18,18,0,0,74029.84804626131,0.0
0.08,primary,R,9,5,4,0,9227.726471167047,-14829.400890771969
0.08,2020,U,5,0,5,0,0.0,-13490.76380834983
0.08,2020,D,5,3,0,2,7168.159860100074,-551.909831899871
0.08,2020,R,1,1,0,0,402.5042525000037,0.0
0.08,2021,U,2,0,2,0,0.0,-3381.2372071999553
0.08,2021,D,2,2,0,0,2242.0012312501076,0.0
0.08,2021,R,2,0,1,1,0.0,-3978.660779849834
0.08,2022,U,0,0,0,0,0.0,0.0
0.08,2022,D,1,1,0,0,232.14771630002963,0.0
0.08,2022,R,1,0,0,1,0.0,-3200.0886127499357
0.08,2023,U,6,0,6,0,0.0,-25677.115698849913
0.08,2023,D,9,9,0,0,19674.228736350207,0.0
0.08,2023,R,11,4,7,0,4644.061050650007,-13469.77693864996
0.08,2024,U,8,0,8,0,0.0,-40582.21460244972
0.08,2024,D,6,6,0,0,14497.189926250307,0.0
0.08,2024,R,5,3,2,0,2627.7573426000185,-4792.744574799985
0.08,2025,U,7,0,7,0,0.0,-103325.66829381426
0.08,2025,D,4,4,0,0,15006.323209854372,0.0
0.08,2025,R,2,2,0,0,6599.969128567029,0.0
0.08,2026,U,4,0,4,0,0.0,-53629.24627266265
0.08,2026,D,6,6,0,0,36744.01434182742,0.0
0.08,2026,R,2,0,2,0,0.0,-10036.656315971984
0.12,full_available,U,22,0,22,0,0.0,-236980.63608897122
0.12,full_available,D,22,20,0,2,65737.2231221958,-1399.3053535999013
0.12,full_available,R,9,3,4,2,7452.947857667161,-37757.367449399084
0.12,full_2020,U,20,0,20,0,0.0,-224768.3058776714
0.12,full_2020,D,19,17,0,2,59465.84077299558,-1399.3053535999013
0.12,full_2020,R,7,3,2,2,7452.947857667161,-18417.161763949338
0.12,primary,U,15,0,15,0,0.0,-187071.22692527168
0.12,primary,D,12,11,0,1,46384.99495769528,-1322.0269225999368
0.12,primary,R,2,2,0,0,6599.969128567029,0.0
0.12,2020,U,0,0,0,0,0.0,0.0
0.12,2020,D,1,1,0,0,464.3133507000489,0.0
0.12,2020,R,2,1,1,0,852.9787291001329,-5987.306361049856
0.12,2021,U,0,0,0,0,0.0,0.0
0.12,2021,D,0,0,0,0,0.0,0.0
0.12,2021,R,0,0,0,0,0.0,0.0
0.12,2022,U,0,0,0,0,0.0,0.0
0.12,2022,D,1,1,0,0,232.14771630002963,0.0
0.12,2022,R,1,0,0,1,0.0,-3200.0886127499357
0.12,2023,U,3,0,3,0,0.0,-18221.579405649925
0.12,2023,D,4,3,0,1,10619.019937400159,-77.27843099996448
0.12,2023,R,1,0,1,0,0.0,-3470.037971749994
0.12,2024,U,5,0,5,0,0.0,-35756.30077784972
0.12,2024,D,4,3,0,1,7341.5122722501765,-1322.0269225999368
0.12,2024,R,0,0,0,0,0.0,0.0
0.12,2025,U,7,0,7,0,0.0,-103325.66829381426
0.12,2025,D,4,4,0,0,15006.323209854372,0.0
0.12,2025,R,2,2,0,0,6599.969128567029,0.0
0.12,2026,U,3,0,3,0,0.0,-47989.2578536077
0.12,2026,D,2,2,0,0,17293.84278664526,0.0
0.12,2026,R,0,0,0,0,0.0,0.0
0.2,full_available,U,10,0,10,0,0.0,-173553.5615030565
0.2,full_available,D,10,9,0,1,31957.080040085082,-1322.0269225999368
0.2,full_available,R,8,1,4,3,852.9787291001329,-47321.09489953006
0.2,full_2020,U,10,0,10,0,0.0,-173553.5615030565
0.2,full_2020,D,8,7,0,1,27372.40483198487,-1322.0269225999368
0.2,full_2020,R,5,1,1,3,852.9787291001329,-17455.266143880504
0.2,primary,U,6,0,6,0,0.0,-136867.6677387568
0.2,primary,D,4,3,0,1,19082.208323834584,-1322.0269225999368
0.2,primary,R,2,0,0,2,0.0,-2740.290067981188
0.2,2020,U,0,0,0,0,0.0,0.0
0.2,2020,D,1,1,0,0,464.3133507000489,0.0
0.2,2020,R,2,1,1,0,852.9787291001329,-5987.306361049856
0.2,2021,U,0,0,0,0,0.0,0.0
0.2,2021,D,0,0,0,0,0.0,0.0
0.2,2021,R,0,0,0,0,0.0,0.0
0.2,2022,U,0,0,0,0,0.0,0.0
0.2,2022,D,0,0,0,0,0.0,0.0
0.2,2022,R,0,0,0,0,0.0,0.0
0.2,2023,U,2,0,2,0,0.0,-17210.394217549896
0.2,2023,D,2,2,0,0,6060.518346550171,0.0
0.2,2023,R,0,0,0,0,0.0,0.0
0.2,2024,U,3,0,3,0,0.0,-27371.92862059973
0.2,2024,D,2,1,0,1,1241.6788731501324,-1322.0269225999368
0.2,2024,R,0,0,0,0,0.0,0.0
0.2,2025,U,2,0,2,0,0.0,-83297.11426204334
0.2,2025,D,1,1,0,0,8776.806305427173,0.0
0.2,2025,R,0,0,0,0,0.0,0.0
0.2,2026,U,1,0,1,0,0.0,-26198.624856113747
0.2,2026,D,1,1,0,0,9063.723145257278,0.0
0.2,2026,R,0,0,0,0,0.0,0.0
