date,ordinal,open,close,signal_close,stage,rt_cash,rt_pct,pt_cash,pt_pct,later_open,hindsight_8,segment_8,phase_8,hindsight_12,segment_12,phase_12,hindsight_20,segment_20,phase_20,D,DD2,DD3,BR10,BR20,D_I10,DD2_I10,DD3_I10,BR10_I10,BR20_I10,PT_frozen
2018-06-08,0,16.52,19.83,144.0087145969499,UNKNOWN,-3355.050256549999,-20.309020923426143,3261.641431550001,19.743592200665866,,EDGE,-1,EDGE,EDGE,-1,EDGE,EDGE,-1,EDGE,False,False,False,False,False,False,False,False,False,False,False
2018-06-11,1,21.81,21.81,158.38779956427015,UNKNOWN,-54.045294999994034,-0.2478005272810363,-54.045294999994034,-0.2478005272810363,,R,0,early,R,0,early,R,0,early,False,False,False,False,False,False,False,False,False,False,False
2018-06-12,2,23.99,23.99,174.21931735657228,UNKNOWN,-58.44780499999797,-0.2436340350145809,-58.44780499999797,-0.2436340350145809,,R,0,middle,R,0,middle,R,0,middle,False,False,False,False,False,False,False,False,False,False,False
2018-06-13,3,24.55,25.72,186.78286129266525,UNKNOWN,-1230.1754308499949,-5.010897885336027,1108.655165849998,4.515906989205694,,R,0,late,R,0,late,R,0,late,False,False,False,False,False,False,False,False,False,False,False
2018-06-14,4,24.51,23.29,169.13580246913585,UNKNOWN,1161.124261100006,4.737349086495333,-1277.6563611000015,-5.212796250917999,,D,1,early,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-06-15,5,22.6,22.58,163.97966594045027,UNKNOWN,-35.63049989999288,-0.1576570792035083,-75.61051010000014,-0.3345597792035404,,D,1,early,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-06-19,6,21.83,20.32,147.56717501815547,UNKNOWN,1456.6844225500029,6.672855806459014,-1561.8063475499937,-7.154403790884074,,D,1,early,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-06-20,7,19.8,19.86,144.2265795206972,UNKNOWN,-110.0167002999981,-0.5556399005050409,9.923330300001894,0.0501178297979893,,D,1,early,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-06-21,8,19.6,18.17,131.95352214960064,UNKNOWN,1381.1471071500052,7.046668914030638,-1477.4236221499948,-7.537875623214259,,D,1,early,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-06-22,9,17.7,18.72,135.9477124183007,UNKNOWN,-1066.2653550999955,-6.024098051412404,972.7151651000044,5.4955659045198,,D,1,early,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-06-25,10,18.62,18.21,132.24400871459702,UNKNOWN,362.60601205000273,1.947400709183688,-456.9841970499973,-2.4542652902792548,,D,1,early,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-06-26,11,17.74,18.53,134.56790123456796,UNKNOWN,-836.2288339499984,-4.713804024520847,742.9815689500052,4.18817118912066,,D,1,middle,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-06-27,12,18.5,18.27,132.67973856209156,UNKNOWN,182.75655115000524,0.9878732494594878,-277.0135661499984,-1.497370627837829,,D,1,middle,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-06-28,13,18.22,17.89,129.92011619462608,UNKNOWN,283.37301164999974,1.55528546459934,-376.2971566499966,-2.06529723737649,,D,1,middle,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-06-29,14,17.95,18.44,133.91430646332617,UNKNOWN,-536.4999274499997,-2.9888575345403887,443.0103224500039,2.468024080501414,,D,1,middle,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-02,15,18.2,17.59,127.74146695715332,UNKNOWN,563.5562030499996,3.096462654120877,-655.8341080499968,-3.603484110164817,,D,1,middle,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-03,16,17.54,17.9,129.99273783587515,UNKNOWN,-405.6056317999975,-2.312460842645368,314.0345518000025,1.7903908312428876,,D,1,middle,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-04,17,17.7,17.17,124.69135802469144,UNKNOWN,484.5251526499987,2.7374302409604447,-574.9451176499977,-3.2482775008474443,,D,1,late,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-05,18,17.0,16.96,123.16630355846048,UNKNOWN,-4.3110997999959295,-0.0253594105882113,-84.27112019999592,-0.4957124717646818,,D,1,late,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-06,19,16.91,17.23,125.12708787218595,UNKNOWN,-364.31294659999605,-2.1544231023063043,275.3672166000039,1.6284282471910343,,D,1,late,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
