id,episode,entry,last_trade,signal_asof,n,cash,mean_pct
D,1,2018-10-10,2018-11-02,2018-10-09,18,-212.32393294997564,-0.1582265295452493
D,2,2018-11-28,2018-12-05,2018-11-27,6,-443.3857311999977,-0.628445376730319
D,3,2018-12-07,2018-12-13,2018-12-06,5,-431.12084629999003,-0.7211243039052825
D,4,2018-12-20,2018-12-24,2018-12-19,3,-161.48051029999257,-0.4632001718629599
D,5,2018-12-27,2018-12-27,2018-12-26,1,326.1111618000002,2.735831894295304
D,6,2019-01-03,2019-01-09,2019-01-02,5,-757.7752179499983,-1.3070909622688247
D,7,2019-05-21,2019-05-31,2019-05-20,9,-951.908988099984,-0.8046972085302871
D,8,2019-06-04,2019-07-01,2019-06-03,19,-1356.9220884999754,-0.6200245994263053
D,9,2020-03-10,2020-04-07,2020-03-09,20,960.494728650032,0.3057391676401382
D,10,2020-04-13,2020-04-14,2020-04-10,2,-314.08344120000004,-1.1938833406057265
D,11,2020-05-21,2020-06-01,2020-05-20,8,-197.6712944999784,-0.19885779644933776
D,12,2020-09-07,2020-09-08,2020-09-04,2,-276.54702599999746,-0.9924878954145444
D,13,2020-09-10,2020-10-09,2020-09-09,16,-369.16433884997343,-0.17867804911170887
D,14,2020-12-21,2020-12-30,2020-12-18,8,-327.51545014998743,-0.3133534768251598
D,15,2021-02-26,2021-03-03,2021-02-25,4,-221.24956534999598,-0.4166529136054438
D,16,2021-03-05,2021-03-05,2021-03-04,1,-287.3907512499964,-2.1288203796296026
D,17,2021-03-09,2021-03-09,2021-03-08,1,-257.7389610999991,-1.884056733187128
D,18,2021-03-18,2021-03-24,2021-03-17,5,-477.0498064499885,-0.7020749091048322
D,19,2021-03-30,2021-03-30,2021-03-29,1,-658.0641330999993,-4.789404171033474
D,20,2021-05-20,2021-06-18,2021-05-19,21,-251.88834754996643,-0.11004099222269688
D,21,2021-06-22,2021-06-23,2021-06-21,2,-249.95325589999888,-1.0148316008396367
D,22,2021-07-05,2021-08-02,2021-07-02,21,-796.479390449978,-0.3415527504117308
D,23,2021-10-22,2021-11-04,2021-10-21,10,-540.107956049979,-0.478716527198434
D,24,2021-12-02,2021-12-08,2021-12-01,5,-493.88634664999313,-0.8746108802927163
D,25,2022-01-28,2022-02-21,2022-01-27,12,-613.0274310999819,-0.45472363096545565
D,26,2022-02-23,2022-02-23,2022-02-22,1,-102.79546534999848,-0.912115930346038
D,27,2022-02-25,2022-03-03,2022-02-24,5,-192.94574014999222,-0.3456187529472674
D,28,2022-03-08,2022-04-14,2022-03-07,26,124.69585460003807,0.03139296856947731
D,29,2022-04-19,2022-05-20,2022-04-18,21,-350.7785386999848,-0.19937549031129065
D,30,2022-05-25,2022-05-26,2022-05-24,2,-176.8968805999993,-0.9694694401810375
D,31,2022-05-31,2022-05-31,2022-05-30,1,-268.64121619999906,-2.929566152671746
D,32,2022-09-19,2022-11-01,2022-09-16,27,-312.37246789997573,-0.17115174298184327
D,33,2023-08-24,2023-08-24,2023-08-23,1,14.596950349999858,0.0648753348888882
D,34,2023-08-28,2023-08-31,2023-08-25,4,-720.1127452499945,-0.8924988618131662
D,35,2023-09-04,2023-09-22,2023-09-01,15,-487.1050869999551,-0.23462880770566183
