id,scale,segment,start,end,n,oracle_profitable,oracle_cash,detected,first_trade,days_missed,traded_days,cash_before_first,all_remaining_cash,actual_mask_cash,actual_mask_mean
D,0.08,1,2018-06-13,2018-07-11,19,True,2602.6259725500513,False,,19,0,2602.6259725500513,0.0,0.0,
D,0.08,3,2018-07-24,2018-10-18,56,True,2152.560186950079,True,2018-10-10,49,7,835.7848941500724,1316.7752928000061,1316.7752928000061,1.5125616384818652
D,0.08,5,2018-11-19,2018-11-29,8,True,1183.883747300011,True,2018-11-28,6,2,981.2446859500111,202.6390613499998,202.6390613499998,0.8424648056698496
D,0.08,7,2019-03-07,2019-03-26,13,True,1686.7071411000184,False,,13,0,1686.7071411000184,0.0,0.0,
D,0.08,9,2019-04-18,2019-06-18,39,True,2165.3739932500616,True,2019-05-21,19,19,3050.8976791000327,-885.5236858499716,-1068.1706869499715,-0.46457602124860387
D,0.08,11,2019-07-03,2019-07-22,13,True,444.62125455001706,False,,13,0,444.62125455001706,0.0,0.0,
D,0.08,13,2019-07-31,2019-08-07,5,True,281.06738230001133,False,,5,0,281.06738230001133,0.0,0.0,
D,0.08,15,2019-09-24,2019-10-09,6,True,1178.7874521000135,False,,6,0,1178.7874521000135,0.0,0.0,
D,0.08,17,2019-12-16,2019-12-27,9,True,687.9746505500234,False,,9,0,687.9746505500234,0.0,0.0,
D,0.08,21,2020-02-24,2020-03-23,20,True,3691.0958327500257,True,2020-03-10,10,10,1809.889356350012,1881.2064764000133,1881.2064764000133,1.3251432520023994
D,0.08,23,2020-05-06,2020-05-25,13,True,933.6649871500254,True,2020-05-21,10,3,315.5065285000156,618.1584586500097,618.1584586500097,1.5101850338754457
D,0.08,25,2020-07-09,2020-07-27,12,True,2543.3990402000227,False,,12,0,2543.3990402000227,0.0,0.0,
D,0.08,27,2020-08-17,2020-11-02,49,False,-367.6967274499161,True,2020-09-07,14,18,571.065570650019,-938.762298099935,-645.711364849971,-0.2691013653675795
D,0.08,29,2020-11-10,2020-12-28,34,False,-184.21310444995498,True,2020-12-21,28,6,-301.0291511499647,116.81604670000975,116.81604670000975,0.1347387310806444
D,0.08,31,2021-01-18,2021-02-05,14,True,1770.255351600024,False,,14,0,1770.255351600024,0.0,0.0,
D,0.08,33,2021-04-19,2021-07-29,69,True,471.7458796500835,True,2021-05-20,19,42,366.60010545002945,105.14577420005457,-383.09497964994915,-0.07843435366975016
D,0.08,37,2021-12-21,2022-05-24,99,False,-641.8320625998729,True,2022-01-28,26,65,-98.13465609996666,-543.6974064999065,-1134.8513206999196,-0.17642402123690057
D,0.08,39,2022-08-11,2022-10-10,36,True,232.14771630002963,True,2022-09-19,25,11,-505.29829389997735,737.4460102000071,737.4460102000071,0.756058375946317
D,0.08,47,2023-04-20,2023-05-12,13,True,3484.9765602000234,False,,13,0,3484.9765602000234,0.0,0.0,
D,0.08,51,2023-06-19,2023-06-28,5,True,766.847540300015,False,,5,0,766.847540300015,0.0,0.0,
D,0.08,53,2023-06-30,2023-07-12,8,True,1711.1463609000123,False,,8,0,1711.1463609000123,0.0,0.0,
D,0.08,55,2023-07-14,2023-07-27,9,True,3156.9860684500204,False,,9,0,3156.9860684500204,0.0,0.0,
D,0.08,57,2023-08-07,2023-08-18,9,True,2353.687694200021,False,,9,0,2353.687694200021,0.0,0.0,
D,0.08,59,2023-08-22,2023-09-15,18,True,3077.8165092500462,True,2023-08-24,1,15,775.6509891500062,2302.1655201000394,977.3700655000382,0.3235490946318026
D,0.08,61,2023-09-22,2023-10-25,17,True,2343.1885098500334,True,2023-09-26,1,12,430.2094423500058,1912.9790675000274,1081.774537550021,0.4495977083853871
D,0.08,63,2023-11-15,2023-12-05,14,True,1391.0260818000202,False,,14,0,1391.0260818000202,0.0,0.0,
D,0.08,65,2023-12-08,2023-12-26,12,True,1388.5534114000163,True,2023-12-13,2,9,462.5805476500002,925.9728637500164,338.7112681500171,0.2538649240513409
D,0.08,67,2023-12-29,2024-01-17,12,True,1547.4189745500141,True,2024-01-03,1,11,767.6117540000033,779.807220550011,779.807220550011,0.5116410833106358
D,0.08,73,2024-03-19,2024-04-10,14,True,2834.2643573500295,False,,14,0,2834.2643573500295,0.0,0.0,
D,0.08,77,2024-05-20,2024-05-31,9,True,3110.6215427000366,False,,9,0,3110.6215427000366,0.0,0.0,
D,0.08,79,2024-07-09,2024-09-06,43,True,1241.6788731501324,True,2024-08-02,17,25,1104.0723721500435,137.60650100008831,-741.9053960999156,-0.1978900969262006
D,0.08,81,2024-10-08,2024-10-16,6,True,2989.211856400008,False,,6,0,2989.211856400008,0.0,0.0,
D,0.08,83,2024-10-22,2024-11-01,8,True,16.102027000020314,False,,8,0,16.102027000020314,0.0,0.0,
D,0.08,85,2024-11-11,2024-12-16,25,True,4305.311269650078,True,2024-12-10,20,5,3292.540351000063,1012.7709186500155,1012.7709186500155,0.9095340032381184
D,0.08,87,2024-12-26,2025-01-13,11,True,2456.9315396000293,True,2025-01-03,4,7,2125.0490040000086,331.8825356000199,331.8825356000199,0.22211436453668962
D,0.08,91,2025-02-19,2025-04-08,33,True,1552.8668146500636,True,2025-03-20,20,13,2.386854300036532,1550.4799603500273,1550.4799603500273,0.661180467313873
D,0.08,95,2025-09-23,2025-10-14,9,True,3613.543202736054,False,,9,0,3613.543202736054,0.0,0.0,
D,0.08,97,2025-10-29,2025-11-24,18,True,8776.806305427173,False,,18,0,8776.806305427173,0.0,0.0,
D,0.08,99,2025-12-09,2025-12-18,7,True,1063.1068870410813,True,2025-12-15,3,3,2248.1547567930575,-1185.0478697519761,-2359.228916807985,-1.3317557865356056
D,0.08,101,2025-12-25,2026-02-04,27,True,5325.389028729188,True,2026-01-09,8,11,3486.15010188007,1839.238926849118,5350.075944777076,0.8167000323321237
D,0.08,103,2026-02-26,2026-03-23,17,True,3114.1810198710978,True,2026-03-02,1,16,499.57931862,2614.6017012510974,2614.6017012510974,0.3140413320224138
D,0.08,105,2026-06-03,2026-06-11,6,True,2930.6199484440617,False,,6,0,2930.6199484440617,0.0,0.0,
D,0.08,107,2026-06-22,2026-07-06,10,True,9610.253159976091,False,,10,0,9610.253159976091,0.0,0.0,
D,0.08,109,2026-07-09,2026-07-20,7,True,11855.407948155045,True,2026-07-17,5,2,5257.489774068026,6597.918174087019,6597.918174087019,5.417043152594882
D,0.08,111,2026-07-23,2026-07-30,5,True,2934.2180460420473,True,2026-07-24,0,5,0.0,2934.2180460420473,2934.2180460420473,1.0342081656558677
D,0.08,113,2026-08-10,2026-08-25,11,True,6299.334219339073,False,,11,0,6299.334219339073,0.0,0.0,
D,0.12,1,2018-06-13,2018-10-18,84,True,2419.301214850151,True,2018-10-10,77,7,1102.5259220501446,1316.7752928000061,1316.7752928000061,1.5125616384818652
D,0.12,3,2019-03-07,2019-03-26,13,True,1686.7071411000184,False,,13,0,1686.7071411000184,0.0,0.0,
D,0.12,5,2019-04-18,2019-06-18,39,True,2165.3739932500616,True,2019-05-21,19,19,3050.8976791000327,-885.5236858499716,-1068.1706869499715,-0.46457602124860387
D,0.12,7,2020-01-22,2020-03-23,37,True,464.3133507000489,True,2020-03-10,27,10,-1416.8931256999642,1881.2064764000133,1881.2064764000133,1.3251432520023994
D,0.12,13,2022-08-11,2022-10-10,36,True,232.14771630002963,True,2022-09-19,25,11,-505.29829389997735,737.4460102000071,737.4460102000071,0.756058375946317
D,0.12,15,2023-04-18,2023-05-12,15,True,3471.6085356000262,False,,15,0,3471.6085356000262,0.0,0.0,
D,0.12,17,2023-06-19,2023-07-12,15,False,-77.27843099996448,False,,15,0,-77.27843099996448,0.0,0.0,
D,0.12,19,2023-07-14,2023-07-27,9,True,3156.9860684500204,False,,9,0,3156.9860684500204,0.0,0.0,
D,0.12,21,2023-08-07,2023-10-25,51,True,3990.4253333501124,True,2023-08-24,12,32,1515.0622508000274,2475.363082550086,-110.84634434992859,-0.050918116478876896
D,0.12,23,2023-11-15,2024-01-17,44,True,1765.3648109000649,True,2023-12-06,14,25,1391.0260818000202,374.3387291000445,-1090.4596665499612,-0.30165491608059575
