id,window,losing,n,losing_mean_pct,losing_cash,opposite,opposite_mean_pct,opposite_cash,large
D,full_available,rt,511,-0.3960197764736695,-38823.540190044856,pt,-0.10516519619677776,-5672.269305452877,False
D,full_available,pt,511,-0.10516519619677776,-5672.269305452877,rt,-0.3960197764736695,-38823.540190044856,False
D,full_2020,rt,445,-0.3773702668939599,-34834.73403654494,pt,-0.11382531942277321,-5081.764018952967,False
D,full_2020,pt,445,-0.11382531942277321,-5081.764018952967,rt,-0.3773702668939599,-34834.73403654494,False
D,primary,rt,166,-0.4904196864560082,-24677.01357294536,pt,0.09903364820113696,3635.911459946618,False
D,2020,rt,56,-0.09311603734323391,-524.4868220499045,pt,-0.45624912218039476,-3702.897632949902,False
D,2020,pt,56,-0.45624912218039476,-3702.897632949902,rt,-0.09311603734323391,-524.4868220499045,False
D,2021,rt,71,-0.48806505569361014,-4233.808513849895,pt,-0.08057302427224136,-695.5776111499016,False
D,2021,pt,71,-0.08057302427224136,-695.5776111499016,rt,-0.48806505569361014,-4233.808513849895,False
D,2022,rt,95,-0.2206017207783382,-1892.7618853998938,pt,-0.3912719451714293,-3731.8423545999053,False
D,2022,pt,95,-0.3912719451714293,-3731.8423545999053,rt,-0.2206017207783382,-1892.7618853998938,False
D,2023,rt,57,-0.4508038648544787,-3506.663242299885,pt,0.02367750196831943,-587.3578801998746,False
D,2024,rt,58,-0.5790402402249366,-5198.275367399875,pt,0.16275429110993664,760.2354074001059,True
D,2025,rt,50,-0.5274145750655593,-8326.34351414684,pt,0.1267083801580931,3290.753620647145,True
D,2026,rt,58,-0.3699069873340182,-11152.39469139865,pt,0.0114554777432373,-415.0775681006319,False
DD2,full_available,rt,818,-0.5148775573468436,-92723.94239377699,pt,0.02058652901691719,14001.978340780977,True
DD2,full_2020,rt,717,-0.5317702397907725,-88056.38729907713,pt,0.04627133163325866,16790.47295608084,True
DD2,primary,rt,278,-0.6222440561192537,-57355.797960577795,pt,0.23753224389174016,18105.34500258015,True
DD2,2020,rt,125,-0.357159902993413,-6682.775748699798,pt,-0.18531429021049892,-3204.5148612997923,False
DD2,2020,pt,125,-0.18531429021049892,-3204.5148612997923,rt,-0.357159902993413,-6682.775748699798,False
DD2,2021,rt,102,-0.37291203221495123,-4531.556864649858,pt,-0.1917721755757103,-2672.486390349866,False
DD2,2021,pt,102,-0.1917721755757103,-2672.486390349866,rt,-0.37291203221495123,-4531.556864649858,False
DD2,2022,rt,110,-0.32062954707908936,-3212.830229699875,pt,-0.28993315524494767,-3332.7702602998925,False
DD2,2022,pt,110,-0.28993315524494767,-3332.7702602998925,rt,-0.32062954707908936,-3212.830229699875,False
DD2,2023,rt,102,-0.8857269508826465,-16273.426495449794,pt,0.40941447295217415,7894.899465450239,True
DD2,2024,rt,108,-0.7675247392672245,-16382.801494499712,pt,0.36241139511439535,7411.251599500241,True
DD2,2025,rt,75,-0.6874455553087758,-19421.69159857164,pt,0.2989298177629293,9431.09875907232,True
DD2,2026,rt,95,-0.40560799065404285,-21551.304867506446,pt,0.04709259786662475,1262.9946440075862,False
DD3,full_available,rt,538,-0.4476111315411029,-38061.752919256774,pt,-0.049568649312521904,-10609.949082740794,False
DD3,full_available,pt,538,-0.049568649312521904,-10609.949082740794,rt,-0.4476111315411029,-38061.752919256774,False
