scale,segment,label,start,end,start_confirm,end_confirm,start_i,end_i,efficiency,n,overnight_log_pct,intraday_log_pct,total_log_pct,linked_overnight_pct,linked_intraday_pct,linked_total_pct,raw_overnight_log_pct,action_adjustment_log_pct,gross_rt_cash,rt_cash,rt_mean_pct,pt_cash,pt_mean_pct,cost_cash
0.08,0,R,2018-06-08,2018-06-13,2018-06-11,2018-06-14,0,3,1.0000000000000004,3,21.351591170882507,4.655704512888904,26.00729568377141,23.80231971759961,4.765784114052952,29.70247100353001,21.351591170882507,0.0,-1169.9999999999982,-1342.6685308499868,-1.8341108158772146,996.162065850006,1.3414908089700257,172.6685308499887
0.08,1,D,2018-06-13,2018-07-11,2018-06-14,2018-07-24,3,22,0.6356690077592141,19,-27.099169108085746,-16.386699186210798,-43.48586829429657,-23.737716704980432,-15.114508101596194,-35.26438569206842,-27.099169108085746,0.0,3509.999999999998,2602.6259725500513,0.54528655971878,-4413.865817549949,-1.0553761858044568,907.3740274499467
0.08,2,U,2018-07-11,2018-07-24,2018-07-24,2018-08-02,22,31,0.3534091439130594,9,-2.971265673332563,11.100198829571209,8.128933156238645,-2.927557539493774,11.739712856816897,8.46846846846846,-2.971265673332563,0.0,-1930.0000000000032,-2335.8849446499785,-1.5488904760075313,1522.186039650036,1.0268946475489023,405.8849446499753
0.08,3,D,2018-07-24,2018-10-18,2018-08-02,2018-10-22,31,87,0.4673216014922485,56,-15.841108126089148,-30.34310380297628,-46.184211929065455,-14.65011475412872,-26.17191993250987,-36.98781838316722,-15.841108126089148,0.0,4389.999999999987,2152.560186950079,0.25385651691776934,-6623.052051949902,-0.792562121821202,2237.43981304991
0.08,4,U,2018-10-18,2018-11-19,2018-10-22,2018-11-23,87,109,0.40118227577131355,22,-1.6651059442420175,15.12802675246582,13.46292080822382,-1.6513196799082406,16.332265395726118,14.411247803163432,-1.6651059442420175,0.0,-1819.999999999995,-2589.323434099967,-0.9992090843603695,1048.8574941000243,0.43164569804359093,769.3234340999716
0.08,5,D,2018-11-19,2018-11-29,2018-11-23,2019-02-12,109,117,0.8519678480668075,8,-0.6982480843699606,-12.064144465013008,-12.762392549382975,-0.69581599639482,-11.364829122881627,-11.981566820276504,-0.6982480843699606,0.0,1460.000000000001,1183.883747300011,1.1945542894759302,-1734.656997299991,-1.7598067777647217,276.1162526999899
0.08,6,U,2018-11-29,2019-03-07,2019-02-12,2019-03-13,117,180,0.4236972500562056,63,9.12894644510335,31.417564365713023,40.54651081081647,9.558609259034773,36.913019446374655,50.00000000000006,9.12894644510335,0.0,-4469.999999999987,-6706.691692349899,-0.8044589155371612,2228.8405873500833,0.2394437607738641,2236.691692349912
0.08,7,D,2019-03-07,2019-03-26,2019-03-13,2019-04-01,180,193,0.5336163401801614,13,-4.3729208068719805,-14.454370534220814,-18.827291341092803,-4.278687202760666,-13.458291177344014,-17.161140197789397,-4.3729208068719805,0.0,2219.9999999999973,1686.7071411000184,0.8140641894723496,-2751.073991099979,-1.3457977910808643,533.2928588999787
0.08,8,U,2019-03-26,2019-04-18,2019-04-01,2019-04-19,193,209,0.6769178252651725,16,12.031375462750615,19.967097959691955,31.99847342244251,12.78506644363654,22.10009578362334,37.71067415730335,12.031375462750615,0.0,-3430.000000000001,-4100.198832149975,-1.566370653608462,2756.3729171500286,1.0322800164360961,670.1988321499734
0.08,9,D,2019-04-18,2019-06-18,2019-04-19,2019-07-01,209,248,0.5614790334606903,39,-29.63258745937301,-22.440758560281466,-52.07334601965455,-25.645491391706326,-20.10105885870127,-40.59153493115758,-29.63258745937301,0.0,3649.999999999995,2165.3739932500616,0.27246812808552295,-5130.977868249936,-0.820955415836932,1484.6260067499331
