id,direction,window,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high
D,rt,full_available,511,-0.3960197764736695,-0.2908388888888888,42.465753424657535,-38823.540190044856,0.5990567325321811,0.6359427006455939,-12.229427049039757,-40140.31548284485,28,59,-0.4609094040075022,-53491.26780213091,-0.49605337539012445,-48755.11195609093,444,67,-0.3759656322587931,-34693.18867099495,-0.3178886526122385,-25523.514349721,-0.5734976755578347,-0.23274159476394415
D,rt,full_2020,445,-0.3773702668939599,-0.3004721674876811,42.247191011235955,-34834.73403654494,0.6142505339579112,0.6456109289117913,-12.229427049039757,-36726.13360909497,25,51,-0.45178141231264374,-49502.46164863098,-0.47739864386488984,-43959.74884909102,444,1,-0.3759656322587931,-34693.18867099495,-0.3178886526122385,-25523.514349721,-0.5807565575254883,-0.20115944671495853
D,rt,primary,166,-0.4904196864560082,-0.19466951895043905,45.18072289156627,-24677.01357294536,0.591777062951221,0.6363494435933941,-12.229427049039757,-25654.520626245372,12,18,-0.6682584520628748,-39344.74118503141,-0.5905420957487969,-30278.685321891397,166,0,-0.4904196864560082,-24677.01357294536,-0.3320454257702399,-14977.849429021375,-0.916922552869653,-0.1775526199765302
D,rt,2020,56,-0.09311603734323391,0.09276784972583635,53.57142857142857,-524.4868220499045,0.8933601091788689,0.9217861603136375,-5.07696051874063,-2415.88639459993,4,6,-0.5313456318450455,-3702.3767488999124,-0.19297520777256957,-1293.4467440999151,56,0,-0.09311603734323391,-524.4868220499045,-0.09895331698032815,-534.4717270999168,-0.9283400055293305,0.45451749355233206
D,rt,2021,71,-0.48806505569361014,-0.5614765062892958,32.3943661971831,-4233.808513849895,0.40450842735548553,0.4061145486707549,-5.552225427361832,-4390.1167701999,6,10,-0.7173302793667138,-5819.456732649901,-0.5881169806566869,-5102.249527699901,71,0,-0.48806505569361014,-4233.808513849895,-0.4420005724880044,-3774.502881549897,-1.0248985570409583,-0.16021517168851931
D,rt,2022,95,-0.2206017207783382,-0.3800898045413797,34.73684210526316,-1892.7618853998938,0.6668563199788317,0.6785742452858151,-4.524291825285871,-1897.681955749897,2,8,-0.4427356320147855,-3649.8443398998975,-0.3205090314617928,-2814.4605707999026,95,0,-0.2206017207783382,-1892.7618853998938,-0.24261645215534364,-2192.3090368999106,-0.5169743951645802,0.025036055010880746
D,rt,2023,57,-0.4508038648544787,-0.2207035223367772,47.368421052631575,-3506.663242299885,0.6101504248573258,0.6726594054221968,-9.975888697771572,-4484.033307799923,2,9,-0.7946482758199646,-6541.593893449897,-0.5508970767511701,-4470.906684599902,56,1,-0.44097843306780804,-3365.11787674989,-0.4651969951726734,-4044.3812751499026,-0.7847154392034638,-0.21064632691359303
D,rt,2024,58,-0.5790402402249366,0.03673242922413385,50.0,-5198.275367399875,0.5358944298255318,0.5870213752196972,-11.124780081111952,-6312.090179099881,4,6,-0.8994110839312456,-8151.133898199896,-0.6792007370623508,-6276.486134799874,58,0,-0.5790402402249366,-5198.275367399875,-0.41591579629813136,-3559.931349199895,-1.5380336195771869,-0.20540080778460715
D,rt,2025,50,-0.5274145750655593,-0.4674107277932099,40.0,-8326.34351414684,0.5188352104370826,0.44387920499168915,-12.229427049039757,-8937.953180946855,4,7,-0.9470672679656861,-11945.858115548868,-0.6275531587529799,-9620.465970293857,50,0,-0.5274145750655593,-8326.34351414684,-0.38018914979096563,-5759.225463272804,-1.0784376787336762,-0.18173661377440473
D,rt,2026,58,-0.3699069873340182,-0.18942547146773647,44.827586206896555,-11152.39469139865,0.7030707575579024,0.7232634360172221,-11.91543918827798,-16502.470636175727,4,5,-0.8753765172355993,-25820.1223034847,-0.46997736563853354,-14381.733216797667,58,0,-0.3699069873340182,-11152.39469139865,-0.20667184487965382,-5658.692616548676,-1.7944780558673379,0.30814895472722914
