date,code,open,high,low,close,preclose,volume,amount,adjustflag,tradestatus,pctChg,signal_close,chain_return_error_pct,action_ratio,stage,stage_v3,ordinal,vr,r3,r5,clv,upper,bias20,decelerate,gap,rt_cash,rt_pct,pt_cash,pt_pct,extra_cash_needed,later_open,down,env_MKT20,env_REL20,env_VOL,env_ACT,signal_BASE,signal_MKT20_high,signal_MKT20_low,signal_REL20_high,signal_REL20_low,signal_VOL_high,signal_VOL_low,signal_ACT_high,signal_ACT_low,feature_valid
2018-06-08,sh.601138,16.52,19.83,16.52,19.83,13.77,1672614,33034126.0,3,1,44.00871,144.0087145969499,4.596949885637969e-06,,UNKNOWN,UNKNOWN,0,,,,,,,False,19.970951343500357,-3355.050256549999,-20.309020923426143,3261.641431550001,19.743592200665866,3355.050256549999,,0,,,,,False,False,False,False,False,False,False,False,False,False
2018-06-11,sh.601138,21.81,21.81,21.81,21.81,19.83,1932286,42143158.0,3,1,9.984869,158.38779956427015,2.406959161760369e-06,1.0,UNKNOWN,UNKNOWN,1,,,,1.0,0.0,,False,9.984871406959162,-54.045294999994034,-0.2478005272810363,-54.045294999994034,-0.2478005272810363,54.045294999994034,,0,,,,,False,False,False,False,False,False,False,False,False,False
2018-06-12,sh.601138,23.99,23.99,23.99,23.99,21.81,14492391,347672460.0,3,1,9.995417,174.21931735657228,2.052728103052459e-06,1.0,UNKNOWN,UNKNOWN,2,,,,0.5,0.0,,False,9.995414947271897,-58.44780499999797,-0.2436340350145809,-58.44780499999797,-0.2436340350145809,58.44780499999797,,0,,,,,False,False,False,False,False,False,False,False,False,False
2018-06-13,sh.601138,24.55,26.36,23.56,25.72,23.99,633217104,15809621653.0,3,1,7.211337,186.78286129266525,1.0575239635102207e-06,1.0,UNKNOWN,UNKNOWN,3,,,,0.5,0.0,,False,2.334305960817007,-1230.1754308499949,-5.010897885336027,1108.655165849998,4.515906989205694,1230.1754308499949,,0,,,,,False,False,False,False,False,False,False,False,False,False
2018-06-14,sh.601138,24.51,24.86,23.15,23.29,25.72,347782112,8310515596.0,3,1,-9.447894,169.13580246913585,6.466562986418012e-06,1.0,UNKNOWN,UNKNOWN,4,,29.70247100353003,,0.7714285714285712,0.2285714285714287,,True,-4.704510108864691,1161.124261100006,4.737349086495333,-1277.6563611000015,-5.212796250917999,0.0,,1,,,,,False,False,False,False,False,False,False,False,False,False
2018-06-15,sh.601138,22.6,23.13,22.02,22.58,23.29,213870016,4811430352.0,3,1,-3.048523,163.97966594045027,4.322455990024565e-06,1.0,UNKNOWN,UNKNOWN,5,,6.785878037597448,,0.08187134502924,0.204678362573098,,True,-2.962644911979384,-35.63049989999288,-0.1576570792035083,-75.61051010000014,-0.3345597792035404,35.63049989999288,,1,,,,,False,False,False,False,False,False,False,False,False,False
2018-06-19,sh.601138,21.83,21.84,20.32,20.32,22.58,209967713,4356754053.0,3,1,-10.00886,147.56717501815547,2.6040744156574647e-06,1.0,UNKNOWN,UNKNOWN,6,,-5.877448937057106,13.86787695410996,0.5045045045045036,0.4774774774774755,,False,-3.321523472099208,1456.6844225500029,6.672855806459014,-1561.8063475499937,-7.154403790884074,0.0,,1,,,,,False,False,False,False,False,False,False,False,False,False
2018-06-20,sh.601138,19.8,20.26,19.01,19.86,20.32,198271914,3891767821.0,3,1,-2.263775,144.2265795206972,4.527559062328379e-06,1.0,UNKNOWN,UNKNOWN,7,,-20.99533437013995,-6.831728564878459,0.0,0.006578947368422,,True,-2.559055118110232,-110.0167002999981,-0.5556399005050409,9.923330300001894,0.0501178297979893,110.0167002999981,,0,,,,,False,False,False,False,False,False,False,False,False,False
2018-06-21,sh.601138,19.6,19.78,18.05,18.17,19.86,197849535,3736018335.0,3,1,-8.509569,131.95352214960064,2.031218544473745e-06,1.0,UNKNOWN,UNKNOWN,8,,-14.727350794332327,-17.21550646102542,0.6799999999999983,0.3200000000000017,,False,-1.309164149043296,1381.1471071500052,7.046668914030638,-1477.4236221499948,-7.537875623214259,0.0,,1,,,,,False,False,False,False,False,False,False,False,False,False
2018-06-22,sh.601138,17.7,19.18,17.53,18.72,18.17,175575007,3268487581.0,3,1,3.026963,135.9477124183007,4.528893776001297e-06,1.0,UNKNOWN,UNKNOWN,9,,-19.53055801594329,-29.354587869362337,0.0693641618497115,0.1040462427745662,,True,-2.5866813428728763,-1066.2653550999955,-6.024098051412404,972.7151651000044,5.4955659045198,1066.2653550999955,,0,,,,,False,False,False,False,False,False,False,False,False,False
