date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,23851.8911476,0,0,0,0.0,23.7288524,0.0,0.0,0,1000,0,23844.0,23844.0,23851.8911476,23844.0,23844.0,23894.0,-42.108852400000615,0.0
2020-01-03,5358.051378200002,0,1000,1000,0.0,5.3697694,0.0,0.0,1000,0,0,23851.8911476,23828.0513782,23578.0513782,24004.0,23984.0,23734.0,-155.94862179999836,0.0
2020-01-06,23216.9116362,0,0,0,0.0,23.239742,0.0,0.0,0,1000,0,23368.0513782,23368.0513782,23216.9116362,23524.0,23524.0,23414.0,-197.0883638000014,0.0
2020-01-07,5373.734879799998,0,1000,1000,0.0,5.3567564,0.0,0.0,1000,0,0,23216.9116362,23193.7348798,23233.7348798,23434.0,23334.0,23374.0,-140.26512020000155,0.0
2020-01-08,22853.362350199997,0,0,0,0.0,22.8525296,0.0,0.0,0,1000,0,22993.7348798,22993.7348798,22853.362350199997,23134.0,23134.0,23034.0,-180.6376498000027,0.0
2020-01-09,5040.2161944,0,1000,1000,0.0,5.3561558,0.0,0.0,1000,0,0,22853.362350199997,22830.2161944,23340.2161944,23164.0,23304.0,23814.0,-473.78380560000005,0.0
2020-01-10,23028.813985,0,0,0,0.0,23.372209400000003,0.0,0.0,0,1000,0,23450.2161944,23450.2161944,23028.813985,23924.0,23924.0,23544.0,-515.1860149999993,0.0
2020-01-13,5155.606628000001,0,1000,1000,0.0,5.357357,0.0,0.0,1000,0,0,23028.813985,23005.606628,23765.606628,23534.0,23364.0,24124.0,-358.39337199999864,0.0
2020-01-14,23503.477585800003,0,0,0,0.0,23.739042200000004,0.0,0.0,0,1000,0,23805.606628,23805.606628,23503.477585800003,24164.0,24164.0,23904.0,-400.522414199997,0.0
2020-01-15,4969.597015600004,0,1000,1000,0.0,5.3705702,0.0,0.0,1000,0,0,23503.477585800003,23479.597015600004,23669.597015600004,23864.0,24024.0,24214.0,-544.4029843999961,0.0
2020-01-16,23337.427593800003,0,0,0,0.0,23.759421800000002,0.0,0.0,0,1000,0,23619.597015600004,23619.597015600004,23337.427593800003,24164.0,24164.0,23924.0,-586.5724061999972,0.0
2020-01-17,4913.6592258000055,0,1000,1000,0.0,5.368368,0.0,0.0,1000,0,0,23337.427593800003,23313.659225800006,23903.659225800006,23924.0,23914.0,24504.0,-600.3407741999945,0.0
2020-01-20,24209.612152600006,0,0,0,0.0,24.7070732,0.0,0.0,0,1000,0,23793.659225800006,23793.659225800006,24209.612152600006,24394.0,24394.0,24854.0,-644.3878473999939,0.0
2020-01-21,4924.966567400006,0,1000,1000,0.0,5.3855852,0.0,0.0,1000,0,0,24209.612152600006,24184.966567400006,24014.966567400006,24714.0,24774.0,24604.0,-589.0334325999938,0.0
2020-01-22,25727.870834400008,0,0,0,0.0,26.245733,0.0,0.0,0,1000,0,23824.966567400006,23824.966567400006,25727.870834400008,24414.0,24414.0,26364.0,-636.1291655999921,0.0
2020-01-23,5312.072626600009,0,1000,1000,0.0,5.4082078,0.0,0.0,1000,0,0,25727.870834400008,25702.07262660001,25312.07262660001,26014.0,25904.0,25514.0,-201.92737339999076,0.0
2020-02-03,5312.072626600009,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23312.07262660001,23312.07262660001,23312.07262660001,23514.0,23514.0,23514.0,-201.92737339999076,0.0
2020-02-04,23290.690607000008,0,0,0,0.0,23.3620196,0.0,0.0,0,1000,0,22412.07262660001,22412.07262660001,23290.690607000008,22614.0,22614.0,23534.0,-243.30939299999227,0.0
2020-02-05,5107.167043800011,0,1000,1000,0.0,5.3635632,0.0,0.0,1000,0,0,23290.690607000008,23267.16704380001,23797.16704380001,23674.0,23674.0,24204.0,-406.832956199989,0.0
2020-02-06,23983.96794220001,0,0,0,0.0,24.279101600000004,0.0,0.0,0,1000,0,23647.16704380001,23647.16704380001,23983.96794220001,24054.0,24054.0,24434.0,-450.03205779998825,0.0
2020-02-07,4599.220355000016,0,1000,1000,0.0,5.3875872,0.0,0.0,1000,0,0,23983.96794220001,23959.220355000016,23899.220355000016,25414.0,24874.0,24814.0,-914.7796449999842,0.0
2020-02-10,23466.041443200014,0,0,0,0.0,24.2689118,0.0,0.0,0,1000,0,23499.220355000016,23499.220355000016,23466.041443200014,24414.0,24414.0,24424.0,-957.9585567999857,0.0
2020-02-11,4531.752865000017,0,1000,1000,0.0,5.3785782,0.0,0.0,1000,0,0,23466.041443200014,23441.752865000017,23761.752865000017,24324.0,24424.0,24744.0,-982.2471349999832,0.0
2020-02-12,23638.089398000015,0,0,0,0.0,24.513467,0.0,0.0,0,1000,0,23611.752865000017,23611.752865000017,23638.089398000015,24594.0,24594.0,24664.0,-1025.9106019999854,0.0
2020-02-13,4663.760019000016,0,1000,1000,0.0,5.379379,0.0,0.0,1000,0,0,23638.089398000015,23613.760019000016,23083.760019000016,24624.0,24464.0,23934.0,-850.2399809999843,0.0
2020-02-14,22971.711736000016,0,0,0,0.0,23.698283000000004,0.0,0.0,0,1000,0,22923.760019000016,22923.760019000016,22971.711736000016,23774.0,23774.0,23864.0,-892.2882639999843,0.0
2020-02-17,4618.014769400019,0,1000,1000,0.0,5.3669666,0.0,0.0,1000,0,0,22971.711736000016,22948.01476940002,23808.01476940002,23954.0,23844.0,24704.0,-895.9852305999812,0.0
2020-02-18,23424.956996400022,0,0,0,0.0,24.207773000000003,0.0,0.0,0,1000,0,23818.01476940002,23818.01476940002,23424.956996400022,24714.0,24714.0,24364.0,-939.043003599978,0.0
2020-02-19,4780.964224000025,0,1000,1000,0.0,5.3727724,0.0,0.0,1000,0,0,23424.956996400022,23400.964224000025,23270.964224000025,24164.0,24134.0,24004.0,-733.0357759999752,0.0
2020-02-20,23547.987210200023,0,0,0,0.0,24.1670138,0.0,0.0,0,1000,0,23370.964224000025,23370.964224000025,23547.987210200023,24104.0,24104.0,24324.0,-776.0127897999773,0.0
2020-02-21,4613.698632000025,0,1000,1000,0.0,5.3785782,0.0,0.0,1000,0,0,23547.987210200023,23523.698632000025,24213.698632000025,24184.0,24424.0,25114.0,-900.3013679999749,0.0
2020-02-24,24708.036374800027,0,0,0,0.0,25.522257200000002,0.0,0.0,0,1000,0,24363.698632000025,24363.698632000025,24708.036374800027,25264.0,25264.0,25654.0,-945.9636251999727,0.0
2020-02-25,4722.67677560003,0,1000,1000,0.0,5.3995992,0.0,0.0,1000,0,0,24708.036374800027,24682.67677560003,24682.67677560003,25164.0,25474.0,25474.0,-791.3232243999701,0.0
2020-02-26,23389.90165980003,0,0,0,0.0,24.0651158,0.0,0.0,0,1000,0,24272.67677560003,24272.67677560003,23389.90165980003,25064.0,25064.0,24224.0,-834.0983401999692,0.0
2020-02-27,4715.878286800034,0,1000,1000,0.0,5.373373,0.0,0.0,1000,0,0,23389.90165980003,23365.878286800034,23615.878286800034,24154.0,24164.0,24414.0,-798.1217131999656,0.0
2020-02-28,21756.394108400033,0,0,0,0.0,22.4041784,0.0,0.0,0,1000,0,22795.878286800034,22795.878286800034,21756.394108400033,23594.0,23594.0,22594.0,-837.6058915999674,0.0
2020-03-02,4563.880365000034,0,1000,1000,0.0,5.3437434,0.0,0.0,1000,0,0,21756.394108400033,21733.880365000034,22003.880365000034,22814.0,22684.0,22954.0,-950.1196349999664,0.0
2020-03-03,21963.669353800036,0,0,0,0.0,22.771011200000004,0.0,0.0,0,1000,0,22393.880365000034,22393.880365000034,21963.669353800036,23344.0,23344.0,22954.0,-990.3306461999637,0.0
2020-03-04,4861.2474122000385,0,1000,1000,0.0,5.3419416,0.0,0.0,1000,0,0,21963.669353800036,21941.24741220004,21621.24741220004,22744.0,22594.0,22274.0,-652.7525877999615,0.0
2020-03-05,21981.60171540004,0,0,0,0.0,22.485696800000003,0.0,0.0,0,1000,0,21961.24741220004,21961.24741220004,21981.60171540004,22614.0,22614.0,22674.0,-692.3982845999599,0.0
2020-03-06,5039.34297700004,0,1000,1000,0.0,5.3387384,0.0,0.0,1000,0,0,21981.60171540004,21959.34297700004,22029.34297700004,22344.0,22434.0,22504.0,-474.65702299995974,0.0
2020-03-09,21181.67588060004,0,0,0,0.0,21.487096400000002,0.0,0.0,0,1000,0,21719.34297700004,21719.34297700004,21181.67588060004,22194.0,22194.0,21694.0,-512.3241193999602,0.0
2020-03-10,5360.559564600042,0,1000,1000,0.0,5.316316,0.0,0.0,1000,0,0,21181.67588060004,21160.559564600044,21950.559564600044,21494.0,21314.0,22104.0,-153.4404353999562,0.0
2020-03-11,21862.165635400044,0,0,0,0.0,21.8539292,0.0,0.0,0,1000,0,22030.559564600044,22030.559564600044,21862.165635400044,22184.0,22184.0,22054.0,-191.83436459995573,0.0
2020-03-12,5530.529109200048,0,1000,1000,0.0,5.3265262,0.0,0.0,1000,0,0,21862.165635400044,21840.529109200048,21630.529109200048,21764.0,21824.0,21614.0,16.52910920004797,0.0
2020-03-13,21143.93207220005,0,0,0,0.0,20.947037,0.0,0.0,0,1000,0,20710.529109200048,20710.529109200048,21143.93207220005,20694.0,20694.0,21164.0,-20.067927799951576,0.0
2020-03-16,5523.01976020005,0,1000,1000,0.0,5.312312,0.0,0.0,1000,0,0,21143.93207220005,21123.019760200048,19823.019760200048,21194.0,21114.0,19814.0,9.01976020004804,0.0
2020-03-17,19399.93574840005,0,0,0,0.0,19.174011800000002,0.0,0.0,0,1000,0,19913.019760200048,19913.019760200048,19399.93574840005,19904.0,19904.0,19424.0,-24.064251599949785,0.0
2020-03-18,5230.502465400052,0,1000,1000,0.0,5.283283,0.0,0.0,1000,0,0,19399.93574840005,19380.50246540005,18790.50246540005,19564.0,19664.0,19074.0,-283.49753459994827,0.0
2020-03-19,18708.22604560005,0,0,0,0.0,18.7664198,0.0,0.0,0,1000,0,18780.50246540005,18780.50246540005,18708.22604560005,19064.0,19064.0,19024.0,-315.7739543999487,0.0
2020-03-20,5119.384374200054,0,1000,1000,0.0,5.2716714,0.0,0.0,1000,0,0,18708.22604560005,18689.384374200054,18689.384374200054,19194.0,19084.0,19084.0,-394.61562579994643,0.0
2020-03-23,17609.106744600052,0,0,0,0.0,17.7576296,0.0,0.0,0,1000,0,18219.384374200054,18219.384374200054,17609.106744600052,18614.0,18614.0,18034.0,-424.8932553999475,0.0
2020-03-24,4781.040288400052,0,1000,1000,0.0,5.2564562,0.0,0.0,1000,0,0,17609.106744600052,17591.04028840005,17801.04028840005,18264.0,18324.0,18534.0,-732.9597115999495,0.0
2020-03-25,18298.68310940005,0,0,0,0.0,18.807179,0.0,0.0,0,1000,0,18181.04028840005,18181.04028840005,18298.68310940005,18914.0,18914.0,19064.0,-765.3168905999482,0.0
2020-03-26,4930.065842400054,0,1000,1000,0.0,5.267267,0.0,0.0,1000,0,0,18298.68310940005,18280.065842400054,18220.065842400054,18924.0,18864.0,18804.0,-583.934157599946,0.0
2020-03-27,17968.677773800053,0,0,0,0.0,18.318068600000004,0.0,0.0,0,1000,0,18430.065842400054,18430.065842400054,17968.677773800053,19014.0,19014.0,18584.0,-615.3222261999472,0.0
2020-03-30,5300.774520800054,0,1000,1000,0.0,5.253253,0.0,0.0,1000,0,0,17968.677773800053,17950.774520800056,18120.774520800056,18354.0,18164.0,18334.0,-213.22547919994395,0.0
2020-03-31,18479.103795000054,0,0,0,0.0,18.460725800000002,0.0,0.0,0,1000,0,18590.774520800056,18590.774520800056,18479.103795000054,18804.0,18804.0,18724.0,-244.89620499994635,0.0
2020-04-01,5040.415126600055,0,1000,1000,0.0,5.2686684,0.0,0.0,1000,0,0,18479.103795000054,18460.415126600055,18450.415126600055,18644.0,18934.0,18924.0,-473.5848733999446,0.0
2020-04-02,18987.189786200055,0,0,0,0.0,19.245340400000003,0.0,0.0,0,1000,0,18380.415126600055,18380.415126600055,18987.189786200055,18854.0,18854.0,19494.0,-506.8102137999449,0.0
2020-04-03,5228.174711400057,0,1000,1000,0.0,5.2750748,0.0,0.0,1000,0,0,18987.189786200055,18968.174711400057,19188.174711400057,19414.0,19254.0,19474.0,-285.8252885999427,0.0
2020-04-07,19344.60614440006,0,0,0,0.0,19.418567000000003,0.0,0.0,0,1000,0,19578.174711400057,19578.174711400057,19344.60614440006,19864.0,19864.0,19664.0,-319.39385559994116,0.0
2020-04-08,5225.22386240006,0,1000,1000,0.0,5.282282,0.0,0.0,1000,0,0,19344.60614440006,19325.22386240006,19365.22386240006,19564.0,19614.0,19654.0,-288.77613759993983,0.0
2020-04-09,19142.059091400057,0,0,0,0.0,19.214771,0.0,0.0,0,1000,0,19395.22386240006,19395.22386240006,19142.059091400057,19684.0,19684.0,19464.0,-321.9409085999432,0.0
2020-04-10,5302.962415000058,0,1000,1000,0.0,5.2766764,0.0,0.0,1000,0,0,19142.059091400057,19122.96241500006,18922.96241500006,19454.0,19334.0,19134.0,-211.03758499994,0.0
2020-04-13,18421.41282800006,0,0,0,0.0,18.399587000000004,0.0,0.0,0,1000,0,18742.96241500006,18742.96241500006,18421.41282800006,18954.0,18954.0,18664.0,-242.58717199994135,0.0
2020-04-14,5052.795561000061,0,1000,1000,0.0,5.267267,0.0,0.0,1000,0,0,18421.41282800006,18402.79556100006,18862.79556100006,18794.0,18864.0,19324.0,-461.20443899993916,0.0
2020-04-15,18889.792308400058,0,0,0,0.0,19.1332526,0.0,0.0,0,1000,0,18862.79556100006,18862.79556100006,18889.792308400058,19324.0,19324.0,19384.0,-494.20769159994234,0.0
2020-04-16,5250.899636000058,0,1000,1000,0.0,5.2726724,0.0,0.0,1000,0,0,18889.792308400058,18870.89963600006,19300.89963600006,19264.0,19134.0,19564.0,-263.1003639999399,0.0
