date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,23850.05502236,0,0,0,0.0,23.72697764,0.0,0.0,0,1000,0,23844.0,23844.0,23850.05502236,23844.0,23844.0,23894.0,-43.944977639999706,0.0
2020-01-03,5334.345815579996,0,1000,1000,0.0,5.37020678,0.0,0.0,1000,0,0,23850.05502236,23824.345815579996,23554.345815579996,24004.0,24004.0,23734.0,-179.65418442000373,0.0
2020-01-06,5334.345815579996,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23344.345815579996,23344.345815579996,23234.345815579996,23524.0,23524.0,23414.0,-179.65418442000373,0.0
2020-01-07,5334.345815579996,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23254.345815579996,23254.345815579996,23194.345815579996,23434.0,23434.0,23374.0,-179.65418442000373,0.0
2020-01-08,5334.345815579996,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,22954.345815579996,22954.345815579996,22854.345815579996,23134.0,23134.0,23034.0,-179.65418442000373,0.0
2020-01-09,5334.345815579996,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,22984.345815579996,22984.345815579996,23634.345815579996,23164.0,23164.0,23814.0,-179.65418442000373,0.0
2020-01-10,23321.14244524,0,0,0,0.0,23.37037034,0.0,0.0,0,1000,0,23744.345815579996,23744.345815579996,23321.14244524,23924.0,23924.0,23544.0,-222.85755476000122,0.0
2020-01-13,5275.959648799999,0,1000,1000,0.0,5.36079644,0.0,0.0,1000,0,0,23321.14244524,23295.9596488,23885.9596488,23534.0,23534.0,24124.0,-238.04035120000117,0.0
2020-01-14,23621.99348238,0,0,0,0.0,23.73716642,0.0,0.0,0,1000,0,23925.9596488,23925.9596488,23621.99348238,24164.0,24164.0,23904.0,-282.0065176200005,0.0
2020-01-15,5246.44107868,0,1000,1000,0.0,5.3674037,0.0,0.0,1000,0,0,23621.99348238,23596.44107868,23946.44107868,23864.0,23864.0,24214.0,-267.5589213200001,0.0
2020-01-16,23612.4325347,0,0,0,0.0,23.75754398,0.0,0.0,0,1000,0,23896.44107868,23896.44107868,23612.4325347,24164.0,24164.0,23924.0,-311.56746529999873,0.0
2020-01-17,5176.81292968,0,1000,1000,0.0,5.36860502,0.0,0.0,1000,0,0,23612.4325347,23586.81292968,24166.81292968,23924.0,23924.0,24504.0,-337.1870703200002,0.0
2020-01-20,24470.833829159998,0,0,0,0.0,24.70510052,0.0,0.0,0,1000,0,24056.81292968,24056.81292968,24470.833829159998,24394.0,24394.0,24854.0,-383.16617084000245,0.0
2020-01-21,5244.329406759996,0,1000,1000,0.0,5.3844224,0.0,0.0,1000,0,0,24470.833829159998,24444.329406759996,24334.329406759996,24714.0,24714.0,24604.0,-269.67059324000365,0.0
2020-01-22,5244.329406759996,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24144.329406759996,24144.329406759996,26094.329406759996,24414.0,24414.0,26364.0,-269.67059324000365,0.0
2020-01-23,25196.951846759996,0,0,0,0.0,25.377560000000003,0.0,0.0,0,1000,0,25744.329406759996,25744.329406759996,25196.951846759996,26014.0,26014.0,25514.0,-317.04815324000447,0.0
2020-02-03,7171.791450759993,0,1000,1000,0.0,5.360396,0.0,0.0,1000,0,0,25196.951846759996,25171.791450759993,25171.791450759993,23514.0,23514.0,23514.0,1657.7914507599926,0.0
2020-02-04,7171.791450759993,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24271.791450759993,24271.791450759993,25191.791450759993,22614.0,22614.0,23534.0,1657.7914507599926,0.0
2020-02-05,7171.791450759993,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25331.791450759993,25331.791450759993,25861.791450759993,23674.0,23674.0,24204.0,1657.7914507599926,0.0
2020-02-06,7171.791450759993,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25711.791450759993,25711.791450759993,26091.791450759993,24054.0,24054.0,24434.0,1657.7914507599926,0.0
2020-02-07,7171.791450759993,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,27071.791450759993,27071.791450759993,26471.791450759993,25414.0,25414.0,24814.0,1657.7914507599926,0.0
2020-02-10,7171.791450759993,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26071.791450759993,26071.791450759993,26081.791450759993,24414.0,24414.0,24424.0,1657.7914507599926,0.0
2020-02-11,26356.045426819994,0,0,0,0.0,24.593023940000002,0.0,0.0,0,1000,0,25981.791450759993,25981.791450759993,26356.045426819994,24324.0,24324.0,24744.0,1612.0454268199937,0.0
2020-02-12,7249.675407059993,0,1000,1000,0.0,5.38201976,0.0,0.0,1000,0,0,26356.045426819994,26329.675407059993,26399.675407059993,24594.0,24594.0,24664.0,1735.6754070599927,0.0
2020-02-13,7249.675407059993,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26359.675407059993,26359.675407059993,25669.675407059993,24624.0,24624.0,23934.0,1735.6754070599927,0.0
2020-02-14,7249.675407059993,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25509.675407059993,25509.675407059993,25599.675407059993,23774.0,23774.0,23864.0,1735.6754070599927,0.0
