date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,23861.071773800002,0.0,0,0,0.0,23.738226200000003,0.0,0.0,0,1000,0,23844.0,23844.0,23861.071773800002,23844.0,23844.0,23894.0,-32.92822619999788,0.0
2020-01-03,5376.4671891,0.0,1000,1000,0.0,5.3695847,0.0,0.0,1000,0,0,23861.071773800002,23846.4671891,23596.4671891,24004.0,23984.0,23734.0,-137.5328109000002,0.0
2020-01-06,5376.4671891,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23386.4671891,23386.4671891,23276.4671891,23524.0,23524.0,23414.0,-137.5328109000002,0.0
2020-01-07,5376.4671891,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23296.4671891,23296.4671891,23236.4671891,23434.0,23434.0,23374.0,-137.5328109000002,0.0
2020-01-08,5376.4671891,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,22996.4671891,22996.4671891,22896.4671891,23134.0,23134.0,23034.0,-137.5328109000002,0.0
2020-01-09,5376.4671891,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23026.4671891,23026.4671891,23676.4671891,23164.0,23164.0,23814.0,-137.5328109000002,0.0
2020-01-10,23374.0707844,0.0,0,0,0.0,23.3814047,0.0,0.0,0,1000,0,23786.4671891,23786.4671891,23374.0707844,23924.0,23924.0,23544.0,-169.92921560000104,0.0
2020-01-13,5509.788605900001,0.0,1000,1000,0.0,5.3571785,0.0,0.0,1000,0,0,23374.0707844,23359.7886059,24119.7886059,23534.0,23364.0,24124.0,-4.21139409999887,0.0
2020-01-14,23866.8451848,0.0,0,0,0.0,23.7484211,0.0,0.0,0,1000,0,24159.7886059,24159.7886059,23866.8451848,24164.0,24164.0,23904.0,-37.154815199999575,0.0
2020-01-15,5342.219799700004,0.0,1000,1000,0.0,5.3703851,0.0,0.0,1000,0,0,23866.8451848,23852.219799700004,24042.219799700004,23864.0,24024.0,24214.0,-171.78020029999607,0.0
2020-01-16,23719.245988800005,0.0,0,0,0.0,23.768810900000002,0.0,0.0,0,1000,0,23992.219799700004,23992.219799700004,23719.245988800005,24164.0,24164.0,23924.0,-204.75401119999515,0.0
2020-01-17,5304.677804800005,0.0,1000,1000,0.0,5.368184,0.0,0.0,1000,0,0,23719.245988800005,23704.677804800005,24294.677804800005,23924.0,23914.0,24504.0,-209.3221951999949,0.0
