date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,23857.399523319997,0,0,0,0.0,23.73447668,0.0,0.0,0,1000,0,23844.0,23844.0,23857.399523319997,23844.0,23844.0,23894.0,-36.60047668000334,0.0
2020-01-03,5369.100864739998,0,1000,1000,0.0,5.36965858,0.0,0.0,1000,0,0,23857.399523319997,23839.100864739998,23589.100864739998,24004.0,23984.0,23734.0,-144.89913526000237,0.0
2020-01-06,5369.100864739998,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23379.100864739998,23379.100864739998,23269.100864739998,23524.0,23524.0,23414.0,-144.89913526000237,0.0
2020-01-07,5369.100864739998,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23289.100864739998,23289.100864739998,23229.100864739998,23434.0,23434.0,23374.0,-144.89913526000237,0.0
2020-01-08,5369.100864739998,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,22989.100864739998,22989.100864739998,22889.100864739998,23134.0,23134.0,23034.0,-144.89913526000237,0.0
2020-01-09,5369.100864739998,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23019.100864739998,23019.100864739998,23669.100864739998,23164.0,23164.0,23814.0,-144.89913526000237,0.0
2020-01-10,23363.102138159997,0,0,0,0.0,23.37772658,0.0,0.0,0,1000,0,23779.100864739998,23779.100864739998,23363.102138159997,23924.0,23924.0,23544.0,-180.89786184000332,0.0
2020-01-13,5495.2498882599975,0,1000,1000,0.0,5.3572499,0.0,0.0,1000,0,0,23363.102138159997,23345.249888259998,24105.249888259998,23534.0,23364.0,24124.0,-18.750111740002467,0.0
2020-01-14,23848.63221872,0,0,0,0.0,23.74466954,0.0,0.0,0,1000,0,24145.249888259998,24145.249888259998,23848.63221872,24164.0,24164.0,23904.0,-55.36778128000151,0.0
2020-01-15,5320.304759580002,0,1000,1000,0.0,5.37045914,0.0,0.0,1000,0,0,23848.63221872,23830.30475958,24020.30475958,23864.0,24024.0,24214.0,-193.6952404199983,0.0
2020-01-16,23693.652704320004,0,0,0,0.0,23.765055260000004,0.0,0.0,0,1000,0,23970.30475958,23970.30475958,23693.652704320004,24164.0,24164.0,23924.0,-230.34729567999602,0.0
2020-01-17,5275.404446720007,0,1000,1000,0.0,5.3682576,0.0,0.0,1000,0,0,23693.652704320004,23675.404446720007,24265.404446720007,23924.0,23914.0,24504.0,-238.5955532799926,0.0
2020-01-20,24577.153455480006,0,0,0,0.0,24.71299124,0.0,0.0,0,1000,0,24155.404446720007,24155.404446720007,24577.153455480006,24394.0,24394.0,24854.0,-276.8465445199945,0.0
2020-01-21,5298.285985840004,0,1000,1000,0.0,5.38546964,0.0,0.0,1000,0,0,24577.153455480006,24558.285985840004,24388.285985840004,24714.0,24774.0,24604.0,-215.7140141599957,0.0
2020-01-22,5298.285985840004,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24198.285985840004,24198.285985840004,26148.285985840004,24414.0,24414.0,26364.0,-215.7140141599957,0.0
2020-01-23,25258.900265840006,0,0,0,0.0,25.385720000000003,0.0,0.0,0,1000,0,25798.285985840004,25798.285985840004,25258.900265840006,26014.0,26014.0,25514.0,-255.0997341599941,0.0
2020-02-03,7240.940013840009,0,1000,1000,0.0,5.360252,0.0,0.0,1000,0,0,25258.900265840006,25240.94001384001,25240.94001384001,23514.0,23514.0,23514.0,1726.9400138400088,0.0
2020-02-04,7240.940013840009,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24340.94001384001,24340.94001384001,25260.94001384001,22614.0,22614.0,23534.0,1726.9400138400088,0.0
2020-02-05,7240.940013840009,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25400.94001384001,25400.94001384001,25930.94001384001,23674.0,23674.0,24204.0,1726.9400138400088,0.0
2020-02-06,7240.940013840009,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25780.94001384001,25780.94001384001,26160.94001384001,24054.0,24054.0,24434.0,1726.9400138400088,0.0
2020-02-07,7240.940013840009,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,27140.94001384001,27140.94001384001,26540.94001384001,25414.0,25414.0,24814.0,1726.9400138400088,0.0
2020-02-10,7240.940013840009,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26140.94001384001,26140.94001384001,26150.94001384001,24414.0,24414.0,24424.0,1726.9400138400088,0.0
2020-02-11,26432.87814406001,0,0,0,0.0,24.600869780000004,0.0,0.0,0,1000,0,26050.94001384001,26050.94001384001,26432.87814406001,24324.0,24324.0,24744.0,1688.8781440600105,0.0
2020-02-12,7494.25547918001,0,1000,1000,0.0,5.37866488,0.0,0.0,1000,0,0,26432.87814406001,26414.25547918001,26644.25547918001,24594.0,24434.0,24664.0,1980.2554791800103,0.0
2020-02-13,7494.25547918001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26604.25547918001,26604.25547918001,25914.25547918001,24624.0,24624.0,23934.0,1980.2554791800103,0.0
2020-02-14,7494.25547918001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25754.25547918001,25754.25547918001,25844.25547918001,23774.0,23774.0,23864.0,1980.2554791800103,0.0
2020-02-17,7494.25547918001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25934.25547918001,25934.25547918001,26684.25547918001,23954.0,23954.0,24704.0,1980.2554791800103,0.0
2020-02-18,26306.84693808001,0,0,0,0.0,24.2135411,0.0,0.0,0,1000,0,26694.25547918001,26694.25547918001,26306.84693808001,24714.0,24714.0,24364.0,1942.8469380800088,0.0
2020-02-19,7668.440277400008,0,1000,1000,0.0,5.37266068,0.0,0.0,1000,0,0,26306.84693808001,26288.44027740001,26158.44027740001,24164.0,24134.0,24004.0,2154.440277400008,0.0
2020-02-20,7668.440277400008,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26258.44027740001,26258.44027740001,26478.44027740001,24104.0,24104.0,24324.0,2154.440277400008,0.0
2020-02-21,7668.440277400008,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26338.44027740001,26338.44027740001,27268.44027740001,24184.0,24184.0,25114.0,2154.440277400008,0.0
2020-02-24,27768.813857360008,0,0,0,0.0,25.52842004,0.0,0.0,0,1000,0,27418.44027740001,27418.44027740001,27768.813857360008,25264.0,25264.0,25654.0,2114.813857360008,0.0
2020-02-25,7789.4423779200115,0,1000,1000,0.0,5.39947944,0.0,0.0,1000,0,0,27768.813857360008,27749.44237792001,27749.44237792001,25164.0,25474.0,25474.0,2275.4423779200115,0.0
2020-02-26,7789.4423779200115,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,27339.44237792001,27339.44237792001,26499.44237792001,25064.0,25064.0,24224.0,2275.4423779200115,0.0
2020-02-27,7789.4423779200115,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26429.44237792001,26429.44237792001,26689.44237792001,24154.0,24154.0,24414.0,2275.4423779200115,0.0
2020-02-28,24835.07697304001,0,0,0,0.0,22.40940488,0.0,0.0,0,1000,0,25869.44237792001,25869.44237792001,24835.07697304001,23594.0,23594.0,22594.0,2241.0769730400098,0.0
2020-03-02,7647.714332660009,0,1000,1000,0.0,5.34364038,0.0,0.0,1000,0,0,24835.07697304001,24817.71433266001,25087.71433266001,22814.0,22684.0,22954.0,2133.714332660009,0.0
2020-03-03,7647.714332660009,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25477.71433266001,25477.71433266001,25087.71433266001,23344.0,23344.0,22954.0,2133.714332660009,0.0
2020-03-04,7647.714332660009,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24877.71433266001,24877.71433266001,24407.71433266001,22744.0,22744.0,22274.0,2133.714332660009,0.0
2020-03-05,7647.714332660009,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24747.71433266001,24747.71433266001,24807.71433266001,22614.0,22614.0,22674.0,2133.714332660009,0.0
2020-03-06,7647.714332660009,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24477.71433266001,24477.71433266001,24637.71433266001,22344.0,22344.0,22504.0,2133.714332660009,0.0
2020-03-09,7647.714332660009,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24327.71433266001,24327.71433266001,23827.71433266001,22194.0,22194.0,21694.0,2133.714332660009,0.0
2020-03-10,7647.714332660009,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23627.71433266001,23627.71433266001,24237.71433266001,21494.0,21494.0,22104.0,2133.714332660009,0.0
2020-03-11,24154.277342220008,0,0,0,0.0,21.85899044,0.0,0.0,0,1000,0,24317.71433266001,24317.71433266001,24154.277342220008,22184.0,22184.0,22054.0,2100.277342220008,0.0
2020-03-12,7827.53391388001,0,1000,1000,0.0,5.32642834,0.0,0.0,1000,0,0,24154.277342220008,24137.53391388001,23927.533913880012,21764.0,21824.0,21614.0,2313.533913880012,0.0
2020-03-13,7827.53391388001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23007.533913880012,23007.533913880012,23477.533913880012,20694.0,20694.0,21164.0,2313.533913880012,0.0
2020-03-16,7827.53391388001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23507.533913880012,23507.533913880012,22127.533913880012,21194.0,21194.0,19814.0,2313.533913880012,0.0
2020-03-17,7827.53391388001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,22217.533913880012,22217.533913880012,21737.533913880012,19904.0,19904.0,19424.0,2313.533913880012,0.0
2020-03-18,7827.53391388001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21877.533913880012,21877.533913880012,21387.533913880012,19564.0,19564.0,19074.0,2313.533913880012,0.0
2020-03-19,7827.53391388001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21377.533913880012,21377.533913880012,21337.533913880012,19064.0,19064.0,19024.0,2313.533913880012,0.0
2020-03-20,7827.53391388001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21507.533913880012,21507.533913880012,21397.533913880012,19194.0,19194.0,19084.0,2313.533913880012,0.0
2020-03-23,7827.53391388001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20927.533913880012,20927.533913880012,20347.533913880012,18614.0,18614.0,18034.0,2313.533913880012,0.0
2020-03-24,7827.53391388001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20577.533913880012,20577.533913880012,20847.533913880012,18264.0,18264.0,18534.0,2313.533913880012,0.0
2020-03-25,21349.23758858001,0,0,0,0.0,18.8113253,0.0,0.0,0,1000,0,21227.533913880012,21227.533913880012,21349.23758858001,18914.0,18914.0,19064.0,2285.23758858001,0.0
2020-03-26,7984.62540168001,0,1000,1000,0.0,5.2671869000000004,0.0,0.0,1000,0,0,21349.23758858001,21334.62540168001,21274.62540168001,18924.0,18864.0,18804.0,2470.6254016800085,0.0
