scenario,event,source_status,entitlement,quantity,payment_date,account_window
S1_F1_open_b5_e0_d0_main,2019-06-20,primary_new,0.0,0.0,,before_start_no_initial_claim
S1_F1_open_b5_e0_d0_main,2020-06-30,primary_new,0.0,0.0,2020-06-30,included
S1_F1_open_b5_e0_d0_main,2021-07-27,primary_new,250.0,1000.0,2021-07-27,included
S1_F1_open_b5_e0_d0_main,2022-08-05,primary_new,500.0,1000.0,2022-08-05,included
S1_F1_open_b5_e0_d0_main,2023-07-28,primary_new,550.0,1000.0,2023-07-28,included
S1_F1_open_b5_e0_d0_main,2024-08-15,primary_new,580.0,1000.0,2024-08-15,included
S1_F1_open_b5_e0_d0_main,2025-07-31,primary_reused,640.0,1000.0,2025-07-31,included
S1_F1_open_b5_e0_d0_main,2026-01-16,primary_reused,330.0,1000.0,2026-01-16,included
S1_F1_open_b5_e0_d0_main,2026-08-03,primary_new,650.0,1000.0,2026-08-03,included
S1_F1_open_b10_e0_d0_main,2019-06-20,primary_new,0.0,0.0,,before_start_no_initial_claim
S1_F1_open_b10_e0_d0_main,2020-06-30,primary_new,0.0,0.0,2020-06-30,included
S1_F1_open_b10_e0_d0_main,2021-07-27,primary_new,250.0,1000.0,2021-07-27,included
S1_F1_open_b10_e0_d0_main,2022-08-05,primary_new,500.0,1000.0,2022-08-05,included
S1_F1_open_b10_e0_d0_main,2023-07-28,primary_new,550.0,1000.0,2023-07-28,included
S1_F1_open_b10_e0_d0_main,2024-08-15,primary_new,580.0,1000.0,2024-08-15,included
S1_F1_open_b10_e0_d0_main,2025-07-31,primary_reused,640.0,1000.0,2025-07-31,included
S1_F1_open_b10_e0_d0_main,2026-01-16,primary_reused,330.0,1000.0,2026-01-16,included
S1_F1_open_b10_e0_d0_main,2026-08-03,primary_new,650.0,1000.0,2026-08-03,included
S1_F1_post0935_b5_e0_d0_main,2019-06-20,primary_new,0.0,0.0,,before_start_no_initial_claim
S1_F1_post0935_b5_e0_d0_main,2020-06-30,primary_new,0.0,0.0,2020-06-30,included
S1_F1_post0935_b5_e0_d0_main,2021-07-27,primary_new,250.0,1000.0,2021-07-27,included
S1_F1_post0935_b5_e0_d0_main,2022-08-05,primary_new,500.0,1000.0,2022-08-05,included
S1_F1_post0935_b5_e0_d0_main,2023-07-28,primary_new,550.0,1000.0,2023-07-28,included
S1_F1_post0935_b5_e0_d0_main,2024-08-15,primary_new,580.0,1000.0,2024-08-15,included
S1_F1_post0935_b5_e0_d0_main,2025-07-31,primary_reused,640.0,1000.0,2025-07-31,included
S1_F1_post0935_b5_e0_d0_main,2026-01-16,primary_reused,330.0,1000.0,2026-01-16,included
S1_F1_post0935_b5_e0_d0_main,2026-08-03,primary_new,650.0,1000.0,2026-08-03,included
S1_F1_post0935_b10_e0_d0_main,2019-06-20,primary_new,0.0,0.0,,before_start_no_initial_claim
S1_F1_post0935_b10_e0_d0_main,2020-06-30,primary_new,0.0,0.0,2020-06-30,included
S1_F1_post0935_b10_e0_d0_main,2021-07-27,primary_new,250.0,1000.0,2021-07-27,included
S1_F1_post0935_b10_e0_d0_main,2022-08-05,primary_new,500.0,1000.0,2022-08-05,included
S1_F1_post0935_b10_e0_d0_main,2023-07-28,primary_new,550.0,1000.0,2023-07-28,included
S1_F1_post0935_b10_e0_d0_main,2024-08-15,primary_new,580.0,1000.0,2024-08-15,included
S1_F1_post0935_b10_e0_d0_main,2025-07-31,primary_reused,640.0,1000.0,2025-07-31,included
S1_F1_post0935_b10_e0_d0_main,2026-01-16,primary_reused,330.0,1000.0,2026-01-16,included
S1_F1_post0935_b10_e0_d0_main,2026-08-03,primary_new,650.0,1000.0,2026-08-03,included
