entry,exit,days,sale_cash,final_cash,restored
2020-01-02,2020-01-03,1,18337.8911476,5338.030977800001,True
2020-01-06,2020-01-07,1,17858.860257999997,5253.612477399998,True
2020-01-08,2020-01-09,1,17479.6274704,5060.236594800001,True
2020-01-10,2020-01-13,1,17988.5977906,5005.453625000006,True
2020-01-14,2020-01-15,1,18347.8709578,4979.60721580001,True
2020-01-16,2020-01-17,1,18367.8305782,4913.659225800013,True
2020-01-20,2020-01-21,1,19295.9529268,4985.027768600015,True
2020-01-22,2020-01-23,1,20802.904267,5262.02162560002,True
2020-02-04,2020-02-05,1,17978.6179804,5057.116042800022,True
2020-02-06,2020-02-07,1,18876.8008984,4008.618543200024,True
2020-02-10,2020-02-11,1,18866.8210882,4041.2530552000244,True
2020-02-12,2020-02-13,1,19106.336532999998,4013.0970060000254,True
2020-02-14,2020-02-17,1,18307.951717,3857.2395542000268,True
2020-02-18,2020-02-19,1,18806.942227000003,3990.1584082000336,True
2020-02-20,2020-02-21,1,18767.022986199998,4063.1376210000344,True
2020-02-24,2020-02-25,1,20094.337742800002,4482.43197080004,True
2020-02-26,2020-02-27,1,18667.2248842,4485.643682200043,True
2020-02-28,2020-03-02,1,17040.515821599998,4203.513157800044,True
2020-03-03,2020-03-04,1,17399.788988800003,4350.7272020000455,True
2020-03-05,2020-03-06,1,17120.3543032,4618.914568600048,True
2020-03-09,2020-03-10,1,16142.3329036,4759.94755260005,True
2020-03-11,2020-03-12,1,16501.6060708,4989.978298400052,True
2020-03-13,2020-03-16,1,15613.402963,4902.387347800053,True
2020-03-17,2020-03-18,1,13876.9159882,4709.972055000057,True
2020-03-19,2020-03-20,1,13477.7235802,4488.741761600058,True
2020-03-23,2020-03-24,1,12489.722370399999,4210.458877000061,True
2020-03-25,2020-03-26,1,13517.642821000001,4299.423229800066,True
2020-03-27,2020-03-30,1,13038.6119314,4479.938104400069,True
2020-03-31,2020-04-01,1,13178.329274200001,4509.874516000071,True
2020-04-02,2020-04-03,1,13946.7746596,4537.470897600071,True
2020-04-07,2020-04-08,1,14116.431433,4584.571049600072,True
2020-04-09,2020-04-10,1,13916.835228999998,4542.187199800073,True
2020-04-13,2020-04-14,1,13118.450413,4362.091747200075,True
2020-04-15,2020-04-16,1,13836.996747399999,4430.063219600075,True
2020-04-17,2020-04-20,1,13956.7544698,4307.476208200078,True
2020-04-21,2020-04-22,1,14126.4112432,4354.545970200081,True
2020-04-23,2020-04-24,1,13926.8150392,4302.121530200084,True
2020-04-27,2020-04-28,1,13916.835228999998,4189.666279000085,True
2020-04-29,2020-04-30,1,14206.2497248,4066.3195176000863,True
2020-05-06,2020-05-07,1,14725.1998552,4021.4740778000905,True
2020-05-08,2020-05-11,1,14405.8459288,3907.529716600091,True
2020-05-12,2020-05-13,1,14196.2699146,3984.417349200092,True
2020-05-14,2020-05-15,1,13657.3601638,3882.762438200094,True
2020-05-18,2020-05-19,1,13457.7639598,3781.715327200098,True
2020-05-20,2020-05-21,1,13817.037127,3699.5945766000987,True
2020-05-22,2020-05-25,1,13228.2283252,3659.307636800102,True
2020-05-26,2020-05-27,1,13467.74377,3548.219935600102,True
2020-05-28,2020-05-29,1,13427.824529200001,3557.3761968001054,True
2020-06-01,2020-06-02,1,13846.9765576,3485.174476400107,True
2020-06-03,2020-06-04,1,14186.290104400001,3401.9292958001097,True
2020-06-05,2020-06-08,1,14046.5727616,3178.966772400112,True
2020-06-09,2020-06-10,1,14515.623841,3114.739122200115,True
2020-06-11,2020-06-12,1,13986.6939004,3382.4587486001165,True
2020-06-15,2020-06-16,1,13637.4005434,3260.8442172001196,True
2020-06-17,2020-06-18,1,14216.229535,3207.5384672001237,True
2020-06-19,2020-06-22,1,14316.027637,3143.918617000125,True
2020-06-23,2020-06-24,1,14076.5121922,3050.9975262001244,True
2020-06-29,2020-06-30,1,15184.2711244,3024.7745468001285,True
2020-07-01,2020-07-02,1,15383.8673284,3047.994768400127,True
2020-07-03,2020-07-06,1,15872.8780282,2689.3382724001312,True
2020-07-07,2020-07-08,1,16341.929107599999,2709.6410540001307,True
2020-07-09,2020-07-10,1,16681.242654399997,2688.8697748001323,True
2020-07-13,2020-07-14,1,16461.68683,2598.695674200131,True
2020-07-15,2020-07-16,1,16162.292523999999,2609.5352756001357,True
2020-07-17,2020-07-20,1,14755.1392858,2464.496663800135,True
2020-07-21,2020-07-22,1,15393.8471386,2397.5946936001383,True
2020-07-23,2020-07-24,1,14944.7556796,2402.1316748001427,True
2020-07-27,2020-07-28,1,13976.7140902,2209.4124820001434,True
2020-07-29,2020-07-30,1,14475.7046002,2155.3165920001466,True
2020-07-31,2020-08-03,1,14555.5430818,2010.8857802001494,True
2020-08-04,2020-08-05,1,14645.361373599999,1806.1202572001494,True
2020-08-06,2020-08-07,1,14465.72479,1772.0751576001512,True
2020-08-10,2020-08-11,1,14375.9064982,1728.2933678001536,True
2020-08-12,2020-08-13,1,15104.4326428,1542.1503052001572,True
2020-08-14,2020-08-17,1,14994.6547306,1426.4129340001582,True
2020-08-18,2020-08-19,1,15144.3518836,1370.2809140001627,True
2020-08-20,2020-08-21,1,14795.0585266,1145.0391406001636,True
2020-08-24,2020-08-25,1,14954.7354898,1039.4335296001645,True
2020-08-26,2020-08-27,1,14505.644030799998,925.1852684001642,True
2020-08-28,2020-08-31,1,14715.220045,780.268216600165,True
2020-09-01,2020-09-02,1,14695.260424600001,735.5139468001689,True
2020-09-03,2020-09-04,1,14475.7046002,901.6424612001701,True
2020-09-07,2020-09-08,1,13906.8554188,849.2788012001711,True
2020-09-09,2020-09-10,1,13876.9159882,706.9145094001724,True
2020-09-11,2020-09-14,1,13587.501492399999,655.5233294001719,True
2020-09-15,2020-09-16,1,13697.2794046,643.8386602001738,True
2020-09-17,2020-09-18,1,13527.6226312,582.6196200001759,True
2020-09-21,2020-09-22,1,13707.2592148,620.9555618001777,True
2020-09-23,2020-09-24,1,13537.6024414,689.8387342001788,True
2020-09-25,2020-09-28,1,13138.4100334,609.78450360018,True
2020-09-29,2020-09-30,1,13527.6226312,518.5348628001811,True
2020-10-09,2020-10-12,1,13817.037127,416.39371180018315,True
2020-10-13,2020-10-14,1,13896.8756086,494.19304440018277,True
2020-10-15,2020-10-16,1,13717.239025,312.2741918001848,True
2020-10-19,2020-10-20,1,13827.0169372,300.1944526001862,True
2020-10-21,2020-10-22,1,13607.4611128,308.80369380018783,True
2020-10-23,2020-10-26,1,13557.5620618,277.52408420018946,True
2020-10-27,2020-10-28,1,13836.996747399999,165.31195300018953,True
2020-10-29,2020-10-30,1,13926.8150392,172.94871420019263,True
2020-11-02,2020-11-03,1,13128.430223200001,102.93507380019582,True
2020-11-04,2021-07-05,162,13437.804339400001,9.962003060200004,True
2021-07-06,2021-07-07,1,12200.307874600001,2.8358338602029107,True
2021-07-08,2021-07-19,7,12000.7116706,13.339905100202941,True
2021-07-20,2021-07-29,7,11691.337554400001,47.809526800206186,True
2021-07-30,2021-08-02,1,11147.347044400001,183.71194680020926,True
2021-08-03,2021-08-04,1,11801.1154666,177.8013776002099,True
2021-08-05,2021-08-06,1,11821.075087,151.8096280002119,True
2021-08-09,2021-08-10,1,12000.7116706,85.2300576002126,True
2021-08-11,2021-08-12,1,11751.2164156,59.451038000213885,True
2021-08-13,2021-08-31,12,11811.0952768,12.473358080214666,True
2021-09-01,2021-10-28,34,11681.3577442,19.9458292402162,True
2021-10-29,2021-11-01,1,11322.084577,25.504180240215646,True
2021-11-02,2021-11-03,1,11401.9230586,30.81941124021614,True
2021-11-04,2021-11-05,1,11591.539452399998,5.526631640215783,True
2021-11-08,2021-11-29,15,11621.478883,11.179402760217727,True
2021-11-30,2022-03-09,65,11142.4479934,7.279673660218123,True
2022-03-10,2022-03-11,1,10324.103557,85.94842606021848,True
2022-03-14,2022-03-15,1,10154.4467836,35.00120586022058,True
2022-03-16,2022-08-11,100,9865.0322878,369.88370406022375,True
2022-08-12,2022-08-15,1,9600.5730667,295.700074160226,True
2022-08-16,2022-08-17,1,9455.9547748,277.10015436022695,True
2022-08-18,2022-08-19,1,9585.6936061,328.1784652602273,True
2022-08-22,2022-08-23,1,9495.8744152,329.4779856602272,True
2022-08-24,2022-08-25,1,9346.1757637,341.24045616022704,True
2022-08-26,2022-08-29,1,9336.1958536,403.08361716022955,True
2022-08-30,2022-08-31,1,9176.517291999999,385.32901736022905,True
2022-09-01,2022-09-02,1,9196.4771122,347.493837360229,True
2022-09-05,2022-09-06,1,9306.2561233,329.34676756022964,True
2022-09-07,2022-09-08,1,9366.1355839,250.95795716023167,True
2022-09-09,2022-09-13,1,9445.974864700001,172.32762676023412,True
2022-09-14,2022-09-15,1,9356.1556738,123.99930666023465,True
2022-09-16,2022-09-19,1,9096.6780112,86.466026660235,True
2022-09-20,2022-09-21,1,8717.441427400001,60.09006676023637,True
2022-09-22,2022-09-23,1,8657.5619668,3.864946560237513,True
2022-09-26,2022-10-11,6,8527.8231355,3.0928969602400684,True
2022-10-12,2022-10-13,1,8288.3052931,28.065607560241915,True
2022-10-14,2022-10-27,9,8418.0441244,0.5983776902419322,True
2022-10-28,2022-10-31,1,8258.3655628,376.015161790242,True
2022-11-01,2022-11-02,1,8537.8030456,410.24322249024226,True
2022-11-03,2022-11-04,1,8607.662416300001,424.2397529902446,True
2022-11-07,2022-11-08,1,8667.541876899999,418.034943290244,True
2022-11-09,2022-11-10,1,8617.6423264,391.9608833902457,True
2022-11-11,2022-11-14,1,8817.2405284,315.23252299024534,True
2022-11-15,2022-11-16,1,9026.818640500001,317.9509733902487,True
2022-11-17,2022-11-18,1,8986.8990001,240.70938299024965,True
2022-11-21,2022-11-22,1,8976.91909,143.47778239024956,True
2022-11-23,2022-11-24,1,9026.818640500001,106.15583239025182,True
2022-11-25,2022-11-28,1,9026.818640500001,218.98538389025452,True
2022-11-29,2022-11-30,1,9086.698101099999,171.4721937902541,True
2022-12-01,2022-12-02,1,9166.5373819,153.7477839902549,True
2022-12-05,2022-12-06,1,9256.3565728,175.79206459025409,True
2022-12-07,2022-12-08,1,9396.0753142,147.36318469025355,True
2022-12-09,2022-12-12,1,9435.9949546,138.83374499025558,True
2022-12-13,2022-12-14,1,9426.0150445,70.27389469025547,True
2022-12-15,2022-12-16,1,9435.9949546,81.76465519025624,True
2022-12-19,2022-12-20,1,9346.1757637,93.52712569025607,True
2022-12-21,2024-01-05,253,9326.2159435,26.776290510255876,True
2024-01-08,2025-04-09,300,13055.2558708,125.44247676025611,True
2025-04-10,2025-04-11,1,17927.8895596,380.5053598602608,True
2025-04-14,2025-04-15,1,17887.949939200003,325.355919860267,True
2025-04-16,2025-04-17,1,17468.583925,551.5474726602697,True
2025-04-18,2025-04-21,1,17528.4933556,507.3151527602713,True
2025-04-22,2025-04-23,1,17748.161267800002,42.10433866027597,True
2025-04-24,,338,,,False
