entry,exit,days,sale_cash,final_cash,restored
2020-01-02,2020-01-03,1,18343.399523319997,5349.086464459997,True
2020-01-10,2020-01-13,1,17994.00127342,5305.113085599998,True
2020-01-14,2020-01-15,1,18353.38233046,5290.283159160001,True
2020-01-16,2020-01-17,1,18373.347944740002,5235.375646160002,True
2020-01-20,2020-01-21,1,19301.749008759998,5318.300386120001,True
2020-01-23,2020-02-03,1,19960.61428,7260.954414120006,True
2020-02-11,2020-02-12,1,19191.93813022,7354.154677220009,True
2020-02-18,2020-02-19,1,18812.5914589,7498.317875020006,True
2020-02-24,2020-02-25,1,20100.37357996,7929.543179880009,True
2020-02-28,2020-03-02,1,17045.63459512,7657.721532800009,True
2020-03-11,2020-03-12,1,16506.56300956,7897.584314860011,True
2020-03-25,2020-03-26,1,13521.7036747,7994.632601820014,True
2020-04-03,2020-04-07,1,13930.99876744,7560.299168360018,True
2020-04-15,2020-04-16,1,13841.15350318,7636.5524790400195,True
2020-04-17,2020-04-20,1,13960.94718886,7522.376271060019,True
2020-04-21,2020-04-22,1,14130.65491024,7577.90778446002,True
2020-04-23,2020-04-24,1,13930.99876744,7533.855156460022,True
2020-04-29,2020-04-30,1,14210.517367359998,7419.0691234800215,True
2020-05-06,2020-05-07,1,14729.62333864,7383.0722556200235,True
2020-05-20,2020-05-21,1,13821.1878889,7309.266350200025,True
2020-05-27,2020-05-28,1,13451.824024720001,7246.370185920026,True
2020-06-01,2020-06-02,1,13851.13631032,7182.498301640029,True
2020-06-17,2020-06-18,1,14220.500174499999,7137.738276640028,True
2020-06-19,2020-06-22,1,14320.3282459,7082.727121500031,True
2020-06-29,2020-06-30,1,15188.83246708,7065.62257592003,True
2020-07-02,2020-07-03,1,15578.16194554,6977.516302360033,True
2020-07-09,2020-07-10,1,16686.25353808,6966.760006920034,True
2020-07-14,2020-07-15,1,16556.47704526,6676.119216560033,True
2020-07-21,2020-07-22,1,15398.471417019999,6618.473617420033,True
2020-07-30,2020-07-31,1,14260.43140306,6583.623220560034,True
2020-08-13,2020-08-14,1,15138.91843138,6696.734241800032,True
2020-08-18,2020-08-19,1,15148.90123852,6649.705667800032,True
2020-08-28,2020-08-31,1,14719.6405315,6513.661191540032,True
2020-09-02,2020-09-03,1,14739.60614578,6397.582329560031,True
2020-09-09,2020-09-10,1,13881.084731739998,6263.5868653000325,True
2020-09-14,2020-09-15,1,13821.1878889,6239.816960580034,True
2020-09-21,2020-09-22,1,13711.37701036,6286.3657798400345,True
2020-10-13,2020-10-14,1,13901.05034602,6372.479932660039,True
2020-10-21,2020-10-22,1,13611.548938959999,6389.251081500039,True
2020-10-23,2020-10-26,1,13561.63490326,6366.115394780039,True
2020-10-28,2020-10-29,1,13911.03315316,6502.24115530004,True
2020-11-04,2020-11-05,1,13441.84121758,6249.23258136004,True
2020-11-06,2020-11-09,1,13970.929995999999,5934.88797758004,True
2020-11-16,2020-11-17,1,14250.44859592,5910.069173860042,True
2020-12-02,2020-12-03,1,14020.844031699999,5915.833009560043,True
2020-12-09,2020-12-10,1,13791.23946748,5932.165084400041,True
2020-12-15,2020-12-16,1,13531.686481839999,5889.0881764000405,True
2020-12-18,2020-12-21,1,13621.5317461,5895.827732100039,True
2020-12-24,2020-12-25,1,13351.99595332,5883.211498520037,True
2020-12-28,2020-12-29,1,13242.18507478,5790.805986820038,True
2020-12-31,2021-01-04,1,13661.46297466,5737.404769680043,True
2021-01-06,2021-01-07,1,13841.15350318,5773.629279800043,True
2021-01-13,2021-01-14,1,15148.90123852,5756.622306220044,True
2021-01-19,2021-01-20,1,15069.0387814,5459.608872720044,True
2021-01-26,2021-01-27,1,14789.52018148,5283.364844900045,True
2021-02-05,2021-02-08,1,13182.28823194,5301.184892740046,True
2021-02-10,2021-02-18,1,14010.861224559998,5176.879519620046,True
2021-02-22,2021-02-23,1,13940.981574579999,5252.888900300046,True
2021-02-25,2021-02-26,1,13891.06753888,5359.041846400045,True
