entry,exit,days,sale_cash,final_cash,restored
2020-01-02,2020-01-03,1,18343.399523319997,5369.100864739998,True
2020-01-10,2020-01-13,1,17994.00127342,5495.2498882599975,True
2020-01-14,2020-01-15,1,18353.38233046,5320.304759580002,True
2020-01-16,2020-01-17,1,18373.347944740002,5275.404446720007,True
2020-01-20,2020-01-21,1,19301.749008759998,5298.285985840004,True
2020-01-23,2020-02-03,1,19960.61428,7240.940013840009,True
2020-02-11,2020-02-12,1,19191.93813022,7494.25547918001,True
2020-02-18,2020-02-19,1,18812.5914589,7668.440277400008,True
2020-02-24,2020-02-25,1,20100.37357996,7789.4423779200115,True
2020-02-28,2020-03-02,1,17045.63459512,7647.714332660009,True
2020-03-11,2020-03-12,1,16506.56300956,7827.53391388001,True
2020-03-25,2020-03-26,1,13521.7036747,7984.62540168001,True
2020-04-03,2020-04-07,1,13930.99876744,7750.435971020013,True
2020-04-15,2020-04-16,1,13841.15350318,7956.782883520013,True
2020-04-17,2020-04-20,1,13960.94718886,7822.5922752600145,True
2020-04-21,2020-04-22,1,14130.65491024,7938.166989500016,True
2020-04-23,2020-04-24,1,13930.99876744,7834.071160660018,True
2020-04-29,2020-04-30,1,14210.517367359998,7579.184325720016,True
2020-05-06,2020-05-07,1,14729.62333864,7643.259459260014,True
2020-05-20,2020-05-21,1,13821.1878889,7549.439153560015,True
2020-05-27,2020-05-28,1,13451.824024720001,7476.535789140018,True
2020-06-01,2020-06-02,1,13851.13631032,7272.563102900018,True
2020-06-17,2020-06-18,1,14220.500174499999,7357.896679720021,True
2020-06-19,2020-06-22,1,14320.3282459,7182.799122900024,True
2020-06-29,2020-06-30,1,15188.83246708,7245.752178440025,True
2020-07-02,2020-07-03,1,15578.16194554,6997.530702640024,True
2020-07-09,2020-07-10,1,16686.25353808,7206.932810280025,True
2020-07-14,2020-07-15,1,16556.47704526,6906.284819780023,True
2020-07-21,2020-07-22,1,15398.471417019999,7008.754422880023,True
2020-07-30,2020-07-31,1,14260.43140306,6673.688021820028,True
2020-08-13,2020-08-14,1,15138.91843138,6786.7990430600275,True
2020-08-18,2020-08-19,1,15148.90123852,6879.871271020031,True
2020-08-28,2020-08-31,1,14719.6405315,6713.805194340028,True
2020-09-02,2020-09-03,1,14739.60614578,6707.805533900031,True
2020-09-09,2020-09-10,1,13881.084731739998,6593.824469920033,True
2020-09-14,2020-09-15,1,13821.1878889,6660.119366460034,True
2020-09-21,2020-09-22,1,13711.37701036,6706.668185720035,True
2020-10-13,2020-10-14,1,13901.05034602,6892.854339940039,True
2020-10-21,2020-10-22,1,13611.548938959999,6919.632688920037,True
2020-10-23,2020-10-26,1,13561.63490326,6946.533002900038,True
2020-10-28,2020-10-29,1,13911.03315316,7062.64436314004,True
2020-11-04,2020-11-05,1,13441.84121758,6789.621388920043,True
2020-11-06,2020-11-09,1,13970.929995999999,6425.240784440044,True
2020-11-16,2020-11-17,1,14250.44859592,6520.508382400045,True
2020-12-02,2020-12-03,1,14020.844031699999,6596.322619080047,True
2020-12-09,2020-12-10,1,13791.23946748,6742.748295740048,True
2020-12-15,2020-12-16,1,13531.686481839999,6559.570585780051,True
2020-12-18,2020-12-21,1,13621.5317461,6596.3317419000505,True
2020-12-24,2020-12-25,1,13351.99595332,6623.744308880052,True
2020-12-28,2020-12-29,1,13242.18507478,6531.338797180053,True
2020-12-31,2021-01-04,1,13661.46297466,6557.995181160051,True
2021-01-06,2021-01-07,1,13841.15350318,6584.2124911400515,True
2021-01-13,2021-01-14,1,15148.90123852,5846.687107480051,True
2021-01-19,2021-01-20,1,15069.0387814,5739.81047664005,True
2021-01-26,2021-01-27,1,14789.52018148,5573.573648960053,True
2021-02-05,2021-02-08,1,13182.28823194,5511.336095680055,True
2021-02-10,2021-02-18,1,14010.861224559998,5487.102723960057,True
2021-02-22,2021-02-23,1,13940.981574579999,5513.076103940057,True
2021-02-25,2021-02-26,1,13891.06753888,5669.265050740054,True
2021-03-04,2021-03-05,1,13601.566131819998,5696.067792720056,True
2021-03-08,2021-03-09,1,13671.4457818,5512.548580760054,True
2021-03-17,2021-03-18,1,13521.7036747,5439.474465340056,True
2021-03-31,2021-04-01,1,14340.29386018,5364.400123920055,True
2021-04-08,2021-04-09,1,14330.31105304,5469.479778020057,True
2021-04-20,2021-04-21,1,14350.276667319999,5534.481845560056,True
2021-04-22,2021-04-23,1,14150.620524519998,5569.950172680055,True
2021-04-28,2021-04-29,1,14519.984388699999,5394.364755860057,True
2021-05-07,2021-05-10,1,13421.875603299999,5341.548970720058,True
2021-05-13,2021-05-14,1,13351.99595332,5238.867935880056,True
2021-05-19,2021-05-20,1,13182.28823194,5196.644782880057,True
2021-05-26,2021-05-27,1,12533.405767839999,5216.05037572006,True
2021-06-01,2021-06-02,1,12403.62927502,5245.78027770006,True
2021-06-08,2021-06-09,1,12483.49173214,5135.214233720062,True
2021-06-18,2021-06-21,1,12463.52611786,5174.804977840062,True
2021-06-25,2021-06-28,1,12583.319803539998,5124.0382047000585,True
2021-07-06,2021-07-07,1,12203.97313222,5104.219965980061,True
2021-07-16,2021-07-19,1,11465.24540386,5076.1996091200635,True
2021-07-20,2021-07-21,1,11694.84996808,4957.553412000067,True
2021-08-02,2021-08-03,1,11734.69523234,5078.716478440068,True
2021-08-11,2021-08-12,1,11754.746810919998,4959.923923320064,True
2021-08-17,2021-08-18,1,11994.33418228,4890.581936900064,True
2021-08-19,2021-08-20,1,11824.626460899999,4861.683432040065,True
2021-09-02,2021-09-03,1,11724.7983895,4823.021657040068,True
2021-09-08,2021-09-09,1,12164.041903659998,4823.315390600066,True
2021-10-11,2021-10-12,1,12104.14506082,4763.712281320066,True
2021-10-14,2021-10-15,1,11834.60926804,4814.846984580066,True
2021-10-20,2021-10-21,1,11565.073475259998,4786.582697720065,True
2021-10-25,2021-10-26,1,11355.434525319999,4658.758662460064,True
2021-11-01,2021-11-02,1,11415.33136816,4530.788269200064,True
2021-11-05,2021-11-08,1,11664.90154666,4562.323253180066,True
2021-11-12,2021-11-15,1,11694.84996808,4433.669855920065,True
2021-11-16,2021-11-17,1,11784.69523234,4464.912123900067,True
2021-11-22,2021-11-23,1,11834.60926804,4365.938825060068,True
2021-12-01,2021-12-02,1,11235.64083964,4378.508307760068,True
2021-12-06,2021-12-07,1,11255.60645392,4351.000203900068,True
2021-12-09,2021-12-10,1,11744.764003780001,4202.21044136007,True
2021-12-24,2021-12-27,1,11954.40295372,4132.966026940072,True
2022-01-04,2022-01-05,1,12014.29979656,3993.5248535400733,True
2022-02-09,2022-02-10,1,11325.4861039,3935.8243982600743,True
2022-02-11,2022-02-14,1,11305.52048962,4008.266330800074,True
2022-02-21,2022-02-22,1,11375.4001396,4140.580713180076,True
2022-02-24,2022-02-25,1,11175.7439968,4033.2101522000758,True
2022-03-01,2022-03-02,1,11145.79557538,4035.991971760077,True
2022-03-03,2022-03-04,1,11175.7439968,4068.7222127400782,True
2022-03-14,2022-03-15,1,10157.49766852,4123.954940000078,True
2022-03-17,2022-03-18,1,10087.618018539999,4049.264816440078,True
2022-03-23,2022-03-24,1,10367.13661846,3973.8916888800777,True
2022-03-29,2022-03-30,1,10057.669597119999,3869.2531439000777,True
2022-03-31,2022-04-01,1,10127.5492471,3924.559050160078,True
2022-04-06,2022-04-07,1,10177.4632828,3889.678190160079,True
2022-04-11,2022-04-12,1,9907.92749002,3945.52074242008,True
2022-04-28,2022-04-29,1,9398.804325879999,3862.60130201008,True
2022-05-18,2022-05-19,1,9398.89845994,3919.87539664008,True
2022-05-26,2022-05-27,1,9199.24031854,3837.5339502900806,True
2022-06-01,2022-06-02,1,9348.983924589998,3864.90770971008,True
2022-06-06,2022-06-07,1,9408.881367009999,3832.09371071008,True
2022-06-15,2022-06-16,1,9618.52241548,3698.7006580100806,True
2022-06-20,2022-06-21,1,9668.43695083,3625.229240730081,True
2022-06-24,2022-06-27,1,9728.33439325,3541.6055653800813,True
2022-06-29,2022-06-30,1,9818.18055688,3497.7925533100824,True
2022-07-19,2022-07-20,1,9778.2489286,3183.884611350084,True
2022-07-27,2022-07-28,1,9918.009627579999,3069.7799687900842,True
2022-08-02,2022-08-03,1,9888.06090637,3005.783405580085,True
2022-08-08,2022-08-09,1,9498.55660134,3402.531039790085,True
2022-08-10,2022-08-11,1,9548.64206599,3289.321538230086,True
2022-08-12,2022-08-15,1,9648.47113669,3406.0334082800855,True
2022-08-18,2022-08-19,1,9588.573694269999,3312.7413348600858,True
2022-08-23,2022-08-24,1,9418.86427408,3289.9102429300874,True
2022-09-06,2022-09-07,1,9418.86427408,3307.107551280089,True
2022-09-28,2022-09-29,1,8540.36845192,3166.32024251009,True
2022-10-13,2022-10-14,1,8330.727403449999,3086.0835871600902,True
2022-10-18,2022-10-19,1,8480.4710095,3015.4911368800895,True
2022-11-02,2022-11-03,1,8640.19752262,2984.539998880089,True
2022-11-09,2022-11-10,1,8620.23170848,2983.658547090088,True
2022-11-16,2022-11-17,1,8969.633455930001,2911.8806398100896,True
2022-11-30,2022-12-01,1,9129.35996905,2839.71564453009,True
2022-12-07,2022-12-08,1,9398.89845994,2856.96133888009,True
2022-12-12,2022-12-13,1,9438.830088219998,2814.0676608100894,True
2022-12-19,2022-12-20,1,9348.983924589998,2661.313618970087,True
2023-01-06,2023-01-09,1,9358.96683166,2488.5211839900876,True
2023-01-16,2023-01-17,1,9478.761716500001,2425.51653378009,True
2023-02-02,2023-02-03,1,9528.67625185,2502.49031955009,True
