date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-01-02,15:00,SELL,1000,18.38,18361.62,23.7288524,0.0,23851.8911476,0,close_proxy
2020-01-03,09:25,BUY,1000,18.49,18508.489999999998,5.3701698,0.0,5338.030977800001,1000,daily_open_indicative
2020-01-06,15:00,SELL,1000,17.9,17882.1,23.239742,0.0,23196.891235799998,0,close_proxy
2020-01-07,09:25,BUY,1000,17.92,17937.92,5.3587584,0.0,5253.612477399998,1000,daily_open_indicative
2020-01-08,15:00,SELL,1000,17.52,17502.48,22.8525296,0.0,22733.239947799997,0,close_proxy
2020-01-09,09:25,BUY,1000,17.65,17667.649999999998,5.353353,0.0,5060.236594800001,1000,daily_open_indicative
2020-01-10,15:00,SELL,1000,18.03,18011.97,23.372209400000003,0.0,23048.8343854,0,close_proxy
2020-01-13,09:25,BUY,1000,18.02,18038.019999999997,5.3607604,0.0,5005.453625000006,1000,daily_open_indicative
2020-01-14,15:00,SELL,1000,18.39,18371.61,23.739042200000004,0.0,23353.324582800007,0,close_proxy
2020-01-15,09:25,BUY,1000,18.35,18368.35,5.367367,0.0,4979.60721580001,1000,daily_open_indicative
2020-01-16,15:00,SELL,1000,18.41,18391.59,23.759421800000002,0.0,23347.43779400001,0,close_proxy
2020-01-17,09:25,BUY,1000,18.41,18428.409999999996,5.3685682,0.0,4913.659225800013,1000,daily_open_indicative
2020-01-20,15:00,SELL,1000,19.34,19320.66,24.7070732,0.0,24209.612152600013,0,close_proxy
2020-01-21,09:25,BUY,1000,19.2,19219.199999999997,5.384384,0.0,4985.027768600015,1000,daily_open_indicative
2020-01-22,15:00,SELL,1000,20.85,20829.15,26.245733,0.0,25787.932035600017,0,close_proxy
2020-01-23,09:25,BUY,1000,20.5,20520.499999999996,5.41041,0.0,5262.02162560002,1000,daily_open_indicative
2020-02-04,15:00,SELL,1000,18.02,18001.98,23.3620196,0.0,23240.63960600002,0,close_proxy
2020-02-05,09:25,BUY,1000,18.16,18178.159999999996,5.3635632,0.0,5057.116042800022,1000,daily_open_indicative
2020-02-06,15:00,SELL,1000,18.92,18901.08,24.279101600000004,0.0,23933.916941200023,0,close_proxy
2020-02-07,09:25,BUY,1000,19.9,19919.899999999998,5.398398,0.0,4008.618543200024,1000,daily_open_indicative
2020-02-10,15:00,SELL,1000,18.91,18891.09,24.2689118,0.0,22875.439631400022,0,close_proxy
2020-02-11,09:25,BUY,1000,18.81,18828.809999999998,5.3765762,0.0,4041.2530552000244,1000,daily_open_indicative
2020-02-12,15:00,SELL,1000,19.15,19130.85,24.513467,0.0,23147.589588200022,0,close_proxy
