date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-01-02,15:00,SELL,1000,18.38,18361.62,23.7288524,0.0,23851.8911476,0,close_proxy
2020-01-03,09:40,BUY,1000,18.47,18488.469999999998,5.3697694,0.0,5358.051378200002,1000,post0935_window_indicative_unknown
2020-01-06,15:00,SELL,1000,17.9,17882.1,23.239742,0.0,23216.9116362,0,close_proxy
2020-01-07,09:40,BUY,1000,17.82,17837.82,5.3567564,0.0,5373.734879799998,1000,post0935_window_indicative_unknown
2020-01-08,15:00,SELL,1000,17.52,17502.48,22.8525296,0.0,22853.362350199997,0,close_proxy
2020-01-09,09:40,BUY,1000,17.79,17807.789999999997,5.3561558,0.0,5040.2161944,1000,post0935_window_indicative_unknown
2020-01-10,15:00,SELL,1000,18.03,18011.97,23.372209400000003,0.0,23028.813985,0,close_proxy
2020-01-13,09:40,BUY,1000,17.85,17867.85,5.357357,0.0,5155.606628000001,1000,post0935_window_indicative_unknown
2020-01-14,15:00,SELL,1000,18.39,18371.61,23.739042200000004,0.0,23503.477585800003,0,close_proxy
2020-01-15,09:40,BUY,1000,18.51,18528.51,5.3705702,0.0,4969.597015600004,1000,post0935_window_indicative_unknown
2020-01-16,15:00,SELL,1000,18.41,18391.59,23.759421800000002,0.0,23337.427593800003,0,close_proxy
2020-01-17,09:40,BUY,1000,18.4,18418.399999999998,5.368368,0.0,4913.6592258000055,1000,post0935_window_indicative_unknown
2020-01-20,15:00,SELL,1000,19.34,19320.66,24.7070732,0.0,24209.612152600006,0,close_proxy
2020-01-21,09:40,BUY,1000,19.26,19279.26,5.3855852,0.0,4924.966567400006,1000,post0935_window_indicative_unknown
2020-01-22,15:00,SELL,1000,20.85,20829.15,26.245733,0.0,25727.870834400008,0,close_proxy
2020-01-23,09:40,BUY,1000,20.39,20410.39,5.4082078,0.0,5312.072626600009,1000,post0935_window_indicative_unknown
2020-02-04,15:00,SELL,1000,18.02,18001.98,23.3620196,0.0,23290.690607000008,0,close_proxy
2020-02-05,09:40,BUY,1000,18.16,18178.159999999996,5.3635632,0.0,5107.167043800011,1000,post0935_window_indicative_unknown
2020-02-06,15:00,SELL,1000,18.92,18901.08,24.279101600000004,0.0,23983.96794220001,0,close_proxy
2020-02-07,09:40,BUY,1000,19.36,19379.359999999997,5.3875872,0.0,4599.220355000016,1000,post0935_window_indicative_unknown
2020-02-10,15:00,SELL,1000,18.91,18891.09,24.2689118,0.0,23466.041443200014,0,close_proxy
2020-02-11,09:40,BUY,1000,18.91,18928.909999999996,5.3785782,0.0,4531.752865000017,1000,post0935_window_indicative_unknown
2020-02-12,15:00,SELL,1000,19.15,19130.85,24.513467,0.0,23638.089398000015,0,close_proxy
2020-02-13,09:40,BUY,1000,18.95,18968.949999999997,5.379379,0.0,4663.760019000016,1000,post0935_window_indicative_unknown
2020-02-14,15:00,SELL,1000,18.35,18331.65,23.698283000000004,0.0,22971.711736000016,0,close_proxy
2020-02-17,09:40,BUY,1000,18.33,18348.329999999998,5.3669666,0.0,4618.014769400019,1000,post0935_window_indicative_unknown
2020-02-18,15:00,SELL,1000,18.85,18831.15,24.207773000000003,0.0,23424.956996400022,0,close_proxy
2020-02-19,09:40,BUY,1000,18.62,18638.62,5.3727724,0.0,4780.964224000025,1000,post0935_window_indicative_unknown
2020-02-20,15:00,SELL,1000,18.81,18791.19,24.1670138,0.0,23547.987210200023,0,close_proxy
2020-02-21,09:40,BUY,1000,18.91,18928.909999999996,5.3785782,0.0,4613.698632000025,1000,post0935_window_indicative_unknown
2020-02-24,15:00,SELL,1000,20.14,20119.86,25.522257200000002,0.0,24708.036374800027,0,close_proxy
2020-02-25,09:40,BUY,1000,19.96,19979.96,5.3995992,0.0,4722.67677560003,1000,post0935_window_indicative_unknown
2020-02-26,15:00,SELL,1000,18.71,18691.29,24.0651158,0.0,23389.90165980003,0,close_proxy
2020-02-27,09:40,BUY,1000,18.65,18668.649999999998,5.373373,0.0,4715.878286800034,1000,post0935_window_indicative_unknown
2020-02-28,15:00,SELL,1000,17.08,17062.92,22.4041784,0.0,21756.394108400033,0,close_proxy
2020-03-02,09:40,BUY,1000,17.17,17187.17,5.3437434,0.0,4563.880365000034,1000,post0935_window_indicative_unknown
2020-03-03,15:00,SELL,1000,17.44,17422.56,22.771011200000004,0.0,21963.669353800036,0,close_proxy
2020-03-04,09:40,BUY,1000,17.08,17097.079999999998,5.3419416,0.0,4861.2474122000385,1000,post0935_window_indicative_unknown
2020-03-05,15:00,SELL,1000,17.16,17142.84,22.485696800000003,0.0,21981.60171540004,0,close_proxy
2020-03-06,09:40,BUY,1000,16.92,16936.92,5.3387384,0.0,5039.34297700004,1000,post0935_window_indicative_unknown
