date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-01-02,15:00,SELL,1000,18.38,18359.782,23.72697764,0.0,23850.05502236,0,close_proxy
2020-01-03,09:25,BUY,1000,18.49,18510.339000000004,5.37020678,0.0,5334.345815579996,1000,daily_open_indicative
2020-01-10,15:00,SELL,1000,18.03,18010.167,23.37037034,0.0,23321.14244524,0,close_proxy
2020-01-13,09:25,BUY,1000,18.02,18039.822,5.36079644,0.0,5275.959648799999,1000,daily_open_indicative
2020-01-14,15:00,SELL,1000,18.39,18369.771,23.73716642,0.0,23621.99348238,0,close_proxy
2020-01-15,09:25,BUY,1000,18.35,18370.185,5.3674037,0.0,5246.44107868,1000,daily_open_indicative
2020-01-16,15:00,SELL,1000,18.41,18389.749,23.75754398,0.0,23612.4325347,0,close_proxy
2020-01-17,09:25,BUY,1000,18.41,18430.251,5.36860502,0.0,5176.81292968,1000,daily_open_indicative
2020-01-20,15:00,SELL,1000,19.34,19318.726,24.70510052,0.0,24470.833829159998,0,close_proxy
2020-01-21,09:25,BUY,1000,19.2,19221.120000000003,5.3844224,0.0,5244.329406759996,1000,daily_open_indicative
2020-01-23,15:00,SELL,1000,20.0,19978.0,25.377560000000003,0.0,25196.951846759996,0,close_proxy
2020-02-03,09:25,BUY,1000,18.0,18019.800000000003,5.360396,0.0,7171.791450759993,1000,daily_open_indicative
2020-02-11,15:00,SELL,1000,19.23,19208.847,24.593023940000002,0.0,26356.045426819994,0,close_proxy
2020-02-12,09:25,BUY,1000,19.08,19100.988,5.38201976,0.0,7249.675407059993,1000,daily_open_indicative
2020-02-18,15:00,SELL,1000,18.85,18829.265,24.2058503,0.0,26054.73455675999,0,close_proxy
2020-02-19,09:25,BUY,1000,18.65,18670.515000000003,5.3734103,0.0,7378.8461464599895,1000,daily_open_indicative
2020-02-24,15:00,SELL,1000,20.14,20117.846,25.520202920000003,0.0,27471.17194353999,0,close_proxy
2020-02-25,09:25,BUY,1000,19.65,19671.615,5.3934323,0.0,7794.163511239989,1000,daily_open_indicative
2020-02-28,15:00,SELL,1000,17.08,17061.212,22.40243624,0.0,24832.973074999987,0,close_proxy
2020-03-02,09:25,BUY,1000,17.3,17319.030000000002,5.3463806,0.0,7508.596694399985,1000,daily_open_indicative
2020-03-11,15:00,SELL,1000,16.54,16521.806,21.852242120000003,0.0,24008.550452279986,0,close_proxy
2020-03-12,09:25,BUY,1000,16.25,16267.875000000002,5.3253575,0.0,7735.350094779984,1000,daily_open_indicative
2020-03-25,15:00,SELL,1000,13.55,13535.095,18.8057969,0.0,21251.639297879985,0,close_proxy
2020-03-26,09:25,BUY,1000,13.41,13424.751000000002,5.2684950200000005,0.0,7821.619802859983,1000,daily_open_indicative
2020-04-03,15:00,SELL,1000,13.96,13944.644,19.22353688,0.0,21747.040265979984,0,close_proxy
2020-04-07,09:25,BUY,1000,14.35,14365.785000000002,5.2873157,0.0,7375.967950279983,1000,daily_open_indicative
2020-04-15,15:00,SELL,1000,13.87,13854.743,19.13183786,0.0,21211.579112419982,0,close_proxy
2020-04-16,09:25,BUY,1000,13.75,13765.125000000002,5.2753025000000004,0.0,7441.17880991998,1000,daily_open_indicative
2020-04-17,15:00,SELL,1000,13.99,13974.611,19.25410322,0.0,21396.53570669998,0,close_proxy
2020-04-20,09:25,BUY,1000,14.06,14075.466000000002,5.28150932,0.0,7315.788197379976,1000,daily_open_indicative
2020-04-21,15:00,SELL,1000,14.16,14144.424,19.42731248,0.0,21440.78488489998,0,close_proxy
2020-04-22,09:25,BUY,1000,14.06,14075.466000000002,5.28150932,0.0,7360.037375579976,1000,daily_open_indicative
2020-04-23,15:00,SELL,1000,13.96,13944.644,19.22353688,0.0,21285.45783869998,0,close_proxy
2020-04-24,09:25,BUY,1000,13.96,13975.356000000002,5.27950712,0.0,7304.822331579977,1000,daily_open_indicative
2020-04-29,15:00,SELL,1000,14.24,14224.336,19.508822719999998,0.0,21509.649508859977,0,close_proxy
2020-04-30,09:25,BUY,1000,14.31,14325.741000000002,5.28651482,0.0,7178.621994039975,1000,daily_open_indicative
2020-05-06,15:00,SELL,1000,14.76,14743.764000000001,20.03863928,0.0,21902.34735475998,0,close_proxy
2020-05-07,09:25,BUY,1000,14.75,14766.225000000002,5.2953245,0.0,7130.827030259976,1000,daily_open_indicative
2020-05-20,15:00,SELL,1000,13.85,13834.765,19.1114603,0.0,20946.480569959975,0,close_proxy
