date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-01-02,15:00,SELL,1000,18.38,18367.134,23.73447668,0.0,23857.399523319997,0,close_proxy
2020-01-03,09:40,BUY,1000,18.47,18482.929,5.36965858,0.0,5369.100864739998,1000,post0935_window_indicative_unknown
2020-01-10,15:00,SELL,1000,18.03,18017.379,23.37772658,0.0,23363.102138159997,0,close_proxy
2020-01-13,09:40,BUY,1000,17.85,17862.495,5.3572499,0.0,5495.2498882599975,1000,post0935_window_indicative_unknown
2020-01-14,15:00,SELL,1000,18.39,18377.127,23.74466954,0.0,23848.63221872,0,close_proxy
2020-01-15,09:40,BUY,1000,18.51,18522.957,5.37045914,0.0,5320.304759580002,1000,post0935_window_indicative_unknown
2020-01-16,15:00,SELL,1000,18.41,18397.113,23.765055260000004,0.0,23693.652704320004,0,close_proxy
2020-01-17,09:40,BUY,1000,18.4,18412.879999999997,5.3682576,0.0,5275.404446720007,1000,post0935_window_indicative_unknown
2020-01-20,15:00,SELL,1000,19.34,19326.462,24.71299124,0.0,24577.153455480006,0,close_proxy
2020-01-21,09:40,BUY,1000,19.26,19273.482,5.38546964,0.0,5298.285985840004,1000,post0935_window_indicative_unknown
2020-01-23,15:00,SELL,1000,20.0,19986.0,25.385720000000003,0.0,25258.900265840006,0,close_proxy
2020-02-03,09:40,BUY,1000,18.0,18012.6,5.360252,0.0,7240.940013840009,1000,post0935_window_indicative_unknown
2020-02-11,15:00,SELL,1000,19.23,19216.539,24.600869780000004,0.0,26432.87814406001,0,close_proxy
2020-02-12,09:40,BUY,1000,18.92,18933.244,5.37866488,0.0,7494.25547918001,1000,post0935_window_indicative_unknown
2020-02-18,15:00,SELL,1000,18.85,18836.805,24.2135411,0.0,26306.84693808001,0,close_proxy
2020-02-19,09:40,BUY,1000,18.62,18633.034,5.37266068,0.0,7668.440277400008,1000,post0935_window_indicative_unknown
2020-02-24,15:00,SELL,1000,20.14,20125.902,25.52842004,0.0,27768.813857360008,0,close_proxy
2020-02-25,09:40,BUY,1000,19.96,19973.971999999998,5.39947944,0.0,7789.4423779200115,1000,post0935_window_indicative_unknown
2020-02-28,15:00,SELL,1000,17.08,17068.043999999998,22.40940488,0.0,24835.07697304001,0,close_proxy
2020-03-02,09:40,BUY,1000,17.17,17182.019,5.34364038,0.0,7647.714332660009,1000,post0935_window_indicative_unknown
2020-03-11,15:00,SELL,1000,16.54,16528.422,21.85899044,0.0,24154.277342220008,0,close_proxy
2020-03-12,09:40,BUY,1000,16.31,16321.416999999998,5.32642834,0.0,7827.53391388001,1000,post0935_window_indicative_unknown
2020-03-25,15:00,SELL,1000,13.55,13540.515,18.8113253,0.0,21349.23758858001,0,close_proxy
2020-03-26,09:40,BUY,1000,13.35,13359.345,5.2671869000000004,0.0,7984.62540168001,1000,post0935_window_indicative_unknown
2020-04-03,15:00,SELL,1000,13.96,13950.228,19.22923256,0.0,21915.624169120012,0,close_proxy
2020-04-07,09:40,BUY,1000,14.15,14159.904999999999,5.2831981,0.0,7750.435971020013,1000,post0935_window_indicative_unknown
2020-04-15,15:00,SELL,1000,13.87,13860.291,19.137496820000003,0.0,21591.589474200013,0,close_proxy
2020-04-16,09:40,BUY,1000,13.62,13629.534,5.27259068,0.0,7956.782883520013,1000,post0935_window_indicative_unknown
2020-04-17,15:00,SELL,1000,13.99,13980.207,19.259811140000004,0.0,21917.730072380014,0,close_proxy
