scenario,event,increment,start,end
S1_F1_open_b5_e0_d0_exdate_reference,0,-157.54321109999728,2020-01-02,2020-01-09
S1_F1_open_b5_e0_d0_exdate_reference,1,1949.079106900008,2020-01-10,2020-02-10
S1_F1_open_b5_e0_d0_exdate_reference,10,78.18437660000563,2020-08-13,2020-08-27
S1_F1_open_b5_e0_d0_exdate_reference,100,2211.521015628081,2026-05-12,2026-07-09
S1_F1_open_b5_e0_d0_exdate_reference,101,385.3456797920371,2026-07-10,2026-08-04
S1_F1_open_b5_e0_d0_exdate_reference,102,252.20576889900258,2026-08-05,2026-08-14
S1_F1_open_b5_e0_d0_exdate_reference,103,408.1728740310209,2026-08-17,2026-08-26
S1_F1_open_b5_e0_d0_exdate_reference,104,547.594618203002,2026-08-27,2026-09-11
S1_F1_open_b5_e0_d0_exdate_reference,11,-334.9180913999917,2020-08-28,2020-10-12
S1_F1_open_b5_e0_d0_exdate_reference,12,91.65736630000538,2020-10-13,2020-10-20
S1_F1_open_b5_e0_d0_exdate_reference,13,-410.1056821999955,2020-10-21,2020-11-13
S1_F1_open_b5_e0_d0_exdate_reference,14,-19.11365979999755,2020-11-16,2020-12-01
S1_F1_open_b5_e0_d0_exdate_reference,15,-564.9512063999864,2020-12-02,2021-02-04
S1_F1_open_b5_e0_d0_exdate_reference,16,172.0104390000197,2021-02-05,2021-03-16
S1_F1_open_b5_e0_d0_exdate_reference,17,-57.645625199998904,2021-03-17,2021-03-30
S1_F1_open_b5_e0_d0_exdate_reference,18,-48.57923470000242,2021-03-31,2021-04-19
S1_F1_open_b5_e0_d0_exdate_reference,19,-336.06567499998346,2021-04-20,2021-06-17
S1_F1_open_b5_e0_d0_exdate_reference,2,426.7480562000019,2020-02-11,2020-03-10
S1_F1_open_b5_e0_d0_exdate_reference,20,-31.170649599996977,2021-06-18,2021-07-05
S1_F1_open_b5_e0_d0_exdate_reference,21,5.077715399995213,2021-07-06,2021-07-15
S1_F1_open_b5_e0_d0_exdate_reference,22,-107.33159489999525,2021-07-16,2021-07-30
S1_F1_open_b5_e0_d0_exdate_reference,23,-74.10729539999738,2021-08-02,2021-08-10
S1_F1_open_b5_e0_d0_exdate_reference,24,-102.70817499999976,2021-08-11,2021-09-01
S1_F1_open_b5_e0_d0_exdate_reference,25,-168.87763099999574,2021-09-02,2021-10-08
S1_F1_open_b5_e0_d0_exdate_reference,26,-425.1888611999839,2021-10-11,2021-11-30
S1_F1_open_b5_e0_d0_exdate_reference,27,-69.95964469999853,2021-12-01,2021-12-23
S1_F1_open_b5_e0_d0_exdate_reference,28,-34.43321000000287,2021-12-24,2021-12-31
S1_F1_open_b5_e0_d0_exdate_reference,29,-24.550379899996187,2022-01-04,2022-02-08
S1_F1_open_b5_e0_d0_exdate_reference,3,246.41747290000058,2020-03-11,2020-03-24
S1_F1_open_b5_e0_d0_exdate_reference,30,-26.23505959999966,2022-02-09,2022-02-18
S1_F1_open_b5_e0_d0_exdate_reference,31,18.361686500005817,2022-02-21,2022-03-11
S1_F1_open_b5_e0_d0_exdate_reference,32,-174.86527959999512,2022-03-14,2022-04-27
S1_F1_open_b5_e0_d0_exdate_reference,33,-69.13824309999836,2022-04-28,2022-05-17
S1_F1_open_b5_e0_d0_exdate_reference,34,61.0222104500026,2022-05-18,2022-05-25
S1_F1_open_b5_e0_d0_exdate_reference,35,-46.565989799995805,2022-05-26,2022-06-14
S1_F1_open_b5_e0_d0_exdate_reference,36,-148.61424014999648,2022-06-15,2022-07-18
S1_F1_open_b5_e0_d0_exdate_reference,37,-346.6375200499897,2022-07-19,2022-09-05
S1_F1_open_b5_e0_d0_exdate_reference,38,-19.05897994999941,2022-09-06,2022-09-27
S1_F1_open_b5_e0_d0_exdate_reference,39,-137.34302054999898,2022-09-28,2022-10-12
S1_F1_open_b5_e0_d0_exdate_reference,4,102.43757639999967,2020-03-25,2020-04-02
S1_F1_open_b5_e0_d0_exdate_reference,40,-104.05407524999646,2022-10-13,2022-11-01
S1_F1_open_b5_e0_d0_exdate_reference,41,-63.082454899997174,2022-11-02,2022-11-29
S1_F1_open_b5_e0_d0_exdate_reference,42,-135.53950009999608,2022-11-30,2023-01-05
S1_F1_open_b5_e0_d0_exdate_reference,43,-128.99391049999758,2023-01-06,2023-01-13
