reference,comparison,first_quantity_participation_change,increment_difference,first_cash_field_difference
S1_F1_open_b5_e0_d0_locked_reference,S1_F1_open_b5_e0_d0_main,,0.0,
S1_F1_open_b10_e0_d0_locked_reference,S1_F1_open_b10_e0_d0_main,2023-08-24,15650.849962460386,
S1_F1_post0935_b5_e0_d0_locked_reference,S1_F1_post0935_b5_e0_d0_main,,0.0,
S1_F1_post0935_b10_e0_d0_locked_reference,S1_F1_post0935_b10_e0_d0_main,2023-03-24,12277.739406060507,
S1_F1_open_b5_e0_d0_main,S1_F1_open_b5_e0_d1_main,,0.0,2021-07-27
S1_F1_open_b5_e0_d0_main,S1_F1_open_b5_e0_d3_main,,0.0,2021-07-27
S1_F1_open_b10_e0_d0_main,S1_F1_open_b10_e0_d1_main,,0.0,2021-07-27
S1_F1_open_b10_e0_d0_main,S1_F1_open_b10_e0_d3_main,,0.0,2021-07-27
S1_F1_post0935_b5_e0_d0_main,S1_F1_post0935_b5_e0_d1_main,,0.0,2021-07-27
S1_F1_post0935_b5_e0_d0_main,S1_F1_post0935_b5_e0_d3_main,,0.0,2021-07-27
S1_F1_post0935_b10_e0_d0_main,S1_F1_post0935_b10_e0_d1_main,,0.0,2021-07-27
S1_F1_post0935_b10_e0_d0_main,S1_F1_post0935_b10_e0_d3_main,,0.0,2021-07-27
S0_open_b5_e0_d0_main,S0_open_b5_e0_d1_main,2021-07-28,1515.001345025019,2021-07-27
S0_open_b5_e0_d0_main,S0_open_b5_e0_d3_main,2021-07-28,-15.423616934996971,2021-07-27
S0_open_b10_e0_d0_main,S0_open_b10_e0_d1_main,2021-07-28,-10.183903249992,2021-07-27
S0_open_b10_e0_d0_main,S0_open_b10_e0_d3_main,2021-07-28,1425.9707375300422,2021-07-27
S0_post0935_b5_e0_d0_main,S0_post0935_b5_e0_d1_main,2022-08-08,-27.489847490025568,2021-07-27
S0_post0935_b5_e0_d0_main,S0_post0935_b5_e0_d3_main,2022-08-08,-5.9097524900280405,2021-07-27
S0_post0935_b10_e0_d0_main,S0_post0935_b10_e0_d1_main,2021-07-28,1106.3207395999925,2021-07-27
S0_post0935_b10_e0_d0_main,S0_post0935_b10_e0_d3_main,2021-07-28,1132.3478013200001,2021-07-27
