date,time,code,open,high,low,close,volume,amount,adjustflag,datetime,clock
2026-05-15,20260515093500000,sh.601138,69.5,70.79,69.49,70.49,37391657,2623416260.0,3,2026-05-15 09:35:00,09:35
2026-05-15,20260515094000000,sh.601138,70.52,70.65,69.25,70.07,21231570,1486944995.0,3,2026-05-15 09:40:00,09:40
2026-05-15,20260515094500000,sh.601138,70.6,70.64,69.5,69.67,15368106,1077619504.0,3,2026-05-15 09:45:00,09:45
2026-05-15,20260515095000000,sh.601138,69.67,69.67,68.16,68.24,17028089,1173364436.0,3,2026-05-15 09:50:00,09:50
2026-05-15,20260515095500000,sh.601138,68.43,69.01,68.3,69.0,9545802,655829022.0,3,2026-05-15 09:55:00,09:55
2026-05-15,20260515100000000,sh.601138,69.05,69.05,68.02,68.68,10844718,741669594.0,3,2026-05-15 10:00:00,10:00
2026-05-15,20260515100500000,sh.601138,68.68,68.93,68.21,68.85,8423829,578174290.0,3,2026-05-15 10:05:00,10:05
2026-05-15,20260515101000000,sh.601138,68.85,69.66,68.85,69.66,9203637,638042359.0,3,2026-05-15 10:10:00,10:10
2026-05-15,20260515101500000,sh.601138,69.76,70.64,69.74,70.52,15330664,1076010777.0,3,2026-05-15 10:15:00,10:15
2026-05-15,20260515102000000,sh.601138,70.52,71.06,70.34,71.06,17681039,1249683102.0,3,2026-05-15 10:20:00,10:20
2026-05-15,20260515102500000,sh.601138,71.13,71.7,70.8,70.85,17690271,1262030745.0,3,2026-05-15 10:25:00,10:25
2026-05-15,20260515103000000,sh.601138,70.84,70.86,70.39,70.39,6782776,479093349.0,3,2026-05-15 10:30:00,10:30
2026-05-15,20260515103500000,sh.601138,70.35,71.13,70.31,71.12,4964767,351013883.0,3,2026-05-15 10:35:00,10:35
2026-05-15,20260515104000000,sh.601138,71.13,71.16,70.44,70.44,5888783,416505896.0,3,2026-05-15 10:40:00,10:40
2026-05-15,20260515104500000,sh.601138,70.43,70.7,70.29,70.38,3886734,273937492.0,3,2026-05-15 10:45:00,10:45
2026-05-15,20260515105000000,sh.601138,70.36,70.39,70.01,70.01,3756298,263861556.0,3,2026-05-15 10:50:00,10:50
2026-05-15,20260515105500000,sh.601138,70.01,70.85,70.01,70.85,4041998,284752789.0,3,2026-05-15 10:55:00,10:55
2026-05-15,20260515110000000,sh.601138,70.86,70.86,70.36,70.36,3578397,252927959.0,3,2026-05-15 11:00:00,11:00
2026-05-15,20260515110500000,sh.601138,70.36,70.97,70.36,70.64,4285729,303028381.0,3,2026-05-15 11:05:00,11:05
2026-05-15,20260515111000000,sh.601138,70.69,70.97,70.66,70.74,3419500,242030685.0,3,2026-05-15 11:10:00,11:10
2026-05-15,20260515111500000,sh.601138,70.74,70.83,70.38,70.42,3218920,227514399.0,3,2026-05-15 11:15:00,11:15
2026-05-15,20260515112000000,sh.601138,70.42,70.49,70.08,70.08,3667601,257551484.0,3,2026-05-15 11:20:00,11:20
2026-05-15,20260515112500000,sh.601138,70.06,70.06,69.57,69.9,5205731,363317607.0,3,2026-05-15 11:25:00,11:25
2026-05-15,20260515113000000,sh.601138,69.96,69.97,69.73,69.85,3014900,210600494.0,3,2026-05-15 11:30:00,11:30
2026-05-15,20260515130500000,sh.601138,69.78,69.9,68.88,68.95,7866091,545096835.0,3,2026-05-15 13:05:00,13:05
2026-05-15,20260515131000000,sh.601138,68.96,69.17,68.84,68.9,4169805,287721960.0,3,2026-05-15 13:10:00,13:10
2026-05-15,20260515131500000,sh.601138,68.91,69.1,68.9,69.04,3192900,220267843.0,3,2026-05-15 13:15:00,13:15
2026-05-15,20260515132000000,sh.601138,69.05,69.05,68.81,68.88,3777900,260361161.0,3,2026-05-15 13:20:00,13:20
2026-05-15,20260515132500000,sh.601138,68.9,68.94,68.69,68.81,3557226,244792872.0,3,2026-05-15 13:25:00,13:25
2026-05-15,20260515133000000,sh.601138,68.79,68.92,68.67,68.82,3059300,210406535.0,3,2026-05-15 13:30:00,13:30
2026-05-15,20260515133500000,sh.601138,68.82,68.82,68.51,68.75,4616403,316839272.0,3,2026-05-15 13:35:00,13:35
2026-05-15,20260515134000000,sh.601138,68.78,68.81,68.68,68.7,2368900,162861293.0,3,2026-05-15 13:40:00,13:40
2026-05-15,20260515134500000,sh.601138,68.72,68.72,68.39,68.43,3679100,252043430.0,3,2026-05-15 13:45:00,13:45
2026-05-15,20260515135000000,sh.601138,68.44,68.44,68.2,68.27,3543300,241992818.0,3,2026-05-15 13:50:00,13:50
2026-05-15,20260515135500000,sh.601138,68.28,68.45,68.27,68.45,2780715,189960323.0,3,2026-05-15 13:55:00,13:55
2026-05-15,20260515140000000,sh.601138,68.46,68.52,68.06,68.07,4458885,304451243.0,3,2026-05-15 14:00:00,14:00
2026-05-15,20260515140500000,sh.601138,68.06,68.06,67.8,67.95,8467200,575382157.0,3,2026-05-15 14:05:00,14:05
2026-05-15,20260515141000000,sh.601138,67.93,68.14,67.89,68.05,4268690,290227273.0,3,2026-05-15 14:10:00,14:10
2026-05-15,20260515141500000,sh.601138,67.95,68.34,67.9,68.03,3345830,228024249.0,3,2026-05-15 14:15:00,14:15
2026-05-15,20260515142000000,sh.601138,68.02,68.33,68.01,68.01,3117014,212412492.0,3,2026-05-15 14:20:00,14:20
2026-05-15,20260515142500000,sh.601138,68.01,68.01,67.88,67.93,3096100,210363117.0,3,2026-05-15 14:25:00,14:25
2026-05-15,20260515143000000,sh.601138,67.94,68.0,67.83,67.83,3600100,244497843.0,3,2026-05-15 14:30:00,14:30
2026-05-15,20260515143500000,sh.601138,67.81,67.81,67.39,67.52,7823176,528902477.0,3,2026-05-15 14:35:00,14:35
2026-05-15,20260515144000000,sh.601138,67.52,67.71,67.45,67.6,4035300,272643372.0,3,2026-05-15 14:40:00,14:40
2026-05-15,20260515144500000,sh.601138,67.61,67.67,67.51,67.64,5243300,354335044.0,3,2026-05-15 14:45:00,14:45
2026-05-15,20260515145000000,sh.601138,67.67,68.12,67.64,67.94,4455800,302561013.0,3,2026-05-15 14:50:00,14:50
2026-05-15,20260515145500000,sh.601138,67.94,67.94,67.59,67.59,7101000,480454931.0,3,2026-05-15 14:55:00,14:55
2026-05-15,20260515150000000,sh.601138,67.59,67.62,67.56,67.62,5492356,371283883.0,3,2026-05-15 15:00:00,15:00
