date,clock,missing,reference,cash_before,tax_reserve,receivable,full_cost,cash_gap,scenario
2020-01-03,09:25,1000,18.49,23861.071773800002,0.0,0.0,18504.6149849,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-01-13,09:25,1000,18.02,23354.060384200002,0.0,0.0,18034.370580199997,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-01-15,09:25,1000,18.35,23676.746382900004,0.0,0.0,18364.542183499998,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-01-17,09:25,1000,18.41,23689.230388500007,0.0,0.0,18424.573384099996,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-01-21,09:25,1000,19.2,24570.27006780001,0.0,0.0,19214.984192,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-02-03,09:25,1000,18.0,25319.89607580001,0.0,0.0,18014.36018,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-02-12,09:25,1000,19.08,26501.316103100013,0.0,0.0,19094.921790799996,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-02-19,09:25,1000,18.65,26222.751925800017,0.0,0.0,18664.6981865,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-02-25,09:25,1000,19.65,27662.451210700016,0.0,0.0,19665.2181965,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-03-02,09:25,1000,17.3,25046.280125000012,0.0,0.0,17313.996173,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-03-12,09:25,1000,16.25,24242.15158740001,0.0,0.0,16263.4501625,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-03-26,09:25,1000,13.41,21503.112335400012,0.0,0.0,13421.9733341,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-04-07,09:25,1000,14.35,22014.926920900012,0.0,0.0,14362.462143499999,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-04-16,09:25,1000,13.75,21496.389451100014,0.0,0.0,13762.1501375,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-04-20,09:25,1000,14.06,21697.981648500016,0.0,0.0,14072.3113406,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-04-22,09:25,1000,14.06,21759.154329500016,0.0,0.0,14072.3113406,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-04-24,09:25,1000,13.96,21620.630908500018,0.0,0.0,13972.2593396,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-04-30,09:25,1000,14.31,21861.734031300017,0.0,0.0,14322.4413431,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-05-07,09:25,1000,14.75,22271.865015800016,0.0,0.0,14762.6701475,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-05-21,09:25,1000,13.88,21333.149931800017,0.0,0.0,13892.217738799998,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-05-28,09:25,1000,13.5,20895.44946780002,0.0,0.0,13512.020135,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-06-02,09:25,1000,13.9,21237.33881160002,0.0,0.0,13912.228138999999,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-06-18,09:25,1000,14.25,21548.457940100023,0.0,0.0,14262.4101425,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-06-22,09:25,1000,14.36,21609.24311610002,0.0,0.0,14372.4673436,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-06-30,09:25,1000,15.19,22428.649134700023,0.0,0.0,15202.898951899999,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-07-03,09:25,1000,15.65,22807.030943900027,0.0,0.0,15663.1381565,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-07-10,09:25,1000,16.68,23833.486914600027,0.0,0.0,16693.6737668,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-07-15,09:25,1000,16.83,23699.60480870003,0.0,0.0,16843.7517683,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-07-22,09:25,1000,15.44,22257.407309700033,0.0,0.0,15453.028954399999,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-07-31,09:25,1000,14.28,21067.664843200037,0.0,0.0,14292.4257428,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-08-14,09:25,1000,15.01,21917.188437100038,0.0,0.0,15022.8053501,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-08-19,09:25,1000,15.18,22046.317228800042,0.0,0.0,15192.893751799998,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-08-31,09:25,1000,14.84,21576.010999500046,0.0,0.0,14852.7169484,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-09-03,09:25,1000,14.84,21465.85118380005,0.0,0.0,14852.7169484,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-09-10,09:25,1000,14.0,20496.998129500047,0.0,0.0,14012.28014,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-09-15,09:25,1000,13.83,20308.67305300005,0.0,0.0,13842.191738299998,0.0,S1_F1_open_b5_e0_d0_exdate_reference
2020-09-22,09:25,1000,13.65,20180.603522100053,0.0,0.0,13662.098136499999,0.0,S1_F1_open_b5_e0_d0_exdate_reference
