scenario,comparison,date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
S1_F1_open_b10_e1_d0_extra_cost,base,2024-01-19,15009.18776260028,0,0,0,0.0,12.234758,0.0,0.0,0,1000,0,14675.62252060028,14675.62252060028,15009.18776260028,20854.0,20854.0,21214.0,-6204.812237399721,0.0
S1_F1_open_b10_e1_d0_extra_cost,base,2024-01-22,279.33051550027994,0,1000,1000,0.0,5.1472471,0.0,0.0,1000,0,0,15009.18776260028,14989.33051550028,14679.33051550028,21724.0,21724.0,21414.0,-6734.66948449972,0.0
S1_F1_open_b10_e1_d0_extra_cost,base,2024-01-23,279.33051550027994,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,14329.33051550028,14329.33051550028,14779.33051550028,21064.0,21064.0,21514.0,-6734.66948449972,0.0
S1_F1_open_b10_e1_d0_extra_cost,base,2024-01-24,279.33051550027994,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,14899.33051550028,14899.33051550028,14779.33051550028,21634.0,21634.0,21514.0,-6734.66948449972,0.0
S1_F1_open_b10_e1_d0_extra_cost,base,2024-01-25,279.33051550027994,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,14729.33051550028,14729.33051550028,15359.33051550028,21464.0,21464.0,22094.0,-6734.66948449972,0.0
S1_F1_open_b10_e1_d0_extra_cost,extra,2024-01-19,14554.198198859782,0,0,0,0.0,12.2340338,0.0,0.0,0,1000,0,14222.05223265978,14222.05223265978,14554.198198859782,20854.0,20854.0,21214.0,-6659.801801140218,0.0
S1_F1_open_b10_e1_d0_extra_cost,extra,2024-01-22,1295.502763230781,0,900,900,0.0,5.132535629,0.0,0.0,900,0,100,14554.198198859782,14534.50276323078,14255.50276323078,21724.0,21724.0,21414.0,-7158.497236769219,151.0956526092191
S1_F1_open_b10_e1_d0_extra_cost,extra,2024-01-23,1295.502763230781,0,900,900,0.0,0.0,0.0,0.0,0,0,100,13940.50276323078,13940.50276323078,14345.50276323078,21064.0,21064.0,21514.0,-7168.497236769219,161.10675271921923
S1_F1_open_b10_e1_d0_extra_cost,extra,2024-01-24,1295.502763230781,0,900,900,0.0,0.0,0.0,0.0,0,0,100,14453.50276323078,14453.50276323078,14345.50276323078,21634.0,21634.0,21514.0,-7168.497236769219,161.10675271921923
S1_F1_open_b10_e1_d0_extra_cost,extra,2024-01-25,1295.502763230781,0,900,900,0.0,0.0,0.0,0.0,0,0,100,14300.50276323078,14300.50276323078,14867.50276323078,21464.0,21464.0,22094.0,-7226.497236769219,219.1711333572191
S1_F1_open_b10_e2_d0_extra_cost,base,2023-12-11,16495.387671100278,0,0,0,0.0,12.9429491,0.0,0.0,0,1000,0,16703.920620200275,16703.920620200275,16495.387671100278,22784.0,22784.0,22604.0,-6108.612328899722,0.0
S1_F1_open_b10_e2_d0_extra_cost,base,2023-12-12,864.6214150002797,0,1000,1000,0.0,5.1562561,0.0,0.0,1000,0,0,16495.387671100278,16474.621415000278,16124.62141500028,22624.0,22624.0,22274.0,-6149.37858499972,0.0
S1_F1_open_b10_e2_d0_extra_cost,base,2023-12-13,864.6214150002797,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,16124.62141500028,16124.62141500028,15944.62141500028,22274.0,22274.0,22094.0,-6149.37858499972,0.0
S1_F1_open_b10_e2_d0_extra_cost,base,2023-12-14,864.6214150002797,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,16044.62141500028,16044.62141500028,15864.62141500028,22194.0,22194.0,22014.0,-6149.37858499972,0.0
S1_F1_open_b10_e2_d0_extra_cost,base,2023-12-15,864.6214150002797,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,15964.62141500028,15964.62141500028,15644.62141500028,22114.0,22114.0,21794.0,-6149.37858499972,0.0
