scenario,year,increment,fees,tax,deficit_days,sales
S1_F1_open_b5_e0_d0_exdate_reference,2020,354.5260582000701,1309.4439418000002,0.0,0,51
S1_F1_open_b5_e0_d0_exdate_reference,2021,-1731.5132969999322,1076.5832970000001,50.0,0,46
S1_F1_open_b5_e0_d0_exdate_reference,2022,-1216.300845999951,843.760846,100.0,0,42
S1_F1_open_b5_e0_d0_exdate_reference,2023,-1347.72457019996,715.1045702,110.0,0,29
S1_F1_open_b5_e0_d0_exdate_reference,2024,3080.541969150083,802.8930308500001,116.0,0,37
S1_F1_open_b5_e0_d0_exdate_reference,2025,10487.235578181131,1464.3944218190002,128.0,0,46
S1_F1_open_b5_e0_d0_exdate_reference,2026,1644.642365114225,1757.7476348860005,196.0,0,35
S1_F1_open_b10_e0_d0_exdate_reference,2020,-411.11668359989926,1309.0566836000003,0.0,0,51
S1_F1_open_b10_e0_d0_exdate_reference,2021,-2326.149393999922,1076.289394,50.0,0,46
S1_F1_open_b10_e0_d0_exdate_reference,2022,-1628.634491999961,843.554492,100.0,0,42
S1_F1_open_b10_e0_d0_exdate_reference,2023,-1830.1367403999375,714.8967404,110.0,0,29
S1_F1_open_b10_e0_d0_exdate_reference,2024,2250.1852383000987,802.6847617000001,116.0,0,37
S1_F1_open_b10_e0_d0_exdate_reference,2025,8787.293310362096,1463.966689638,128.0,0,46
S1_F1_open_b10_e0_d0_exdate_reference,2026,-576.4110817718174,1757.191081772,196.0,0,35
S1_F1_post0935_b5_e0_d0_exdate_reference,2020,1094.9108656000826,1309.4291343999998,0.0,0,51
S1_F1_post0935_b5_e0_d0_exdate_reference,2021,-2381.851303499916,1076.5963035000002,50.0,0,46
S1_F1_post0935_b5_e0_d0_exdate_reference,2022,-1806.6009485499544,843.7659485500001,100.0,0,42
S1_F1_post0935_b5_e0_d0_exdate_reference,2023,-187.13296439994338,715.0929644,110.0,0,29
S1_F1_post0935_b5_e0_d0_exdate_reference,2024,3500.7561712500683,802.8888287500001,116.0,0,37
S1_F1_post0935_b5_e0_d0_exdate_reference,2025,8345.854266603164,1464.7057333970001,128.0,0,46
S1_F1_post0935_b5_e0_d0_exdate_reference,2026,-466.719582282778,1758.0545822830002,196.0,0,35
S1_F1_post0935_b10_e0_d0_exdate_reference,2020,329.6381312001067,1309.0418688,0.0,0,51
S1_F1_post0935_b10_e0_d0_exdate_reference,2021,-2976.812406999932,1076.3024070000001,50.0,0,46
S1_F1_post0935_b10_e0_d0_exdate_reference,2022,-2219.2295970999676,843.5595971,100.0,0,42
S1_F1_post0935_b10_e0_d0_exdate_reference,2023,-668.9651287999422,714.8851288000001,110.0,0,29
S1_F1_post0935_b10_e0_d0_exdate_reference,2024,2670.6094425000992,802.6805575000001,116.0,0,37
S1_F1_post0935_b10_e0_d0_exdate_reference,2025,6644.841843206144,1464.278156794,128.0,0,46
S1_F1_post0935_b10_e0_d0_exdate_reference,2026,-2688.8281825657905,1757.4981825660002,196.0,0,35
S0_open_b5_e0_d0_exdate_reference,2020,-4652.618715599803,3087.0787156000006,0.0,0,121
S0_open_b5_e0_d0_exdate_reference,2021,-1402.701460149894,1691.91396015,45.0,104,70
S0_open_b5_e0_d0_exdate_reference,2022,-549.9197858749685,497.78828587500004,45.0,192,25
S0_open_b5_e0_d0_exdate_reference,2023,-649.0,0.0,0.0,242,0
S0_open_b5_e0_d0_exdate_reference,2024,-778.4683899800002,21.59038998,0.0,240,1
S0_open_b5_e0_d0_exdate_reference,2025,-5659.979974974991,23.502474975,0.0,240,1
S0_open_b5_e0_d0_exdate_reference,2026,-242.400000000016,0.0,0.0,169,0
S0_open_b10_e0_d0_exdate_reference,2020,-5871.8190730398,2597.08707304,0.0,41,101
S0_open_b10_e0_d0_exdate_reference,2021,-203.68874937998953,176.05974938,45.0,229,7
S0_open_b10_e0_d0_exdate_reference,2022,-526.2559901499735,393.78399015,45.0,204,19
S0_open_b10_e0_d0_exdate_reference,2023,-649.0,0.0,0.0,242,0
S0_open_b10_e0_d0_exdate_reference,2024,-791.1432199599985,21.58721996,0.0,240,1
S0_open_b10_e0_d0_exdate_reference,2025,-5677.05339995,23.49839995,0.0,240,1
S0_open_b10_e0_d0_exdate_reference,2026,-242.40000000000873,0.0,0.0,169,0
S0_post0935_b5_e0_d0_exdate_reference,2020,-2441.4694934998224,3087.0344935000003,0.0,0,121
S0_post0935_b5_e0_d0_exdate_reference,2021,-3179.3000883998266,2825.9200884,50.0,0,122
S0_post0935_b5_e0_d0_exdate_reference,2022,-987.4114835648998,1750.764983565,45.0,70,86
S0_post0935_b5_e0_d0_exdate_reference,2023,-649.0,0.0,0.0,242,0
S0_post0935_b5_e0_d0_exdate_reference,2024,-696.0,0.0,0.0,242,0
S0_post0935_b5_e0_d0_exdate_reference,2025,-5586.115714345,23.501214344999998,0.0,240,1
S0_post0935_b5_e0_d0_exdate_reference,2026,-242.40000000000873,0.0,0.0,169,0
S0_post0935_b10_e0_d0_exdate_reference,2020,-4245.001586999815,3086.1315870000003,0.0,0,121
S0_post0935_b10_e0_d0_exdate_reference,2021,-1800.3483155399263,1093.99131554,22.5,156,44
S0_post0935_b10_e0_d0_exdate_reference,2022,-630.030779329978,560.59277933,45.0,186,28
S0_post0935_b10_e0_d0_exdate_reference,2023,-649.0,0.0,0.0,242,0
S0_post0935_b10_e0_d0_exdate_reference,2024,-696.0,0.0,0.0,242,0
S0_post0935_b10_e0_d0_exdate_reference,2025,-5603.1261386900005,23.49713869,0.0,240,1
S0_post0935_b10_e0_d0_exdate_reference,2026,-242.40000000000873,0.0,0.0,169,0
S1_F1_open_b5_e0_d0_main,2020,354.5260582000701,1309.4439418000002,0.0,0,51
S1_F1_open_b5_e0_d0_main,2021,-1731.5132969999322,1076.5832970000001,50.0,0,46
S1_F1_open_b5_e0_d0_main,2022,-1216.300845999951,843.760846,100.0,0,42
S1_F1_open_b5_e0_d0_main,2023,-1347.72457019996,715.1045702,110.0,0,29
S1_F1_open_b5_e0_d0_main,2024,3080.541969150083,802.8930308500001,116.0,0,37
S1_F1_open_b5_e0_d0_main,2025,10487.235578181131,1464.3944218190002,128.0,0,46
S1_F1_open_b5_e0_d0_main,2026,1644.642365114225,1757.7476348860005,196.0,0,35
S1_F1_open_b5_e0_d1_main,2020,354.5260582000701,1309.4439418000002,0.0,0,51
S1_F1_open_b5_e0_d1_main,2021,-1731.5132969999322,1076.5832970000001,50.0,0,46
S1_F1_open_b5_e0_d1_main,2022,-1216.300845999951,843.760846,100.0,0,42
S1_F1_open_b5_e0_d1_main,2023,-1347.72457019996,715.1045702,110.0,0,29
S1_F1_open_b5_e0_d1_main,2024,3080.541969150083,802.8930308500001,116.0,0,37
S1_F1_open_b5_e0_d1_main,2025,10487.235578181131,1464.3944218190002,128.0,0,46
S1_F1_open_b5_e0_d1_main,2026,1644.642365114225,1757.7476348860005,196.0,0,35
S1_F1_open_b5_e0_d3_main,2020,354.5260582000701,1309.4439418000002,0.0,0,51
S1_F1_open_b5_e0_d3_main,2021,-1731.5132969999322,1076.5832970000001,50.0,0,46
S1_F1_open_b5_e0_d3_main,2022,-1216.300845999951,843.760846,100.0,0,42
S1_F1_open_b5_e0_d3_main,2023,-1347.72457019996,715.1045702,110.0,0,29
S1_F1_open_b5_e0_d3_main,2024,3080.541969150083,802.8930308500001,116.0,0,37
S1_F1_open_b5_e0_d3_main,2025,10487.235578181131,1464.3944218190002,128.0,0,46
S1_F1_open_b5_e0_d3_main,2026,1644.642365114225,1757.7476348860005,196.0,0,35
S1_F1_open_b10_e0_d0_main,2020,-411.11668359989926,1309.0566836000003,0.0,0,51
S1_F1_open_b10_e0_d0_main,2021,-2326.149393999922,1076.289394,50.0,0,46
S1_F1_open_b10_e0_d0_main,2022,-1628.634491999961,843.554492,100.0,0,42
S1_F1_open_b10_e0_d0_main,2023,-1830.1367403999375,714.8967404,110.0,0,29
S1_F1_open_b10_e0_d0_main,2024,2250.1852383000987,802.6847617000001,116.0,0,37
S1_F1_open_b10_e0_d0_main,2025,8787.293310362096,1463.966689638,128.0,0,46
S1_F1_open_b10_e0_d0_main,2026,-576.4110817718174,1757.191081772,196.0,0,35
S1_F1_open_b10_e0_d1_main,2020,-411.11668359989926,1309.0566836000003,0.0,0,51
S1_F1_open_b10_e0_d1_main,2021,-2326.149393999922,1076.289394,50.0,0,46
S1_F1_open_b10_e0_d1_main,2022,-1628.634491999961,843.554492,100.0,0,42
S1_F1_open_b10_e0_d1_main,2023,-1830.1367403999375,714.8967404,110.0,0,29
S1_F1_open_b10_e0_d1_main,2024,2250.1852383000987,802.6847617000001,116.0,0,37
S1_F1_open_b10_e0_d1_main,2025,8787.293310362096,1463.966689638,128.0,0,46
S1_F1_open_b10_e0_d1_main,2026,-576.4110817718174,1757.191081772,196.0,0,35
S1_F1_open_b10_e0_d3_main,2020,-411.11668359989926,1309.0566836000003,0.0,0,51
S1_F1_open_b10_e0_d3_main,2021,-2326.149393999922,1076.289394,50.0,0,46
S1_F1_open_b10_e0_d3_main,2022,-1628.634491999961,843.554492,100.0,0,42
S1_F1_open_b10_e0_d3_main,2023,-1830.1367403999375,714.8967404,110.0,0,29
S1_F1_open_b10_e0_d3_main,2024,2250.1852383000987,802.6847617000001,116.0,0,37
S1_F1_open_b10_e0_d3_main,2025,8787.293310362096,1463.966689638,128.0,0,46
S1_F1_open_b10_e0_d3_main,2026,-576.4110817718174,1757.191081772,196.0,0,35
S1_F1_post0935_b5_e0_d0_main,2020,1094.9108656000826,1309.4291343999998,0.0,0,51
S1_F1_post0935_b5_e0_d0_main,2021,-2381.851303499916,1076.5963035000002,50.0,0,46
S1_F1_post0935_b5_e0_d0_main,2022,-1806.6009485499544,843.7659485500001,100.0,0,42
S1_F1_post0935_b5_e0_d0_main,2023,-187.13296439994338,715.0929644,110.0,0,29
S1_F1_post0935_b5_e0_d0_main,2024,3500.7561712500683,802.8888287500001,116.0,0,37
S1_F1_post0935_b5_e0_d0_main,2025,8345.854266603164,1464.7057333970001,128.0,0,46
S1_F1_post0935_b5_e0_d0_main,2026,-466.719582282778,1758.0545822830002,196.0,0,35
S1_F1_post0935_b5_e0_d1_main,2020,1094.9108656000826,1309.4291343999998,0.0,0,51
S1_F1_post0935_b5_e0_d1_main,2021,-2381.851303499916,1076.5963035000002,50.0,0,46
S1_F1_post0935_b5_e0_d1_main,2022,-1806.6009485499544,843.7659485500001,100.0,0,42
S1_F1_post0935_b5_e0_d1_main,2023,-187.13296439994338,715.0929644,110.0,0,29
S1_F1_post0935_b5_e0_d1_main,2024,3500.7561712500683,802.8888287500001,116.0,0,37
S1_F1_post0935_b5_e0_d1_main,2025,8345.854266603164,1464.7057333970001,128.0,0,46
S1_F1_post0935_b5_e0_d1_main,2026,-466.719582282778,1758.0545822830002,196.0,0,35
S1_F1_post0935_b5_e0_d3_main,2020,1094.9108656000826,1309.4291343999998,0.0,0,51
S1_F1_post0935_b5_e0_d3_main,2021,-2381.851303499916,1076.5963035000002,50.0,0,46
S1_F1_post0935_b5_e0_d3_main,2022,-1806.6009485499544,843.7659485500001,100.0,0,42
S1_F1_post0935_b5_e0_d3_main,2023,-187.13296439994338,715.0929644,110.0,0,29
