stock,initialcash,slip_bp,sales,completed,pending,increment,completed_increment,mean_pct,fees,tax_paid,terminal_tax_reserve,terminal_receivable,terminal_missing,deposits,withdrawals,unreturned,peak_requirement,peak_date,peak_pct_1000_value,single_median,single_p95,single_max,single_max_date,single_positive,first_deposit,deposit_yuan_days,longest_relative_deficit_calendar_days,relative_mdd,flow_adjusted_absolute_profit,hold_flow_adjusted_absolute_profit,scenario,rule,window,bp,inventory,signals,unknown,t1_skip,occupied_skip,sale_blocked,first_window_unavailable,additional_over_5514
3000,0.0,5.0,1617,1617,0,-38080.11081561813,-38080.110815618085,-0.17973136140963059,43691.71081562204,1480.0,0.0,0,0,33679.13438618633,0.0,33679.13438618633,33679.13438618633,2025-10-29,41.682097012606846,31.053444899996975,777.47735929719,4348.957669793992,2025-09-23,992,2020-01-03,44248546.06226887,607,-45636.94692672644,110089.88918438186,148170.0,S0_open_5_all,S0,open,5,all,1623,0,0,0,6,1,28165.134386186306
1000,0.0,5.0,810,810,0,-29817.461984328016,-29817.461984328023,-0.20178184576801406,21881.73198433,246.0,0.0,0,0,27253.83477470303,0.0,27253.83477470303,27253.834774703035,2026-09-09,41.77473141432102,33.39306499999839,847.9972964434422,4348.957669793992,2025-09-23,497,2020-01-03,26856733.433631457,188,-31027.01666494603,19572.538015671973,49389.999999999985,S0_open_5_1000,S0,open,5,1000,1623,0,807,0,6,0,21739.834774703013
3000,0.0,10.0,1617,1617,0,-76036.08889923964,-76036.08889923965,-0.279653702533034,43679.28889924399,1480.0,0.0,0,0,66568.00128958566,0.0,66568.00128958566,66568.00128958566,2026-09-09,102.03556298219753,44.91810999999689,813.2898029127987,4421.550351587997,2025-09-23,1058,2020-01-03,72825119.54604334,1229,-80667.58266908974,72133.9111007603,148169.99999999994,S0_open_10_all,S0,open,10,all,1623,0,0,0,6,1,61054.00128958565
1000,0.0,10.0,810,810,0,-48830.97228865785,-48830.972288657846,-0.30171397491997054,21875.51228866,246.0,0.0,0,0,46204.07614740786,0.0,46204.07614740786,46204.07614740786,2026-09-09,70.82169857052095,46.05773499999941,888.9472729649866,4421.550351587997,2025-09-23,533,2020-01-03,40509681.476097584,437,-50009.19241389385,559.0277113421325,49389.999999999985,S0_open_10_1000,S0,open,10,1000,1623,0,807,0,6,0,40690.076147407846
3000,0.0,11.0,1617,1617,0,-83627.28451597173,-83627.28451597165,-0.2996381707577348,43676.804515968375,1480.0,0.0,0,0,74133.5723927523,0.0,74133.5723927523,74133.5723927523,2026-09-09,113.63208521267983,47.73318500000096,819.5186659240808,4436.068887946807,2025-09-23,1075,2020-01-03,78741635.60459113,1237,-88077.07102060664,64542.715484028246,148169.99999999997,S0_open_11_all,S0,open,11,all,1623,0,0,0,6,1,68619.5723927523
1000,0.0,11.0,810,810,0,-52633.674349527624,-52633.67434952762,-0.32170040075038187,21874.268349526003,246.0,0.0,0,0,49994.12442195263,0.0,49994.12442195263,49994.12442195263,2026-09-09,76.63109200176676,48.461937500000204,900.7085605814993,4436.068887946807,2025-09-23,540,2020-01-03,43443272.412836045,455,-53805.62756368722,-3243.6743495276387,49389.999999999985,S0_open_11_1000,S0,open,11,1000,1623,0,807,0,6,0,44480.12442195263
3000,0.0,11.999999999999998,1617,1617,0,-91218.4801326954,-91218.48013269539,-0.3196226389824137,43674.32013269274,1480.0,0.0,0,0,81699.1434959106,0.0,81699.1434959106,81699.1434959106,2026-09-09,125.2286074431493,50.30273600000146,825.7475289353555,4450.587424305602,2025-09-23,1088,2020-01-03,84686296.78782663,1257,-95486.55937211533,56951.51986730457,148169.99999999997,S0_open_12_all,S0,open,12,all,1623,0,0,0,6,1,76185.14349591063
1000,0.0,11.999999999999998,810,810,0,-56436.376410393284,-56436.376410393335,-0.34168682658077126,21873.024410392045,246.0,0.0,0,0,53784.172696493304,0.0,53784.172696493304,53784.172696493304,2026-09-09,82.4404854330063,50.83575000000019,912.4698481979937,4450.587424305602,2025-09-23,546,2020-01-03,46386219.87403099,600,-57602.06271347649,-7046.376410393314,49389.99999999997,S0_open_12_1000,S0,open,12,1000,1623,0,807,0,6,0,48270.172696493304
3000,0.0,5.0,340,340,0,1761.372766802815,1761.3727668028441,-0.16373291763707928,9586.572233198012,1829.0,0.0,0,0,2394.6136081997574,0.0,2394.6136081997574,2394.6136081997574,2023-05-31,13.26655738614824,29.851684999999634,639.434197108298,4265.148596750994,2025-10-29,210,2020-01-03,3876164.4281520657,40,-12750.580593975545,149931.3727668028,148169.99999999997,S1_F1_open_5_all,S1_F1,open,5,all,341,3,0,0,1,1,0.0
1000,0.0,5.0,286,286,0,11271.40725744568,11271.407257445726,-0.05361084867615924,7969.927742555007,700.0,0.0,0,0,2952.366592249764,0.0,2952.366592249764,2952.366592249764,2024-01-22,20.50254577951225,24.529984899998453,551.7294256249988,1932.5882208599942,2026-06-01,172,2020-01-03,4472494.657578206,40,-8100.520309444881,60661.40725744568,49390.0,S1_F1_open_5_1000,S1_F1,open,5,1000,341,3,54,0,1,0,0.0
