rule,window,kind,n,years,months,mean,median,win,cash,mean_cash,pf,pf_cash,worst,worst_cash,tail5,tail5_cash,longest_loss,fee,max_extra_cash,need_extra_n
S0,full,hit,2006,9.0,100.0,-0.1563956579504809,-0.20390732375152887,38.733798604187434,-39684.277989017384,-19.78279062264077,0.7178791298122753,0.8550352782460378,-10.250413190279678,-4348.957669794001,-3.861723231724261,-1373.298851651559,17.0,53472.122989022,4348.957669793992,1225.0
S0,full,valid_S0,2006,9.0,100.0,-0.1563956579504809,-0.20390732375152887,38.733798604187434,-39684.277989017384,-19.78279062264077,0.7178791298122753,0.8550352782460378,-10.250413190279678,-4348.957669794001,-3.861723231724261,-1373.298851651559,17.0,53472.122989022,4348.957669793992,1225.0
S0,main,hit,1623,7.0,81.0,-0.1580071170123271,-0.2039058190314309,38.817005545286506,-32234.609243117986,-19.861127075242134,0.7222344842433968,0.8688022870445579,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1489.7142897971535,17.0,43829.449243122006,4348.957669793992,990.0
S0,main,valid_S0,1623,7.0,81.0,-0.1580071170123271,-0.2039058190314309,38.817005545286506,-32234.609243117986,-19.861127075242134,0.7222344842433968,0.8688022870445579,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1489.7142897971535,17.0,43829.449243122006,4348.957669793992,990.0
S0,early,hit,970,4.0,48.0,-0.2093175628985868,-0.27434845376152195,32.88659793814433,-21745.230041248575,-22.41776292912224,0.5450913848453748,0.6535488144393702,-8.235700377192982,-1220.5307959,-2.837596113065708,-483.0146618571411,17.0,22544.70504125,1220.5307959000002,648.0
S0,early,valid_S0,970,4.0,48.0,-0.2093175628985868,-0.27434845376152195,32.88659793814433,-21745.230041248575,-22.41776292912224,0.5450913848453748,0.6535488144393702,-8.235700377192982,-1220.5307959,-2.837596113065708,-483.0146618571411,17.0,22544.70504125,1220.5307959000002,648.0
S0,recent,hit,653,3.0,33.0,-0.0817879248076228,-0.1097734818718191,47.626339969372125,-10489.379201869411,-16.063367843597874,0.8880152275883197,0.942658823293578,-10.200745196903522,-4348.957669794001,-4.869772641049577,-2167.380320235328,9.0,21284.744201872,4348.957669793992,342.0
S0,recent,valid_S0,653,3.0,33.0,-0.0817879248076228,-0.1097734818718191,47.626339969372125,-10489.379201869411,-16.063367843597874,0.8880152275883197,0.942658823293578,-10.200745196903522,-4348.957669794001,-4.869772641049577,-2167.380320235328,9.0,21284.744201872,4348.957669793992,342.0
S0,2018,hit,139,1.0,7.0,-0.09457657908544981,-0.1368561648793434,43.16546762589928,-1627.3965355997698,-11.707888745322085,0.8109149011261675,0.8520386588900825,-10.250413190279678,-2235.615116799998,-4.9435415028866805,-894.428819214284,9.0,3520.1165356,2235.6151167999997,79.0
S0,2018,valid_S0,139,1.0,7.0,-0.09457657908544981,-0.1368561648793434,43.16546762589928,-1627.3965355997698,-11.707888745322085,0.8109149011261675,0.8520386588900825,-10.250413190279678,-2235.615116799998,-4.9435415028866805,-894.428819214284,9.0,3520.1165356,2235.6151167999997,79.0
S0,2019,hit,244,1.0,12.0,-0.1808934198556569,-0.26064154688541646,35.65573770491803,-5822.272210299625,-23.861771353686986,0.6299328672458673,0.6586695329242492,-3.9767216105873695,-548.3899100999982,-2.935894379687473,-421.5229784307677,14.0,6122.557210300001,548.389910099997,156.0
S0,2019,valid_S0,244,1.0,12.0,-0.1808934198556569,-0.26064154688541646,35.65573770491803,-5822.272210299625,-23.861771353686986,0.6299328672458673,0.6586695329242492,-3.9767216105873695,-548.3899100999982,-2.935894379687473,-421.5229784307677,14.0,6122.557210300001,548.389910099997,156.0
S0,2020,hit,243,1.0,12.0,-0.1629628922179418,-0.27457146892655265,36.21399176954733,-4383.1186884996105,-18.037525467076588,0.6627559900819614,0.7472081750395946,-5.4392016374207,-1029.0969497999963,-2.6428783335419186,-398.7484970384597,10.0,6204.6336885,1029.096949799994,155.0
S0,2020,valid_S0,243,1.0,12.0,-0.1629628922179418,-0.27457146892655265,36.21399176954733,-4383.1186884996105,-18.037525467076588,0.6627559900819614,0.7472081750395946,-5.4392016374207,-1029.0969497999963,-2.6428783335419186,-398.7484970384597,10.0,6204.6336885,1029.096949799994,155.0
S0,2021,hit,243,1.0,12.0,-0.24974915187071065,-0.2857830605564446,23.456790123456788,-7512.097640399648,-30.913982059257812,0.23728343342367325,0.25298104530661314,-2.8571236783575564,-333.9977579999983,-1.3764448366939466,-182.7455891461523,17.0,5637.337640399999,333.9977579999977,185.0
S0,2021,valid_S0,243,1.0,12.0,-0.24974915187071065,-0.2857830605564446,23.456790123456788,-7512.097640399648,-30.913982059257812,0.23728343342367325,0.25298104530661314,-2.8571236783575564,-333.9977579999983,-1.3764448366939466,-182.7455891461523,17.0,5637.337640399999,333.9977579999977,185.0
S0,2022,hit,242,1.0,12.0,-0.25963960525771224,-0.29252423721419457,28.09917355371901,-6089.946493449734,-25.165068154750966,0.30298898154719156,0.29655738275802407,-2.854933342492619,-290.91770759999787,-1.6590196165860758,-154.49891556538356,13.0,4836.446493450001,290.9177075999978,173.0
S0,2022,valid_S0,242,1.0,12.0,-0.25963960525771224,-0.29252423721419457,28.09917355371901,-6089.946493449734,-25.165068154750966,0.30298898154719156,0.29655738275802407,-2.854933342492619,-290.91770759999787,-1.6590196165860758,-154.49891556538356,13.0,4836.446493450001,290.9177075999978,173.0
S0,2023,hit,242,1.0,12.0,-0.16494307779223255,-0.20191658032244786,43.80165289256198,-3760.0672188995827,-15.53746784669249,0.7492527885524312,0.8592438660960808,-8.235700377192982,-1220.5307959,-4.447044312214673,-814.3147926730755,11.0,5866.287218900001,1220.5307959000002,135.0
S0,2023,valid_S0,242,1.0,12.0,-0.16494307779223255,-0.20191658032244786,43.80165289256198,-3760.0672188995827,-15.53746784669249,0.7492527885524312,0.8592438660960808,-8.235700377192982,-1220.5307959,-4.447044312214673,-814.3147926730755,11.0,5866.287218900001,1220.5307959000002,135.0
S0,2024,hit,242,1.0,12.0,-0.07470496271682106,0.06630722913178684,51.652892561983464,-2895.9634036993957,-11.96679092437767,0.9003488150646449,0.927633230553906,-10.200745196903522,-2569.5677150999973,-5.049047728386215,-1097.6879616115352,8.0,5210.673403700001,2569.567715099998,117.0
S0,2024,valid_S0,242,1.0,12.0,-0.07470496271682106,0.06630722913178684,51.652892561983464,-2895.9634036993957,-11.96679092437767,0.9003488150646449,0.927633230553906,-10.200745196903522,-2569.5677150999973,-5.049047728386215,-1097.6879616115352,8.0,5210.673403700001,2569.567715099998,117.0
S0,2025,hit,243,1.0,12.0,-0.0758367366180332,-0.15195645436363264,44.03292181069959,1994.1317503778878,8.20630349949748,0.8931995550111763,1.0298107549786004,-9.83232226178813,-4348.957669794001,-4.913467563524931,-2420.848859810148,9.0,7799.798249623001,4348.957669793992,136.0
