scenario,event92,best_event,best_cash,without_best_event,worst_event,worst_cash,without_worst_event
S0_open_5_all,0.0,0,-38080.110815618085,-4.3655745685100555e-11,0,-38080.110815618085,-4.3655745685100555e-11
S0_open_5_1000,0.0,0,-29817.461984328023,7.275957614183426e-12,0,-29817.461984328023,7.275957614183426e-12
S0_open_10_all,0.0,0,-76036.08889923965,1.4551915228366852e-11,0,-76036.08889923965,1.4551915228366852e-11
S0_open_10_1000,0.0,0,-48830.972288657846,-7.275957614183426e-12,0,-48830.972288657846,-7.275957614183426e-12
S0_open_11_all,0.0,0,-83627.28451597165,-7.275957614183426e-11,0,-83627.28451597165,-7.275957614183426e-11
S0_open_11_1000,0.0,0,-52633.67434952762,0.0,0,-52633.67434952762,0.0
S0_open_12_all,0.0,0,-91218.4801326954,0.0,0,-91218.4801326954,0.0
S0_open_12_1000,0.0,0,-56436.376410393335,5.820766091346741e-11,0,-56436.376410393335,5.820766091346741e-11
S1_F1_open_5_all,5180.595626691065,92,5180.595626691065,-3419.2228598882502,74,-3995.953575799987,5757.3263426028025
S1_F1_open_5_1000,8875.465377552056,92,8875.465377552056,2395.941879893624,99,-4378.297753952946,15649.705011398626
S1_F1_open_6_all,5052.418929229214,92,5052.418929229214,-4989.104501866605,74,-4031.0648909599913,4094.3793183226007
S1_F1_open_6_1000,8776.962395462411,92,8776.962395462411,1093.1694418718107,99,-4488.755266743588,14358.88710407781
S1_F1_open_7_all,4924.242231767421,92,4924.242231767421,-6558.986143844435,74,-4066.176206119995,2431.432294042981
S1_F1_open_7_1000,8678.45941337281,92,8678.45941337281,-209.60299614956602,99,-4599.212779534188,13068.069196757431
S1_F1_open_10_all,4539.712139382042,92,4539.712139382042,-11268.631069777199,74,-4171.510151599974,-2557.408778795183
S1_F1_open_10_1000,8382.95046710402,92,8382.95046710402,-4117.920310213347,99,-4930.585317905941,9195.615474796614
S1_F1_open_11_all,4411.535441920176,92,4411.535441920176,-12838.512711756499,74,-4206.621466760022,-4220.3558030763015
S1_F1_open_11_1000,8284.447485014389,92,8284.447485014389,-5420.692748236019,99,-5041.042830696642,7904.797567475012
S1_F1_open_12_all,4283.358744458332,92,4283.358744458332,-14408.394353734162,74,-4241.732781920025,-5883.302827355805
S1_F1_open_12_1000,8185.944502924765,92,8185.944502924765,-6723.465186257272,99,-5151.500343487227,6613.9796601547205
S1_F1_post0935_5_all,7071.815570094055,92,7071.815570094055,-11194.233931393173,89,-5170.18607276996,1047.7677114708422
S1_F1_post0935_5_1000,11216.975783670045,92,11216.975783670045,-3117.7592789493356,95,-3332.9971010969894,11432.213605817698
S1_F1_post0935_6_all,6943.827900112818,92,6943.827900112818,-12764.893185672649,89,-5255.228420923962,-565.8368646358686
S1_F1_post0935_6_1000,11118.706835604018,92,11118.706835604018,-4421.082811539825,95,-3357.985975316405,10055.609999380598
S1_F1_post0935_7_all,6815.840230131616,92,6815.840230131616,-14335.552439951374,89,-5340.270769078001,-2179.441440741757
S1_F1_post0935_7_1000,11020.437887538012,92,11020.437887538012,-5724.406344129753,95,-3382.9748495357926,8679.006392944051
S1_F1_post0935_10_all,6431.877220188035,92,6431.877220188035,-19047.530202787166,89,-5595.397813539974,-7020.255169059159
S1_F1_post0935_10_1000,10725.631043340036,92,10725.631043340036,-9634.376941899318,95,-3457.941472193976,4549.195573634694
S1_F1_post0935_11_all,6303.889550206761,92,6303.889550206761,-20618.189457067565,89,-5680.44016169406,-8633.859745166745
S1_F1_post0935_11_1000,10627.362095273958,92,10627.362095273958,-10937.700474490688,95,-3482.9303464134136,3172.591967196684
S1_F1_post0935_12_all,6175.9018802255305,92,6175.9018802255305,-22188.848711346232,89,-5765.482509848025,-10247.464321272677
S1_F1_post0935_12_1000,10529.093147207954,92,10529.093147207954,-12241.024007080458,95,-3507.9192206328007,1795.988360760297
S2_F2_open_5_all,0.0,85,7043.076563634037,-266.4998780860042,86,-2598.035249267945,9374.611934815977
S2_F2_open_5_1000,0.0,85,6637.371928830034,-5772.020491938194,86,-2665.203540353956,3530.5549772457966
S2_F2_open_10_all,0.0,85,6275.450183268113,-8925.376786172972,86,-3021.539710535966,371.6131076311067
S2_F2_open_10_1000,0.0,85,5933.489505660109,-13102.743265877129,81,-3057.054500381935,-4112.199259835084
S2_F2_open_11_all,0.0,85,6121.924907194763,-10657.152167792105,86,-3106.2406027896286,-1428.9866578077126
S2_F2_open_11_1000,0.0,85,5792.713021025971,-14568.887820666387,81,-3176.107782220257,-5600.067017420159
S2_F2_open_12_all,0.0,85,5968.399631121531,-12388.927549409345,86,-3190.941495043233,-3229.586423244582
S2_F2_open_12_1000,0.0,85,5651.936536391942,-16035.03237545405,81,-3295.1610640584404,-7087.934775003667
