date,cash,hold_cash,shares,receivable,hold_receivable,tax_reserve,fee,tax,payment,hold_payment,deposit,external,equity,hold_equity,relative,pool_ex_external,relative_cash_pool
2020-01-02,18337.8911476,0.0,0,0,0,0.0,23.7288524,0.0,0.0,0.0,0.0,0.0,18337.8911476,18380.0,-42.108852400000615,18337.8911476,18337.8911476
2020-01-03,0.0,175.96902219999902,1000,0,0,0.0,5.3701698,0.0,0.0,0.0,175.96902219999902,175.96902219999902,18220.0,18395.9690222,-175.96902219999902,-175.96902219999902,-175.96902219999902
2020-01-06,17858.860257999997,175.96902219999902,0,0,0,0.0,23.239742,0.0,0.0,0.0,0.0,175.96902219999902,17858.860257999997,18075.9690222,-217.10876420000204,17682.891235799998,17682.891235799998
2020-01-07,0.0,260.38752260000183,1000,0,0,0.0,5.3587584,0.0,0.0,0.0,84.41850040000281,260.38752260000183,17860.0,18120.387522600002,-260.38752260000183,-260.38752260000183,-260.38752260000183
2020-01-08,17479.6274704,260.38752260000183,0,0,0,0.0,22.8525296,0.0,0.0,0.0,0.0,260.38752260000183,17479.6274704,17780.387522600002,-300.760052200003,17219.239947799997,17219.239947799997
2020-01-09,0.0,453.7634051999994,1000,0,0,0.0,5.353353,0.0,0.0,0.0,193.37588259999757,453.7634051999994,18300.0,18753.7634052,-453.7634051999994,-453.7634051999994,-453.7634051999994
2020-01-10,17988.5977906,453.7634051999994,0,0,0,0.0,23.372209400000003,0.0,0.0,0.0,0.0,453.7634051999994,17988.5977906,18483.7634052,-495.16561459999866,17534.8343854,17534.8343854
2020-01-13,0.0,508.54637499999444,1000,0,0,0.0,5.3607604,0.0,0.0,0.0,54.782969799995044,508.54637499999444,18610.0,19118.546374999994,-508.54637499999444,-508.54637499999444,-508.54637499999444
2020-01-14,18347.8709578,508.54637499999444,0,0,0,0.0,23.739042200000004,0.0,0.0,0.0,0.0,508.54637499999444,18347.8709578,18898.546374999994,-550.6754171999928,17839.324582800007,17839.324582800007
2020-01-15,0.0,534.3927841999903,1000,0,0,0.0,5.367367,0.0,0.0,0.0,25.846409199995833,534.3927841999903,18700.0,19234.39278419999,-534.3927841999903,-534.3927841999903,-534.3927841999903
2020-01-16,18367.8305782,534.3927841999903,0,0,0,0.0,23.759421800000002,0.0,0.0,0.0,0.0,534.3927841999903,18367.8305782,18944.39278419999,-576.5622059999914,17833.43779400001,17833.43779400001
2020-01-17,0.0,600.3407741999872,1000,0,0,0.0,5.3685682,0.0,0.0,0.0,65.94798999999693,600.3407741999872,18990.0,19590.340774199987,-600.3407741999872,-600.3407741999872,-600.3407741999872
2020-01-20,19295.9529268,600.3407741999872,0,0,0,0.0,24.7070732,0.0,0.0,0.0,0.0,600.3407741999872,19295.9529268,19940.340774199987,-644.3878473999866,18695.612152600013,18695.612152600013
2020-01-21,71.36854280000261,600.3407741999872,1000,0,0,0.0,5.384384,0.0,0.0,0.0,0.0,600.3407741999872,19161.368542800003,19690.340774199987,-528.9722313999846,-528.9722313999846,-528.9722313999846
2020-01-22,20874.272809800004,600.3407741999872,0,0,0,0.0,26.245733,0.0,0.0,0.0,0.0,600.3407741999872,20874.272809800004,21450.340774199987,-576.0679643999829,20273.932035600017,20273.932035600017
2020-01-23,348.36239980000755,600.3407741999872,1000,0,0,0.0,5.41041,0.0,0.0,0.0,0.0,600.3407741999872,20348.362399800008,20600.340774199987,-251.97837439997966,-251.97837439997966,-251.97837439997966
2020-02-03,348.36239980000755,600.3407741999872,1000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,600.3407741999872,18348.362399800008,18600.340774199987,-251.97837439997966,-251.97837439997966,-251.97837439997966
2020-02-04,18326.980380200006,600.3407741999872,0,0,0,0.0,23.3620196,0.0,0.0,0.0,0.0,600.3407741999872,18326.980380200006,18620.340774199987,-293.36039399998117,17726.63960600002,17726.63960600002
2020-02-05,143.45681700000932,600.3407741999872,1000,0,0,0.0,5.3635632,0.0,0.0,0.0,0.0,600.3407741999872,18833.45681700001,19290.340774199987,-456.8839571999779,-456.8839571999779,-456.8839571999779
2020-02-06,19020.25771540001,600.3407741999872,0,0,0,0.0,24.279101600000004,0.0,0.0,0.0,0.0,600.3407741999872,19020.25771540001,19520.340774199987,-500.08305879997715,18419.916941200023,18419.916941200023
2020-02-07,0.0,1505.3814567999761,1000,0,0,0.0,5.398398,0.0,0.0,0.0,905.0406825999889,1505.3814567999761,19300.0,20805.381456799976,-1505.3814567999761,-1505.3814567999761,-1505.3814567999761
