date,cash,hold_cash,shares,receivable,hold_receivable,tax_reserve,fee,tax,payment,hold_payment,deposit,external,equity,hold_equity,relative,pool_ex_external,relative_cash_pool
2020-01-02,18334.21889712,0.0,2000,0,0,0.0,23.72510288,0.0,0.0,0.0,0.0,0.0,55094.21889712,55140.0,-45.7811028799988,18334.21889712,18334.21889712
2020-01-03,18174.573901279997,183.33934664000117,2000,0,0,0.0,28.932342480000003,0.0,0.0,0.0,183.33934664000117,183.33934664000117,54614.57390128,54843.33934664,-228.76544536000438,17991.234554639996,17991.234554639996
2020-01-06,17992.885178639994,183.33934664000117,2000,0,0,0.0,28.596722640000003,0.0,0.0,0.0,0.0,183.33934664000117,53792.88517863999,53883.339346639994,-90.45416800000385,17809.545831999993,17809.545831999993
2020-01-07,17861.39500919999,183.33934664000117,2000,0,0,0.0,28.554169440000003,0.0,0.0,0.0,0.0,183.33934664000117,53581.39500919999,53763.33934664,-181.94433744001435,17678.05566255999,17678.05566255999
2020-01-08,17691.02523079999,183.33934664000117,2000,0,0,0.0,28.201778400000002,0.0,0.0,0.0,0.0,183.33934664000117,52731.02523079999,52743.33934664,-12.314115840010345,17507.68588415999,17507.68588415999
2020-01-09,18268.88820639999,183.33934664000117,2000,0,0,0.0,28.9970244,0.0,0.0,0.0,0.0,183.33934664000117,54868.88820639999,55083.33934664,-214.4511402400094,18085.54885975999,18085.54885975999
2020-01-10,17984.99546872,351.9117820800093,2000,0,0,0.0,28.73717312,0.0,0.0,0.0,168.57243544000812,351.9117820800093,54044.99546872,54441.91178208001,-396.91631336000864,17633.08368663999,17633.08368663999
2020-01-13,18563.708578640002,413.90114584001276,2000,0,0,0.0,29.320253840000003,0.0,0.0,0.0,61.98936376000347,413.90114584001276,55783.70857864,56243.90114584001,-460.1925672000143,18149.80743279999,18149.80743279999
2020-01-14,18344.19670936,527.9460148000107,2000,0,0,0.0,29.10873824,0.0,0.0,0.0,114.04486895999798,527.9460148000107,55124.196709359996,55697.94601480001,-573.7493054400111,17816.25069455999,17816.25069455999
2020-01-15,18653.508888800003,561.1367458400127,2000,0,0,0.0,29.4185516,0.0,0.0,0.0,33.19073104000199,561.1367458400127,56053.5088888,56661.13674584001,-607.62785704001,18092.37214295999,18092.37214295999
2020-01-16,18364.15233384,585.3813046400101,2000,0,0,0.0,29.129113760000003,0.0,0.0,0.0,24.24455879999732,585.3813046400101,55184.15233384,55815.38130464001,-631.2289708000098,17778.77102919999,17778.77102919999
2020-01-17,18942.865443759998,658.6896126400097,2000,0,0,0.0,29.71519808,0.0,0.0,0.0,73.30830799999967,658.6896126400097,56922.86544376,57628.68961264,-705.8241688800044,18284.17583111999,18284.17583111999
2020-01-20,19326.9202628,658.6896126400097,2000,0,0,0.0,30.081180960000005,0.0,0.0,0.0,0.0,658.6896126400097,58006.9202628,58678.68961264001,-671.7693498400113,18668.23065015999,18668.23065015999
2020-01-21,19141.13936816,658.6896126400097,2000,0,0,0.0,29.832894640000003,0.0,0.0,0.0,0.0,658.6896126400097,57321.13936816,57928.68961264001,-607.5502444800077,18482.44975551999,18482.44975551999
2020-01-22,21011.819434959998,658.6896126400097,2000,0,0,0.0,31.619933200000002,0.0,0.0,0.0,0.0,658.6896126400097,62711.819434959994,63208.68961264002,-496.8701776800226,20353.12982231999,20353.12982231999
2020-01-23,20432.433422959995,658.6896126400097,2000,0,0,0.0,30.786012,0.0,0.0,0.0,0.0,658.6896126400097,60432.43342295999,60658.68961264001,-226.256189680018,19773.743810319986,19773.743810319986
2020-02-03,2405.472990959992,658.6896126400097,3000,0,0,0.0,5.360432,0.0,0.0,0.0,0.0,658.6896126400097,56405.47299095999,54658.68961264001,1746.7833783199821,1746.7833783199821,1746.7833783199821
2020-02-04,20380.49064743999,658.6896126400097,2000,0,0,0.0,23.358343520000002,0.0,0.0,0.0,0.0,658.6896126400097,56420.49064743999,54718.68961264001,1701.8010347999807,19721.80103479998,19721.80103479998
2020-02-05,20836.86608815999,658.6896126400097,2000,0,0,0.0,29.40455928,0.0,0.0,0.0,0.0,658.6896126400097,58216.86608815999,56728.68961264002,1488.1764755199765,20178.17647551998,20178.17647551998
2020-02-06,21142.26760127999,658.6896126400097,2000,0,0,0.0,29.646486880000005,0.0,0.0,0.0,0.0,658.6896126400097,58982.26760127999,57418.68961264002,1563.577988639976,20483.57798863998,20483.57798863998
2020-02-07,20465.16674687999,658.6896126400097,2000,0,0,0.0,30.0608544,0.0,0.0,0.0,0.0,658.6896126400097,59065.166746879986,58558.68961264001,506.4771342399763,19806.47713423998,19806.47713423998
2020-02-10,20400.15123911999,658.6896126400097,2000,0,0,0.0,29.643507760000002,0.0,0.0,0.0,0.0,658.6896126400097,58220.151239119994,57388.68961264001,831.4616264799843,19741.46162647998,19741.46162647998
2020-02-11,20744.535525199986,658.6896126400097,2000,0,0,0.0,29.96771392,0.0,0.0,0.0,0.0,658.6896126400097,59204.535525199986,58348.68961264001,855.8459125599766,20085.845912559977,20085.845912559977
2020-02-12,20738.767906879984,658.6896126400097,2000,0,0,0.0,29.891618320000003,0.0,0.0,0.0,0.0,658.6896126400097,59038.767906879984,58108.68961264,930.0782942399819,20080.078294239975,20080.078294239975
2020-02-13,19974.583394319987,658.6896126400097,2000,0,0,0.0,29.14851256,0.0,0.0,0.0,0.0,658.6896126400097,56814.58339431998,55918.68961264002,895.8937816799662,19315.893781679977,19315.893781679977
2020-02-14,19991.591216479985,658.6896126400097,2000,0,0,0.0,29.06017784,0.0,0.0,0.0,0.0,658.6896126400097,56691.59121647998,55708.68961264002,982.9016038399641,19332.901603839975,19332.901603839975
2020-02-17,20666.515662479986,658.6896126400097,2000,0,0,0.0,29.919554,0.0,0.0,0.0,0.0,658.6896126400097,59046.515662479986,58228.68961264002,817.8260498399686,20007.826049839976,20007.826049839976
2020-02-18,20241.267274079986,658.6896126400097,2000,0,0,0.0,29.588388400000003,0.0,0.0,0.0,0.0,658.6896126400097,57941.26727407999,57208.68961264002,732.5776614399729,19582.577661439977,19582.577661439977
2020-02-19,20007.48865823999,658.6896126400097,2000,0,0,0.0,29.210615840000003,0.0,0.0,0.0,0.0,658.6896126400097,56987.48865823999,56128.68961264,858.7990455999898,19348.79904559998,19348.79904559998
2020-02-20,20153.073235519987,658.6896126400097,2000,0,0,0.0,29.53542272,0.0,0.0,0.0,0.0,658.6896126400097,57773.07323551999,57088.68961264,684.3836228799846,19494.383622879977,19494.383622879977
