date,cash,hold_cash,shares,receivable,hold_receivable,tax_reserve,fee,tax,payment,hold_payment,deposit,external,equity,hold_equity,relative,pool_ex_external,relative_cash_pool
2020-01-02,18334.21889712,0.0,2000,0,0,0.0,23.72510288,0.0,0.0,0.0,0.0,0.0,55094.21889712,55140.0,-45.7811028799988,18334.21889712,18334.21889712
2020-01-03,0.0,183.33934664000117,3000,0,0,0.0,5.37024376,0.0,0.0,0.0,183.33934664000117,183.33934664000117,54660.0,54843.33934664,-183.33934664000117,-183.33934664000117,-183.33934664000117
2020-01-06,0.0,183.33934664000117,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,183.33934664000117,53699.99999999999,53883.339346639994,-183.33934664000117,-183.33934664000117,-183.33934664000117
2020-01-07,0.0,183.33934664000117,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,183.33934664000117,53580.0,53763.33934664,-183.33934664000117,-183.33934664000117,-183.33934664000117
2020-01-08,0.0,183.33934664000117,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,183.33934664000117,52560.0,52743.33934664,-183.33934664000117,-183.33934664000117,-183.33934664000117
2020-01-09,0.0,183.33934664000117,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,183.33934664000117,54900.0,55083.33934664,-183.33934664000117,-183.33934664000117,-183.33934664000117
2020-01-10,17984.99546872,183.33934664000117,2000,0,0,0.0,23.368531280000003,0.0,0.0,0.0,0.0,183.33934664000117,54044.99546872,54273.33934664,-228.34387792000052,17801.65612208,17801.65612208
2020-01-13,0.0,245.32871040000464,3000,0,0,0.0,5.36083248,0.0,0.0,0.0,61.98936376000347,245.32871040000464,55830.0,56075.328710400005,-245.32871040000464,-245.32871040000464,-245.32871040000464
2020-01-14,18344.19670936,245.32871040000464,2000,0,0,0.0,23.735290640000002,0.0,0.0,0.0,0.0,245.32871040000464,55124.196709359996,55415.328710400005,-291.1320010400086,18098.867998959995,18098.867998959995
2020-01-15,0.0,278.51944144000663,3000,0,0,0.0,5.3674404000000004,0.0,0.0,0.0,33.19073104000199,278.51944144000663,56100.0,56378.51944144,-278.519441440003,-278.51944144000663,-278.51944144000663
2020-01-16,18364.15233384,278.51944144000663,2000,0,0,0.0,23.75566616,0.0,0.0,0.0,0.0,278.51944144000663,55184.15233384,55508.51944144,-324.3671076000028,18085.632892399994,18085.632892399994
2020-01-17,0.0,351.8277494400063,3000,0,0,0.0,5.36864184,0.0,0.0,0.0,73.30830799999967,351.8277494400063,56969.99999999999,57321.827749439995,-351.82774944000266,-351.8277494400063,-351.8277494400063
2020-01-20,19292.088872160002,351.8277494400063,2000,0,0,0.0,24.703127840000004,0.0,0.0,0.0,0.0,351.8277494400063,57972.088872160006,58371.82774944001,-399.7388772800041,18940.261122719996,18940.261122719996
2020-01-21,19106.307977520002,351.8277494400063,2000,0,0,0.0,29.832894640000003,0.0,0.0,0.0,0.0,351.8277494400063,57286.30797752,57621.82774944001,-335.51977192000777,18754.480228079996,18754.480228079996
2020-01-22,178.2495239200034,351.8277494400063,3000,0,0,0.0,5.3784536,0.0,0.0,0.0,0.0,351.8277494400063,62728.24952392001,62901.82774944001,-173.5782255200029,-173.5782255200029,-173.5782255200029
2020-01-23,20128.874003920002,351.8277494400063,2000,0,0,0.0,25.37552,0.0,0.0,0.0,0.0,351.8277494400063,60128.874003920006,60351.82774944001,-222.9537455200043,19777.046254479996,19777.046254479996
2020-02-03,2101.9135719199985,351.8277494400063,3000,0,0,0.0,5.360432,0.0,0.0,0.0,0.0,351.8277494400063,56101.91357192,54351.82774944001,1750.0858224799886,1750.0858224799922,1750.0858224799922
2020-02-04,2101.9135719199985,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,56161.91357192,54411.82774944001,1750.0858224799886,1750.0858224799922,1750.0858224799922
2020-02-05,2101.9135719199985,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,58171.913571920006,56421.82774944001,1750.0858224799958,1750.0858224799922,1750.0858224799922
2020-02-06,2101.9135719199985,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,58861.913571920006,57111.82774944001,1750.0858224799958,1750.0858224799922,1750.0858224799922
2020-02-07,2101.9135719199985,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,60001.91357192,58251.82774944001,1750.0858224799886,1750.0858224799922,1750.0858224799922
2020-02-10,2101.9135719199985,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,58831.91357192,57081.82774944001,1750.0858224799886,1750.0858224799922,1750.0858224799922
2020-02-11,21284.246509439996,351.8277494400063,2000,0,0,0.0,24.59106248,0.0,0.0,0.0,0.0,351.8277494400063,59744.246509439996,58041.82774944001,1702.418759999986,20932.41875999999,20932.41875999999
2020-02-12,2175.968451519995,351.8277494400063,3000,0,0,0.0,5.38205792,0.0,0.0,0.0,0.0,351.8277494400063,59625.96845151999,57801.827749439995,1824.1407020799961,1824.1407020799888,1824.1407020799888
2020-02-13,2175.968451519995,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,57435.968451520006,55611.82774944001,1824.1407020799961,1824.1407020799888,1824.1407020799888
2020-02-14,2175.968451519995,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,57225.968451520006,55401.82774944001,1824.1407020799961,1824.1407020799888,1824.1407020799888
2020-02-17,2175.968451519995,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,59745.968451520006,57921.82774944001,1824.1407020799961,1824.1407020799888,1824.1407020799888
2020-02-18,20979.144523919997,351.8277494400063,2000,0,0,0.0,24.203927600000004,0.0,0.0,0.0,0.0,351.8277494400063,58679.14452392,56901.82774944001,1777.3167744799866,20627.31677447999,20627.31677447999
2020-02-19,2301.3910763199965,351.8277494400063,3000,0,0,0.0,5.3734476,0.0,0.0,0.0,0.0,351.8277494400063,57771.39107631999,55821.827749439995,1949.5633268799938,1949.5633268799902,1949.5633268799902
2020-02-20,2301.3910763199965,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,58731.39107631999,56781.827749439995,1949.5633268799938,1949.5633268799902,1949.5633268799902
2020-02-21,2301.3910763199965,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,61101.391076320004,59151.82774944001,1949.5633268799938,1949.5633268799902,1949.5633268799902
2020-02-24,22391.70492768,351.8277494400063,2000,0,0,0.0,25.518148640000003,0.0,0.0,0.0,0.0,351.8277494400063,62671.704927679995,60771.82774944001,1899.8771782399854,22039.877178239993,22039.877178239993
2020-02-25,2712.731456079997,351.8277494400063,3000,0,0,0.0,5.3934716,0.0,0.0,0.0,0.0,351.8277494400063,62592.73145608,60231.82774944001,2360.9037066399906,2360.9037066399906,2360.9037066399906
2020-02-26,2712.731456079997,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,58842.73145608,56481.82774944001,2360.9037066399906,2360.9037066399906,2360.9037066399906
2020-02-27,2712.731456079997,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,59412.731456079986,57051.827749439995,2360.9037066399906,2360.9037066399906,2360.9037066399906
2020-02-28,19749.834762,351.8277494400063,2000,0,0,0.0,22.40069408,0.0,0.0,0.0,0.0,351.8277494400063,53909.834762,51591.827749439995,2318.007012560003,19398.007012559992,19398.007012559992
2020-03-02,2423.728346799995,351.8277494400063,3000,0,0,0.0,5.3464152,0.0,0.0,0.0,0.0,351.8277494400063,54743.7283468,52671.82774944001,2071.9005973599924,2071.9005973599888,2071.9005973599888
2020-03-03,2423.728346799995,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,54743.7283468,52671.82774944001,2071.9005973599924,2071.9005973599888,2071.9005973599888
2020-03-04,2423.728346799995,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,52703.7283468,50631.82774944001,2071.9005973599924,2071.9005973599888,2071.9005973599888
2020-03-05,2423.728346799995,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,53903.728346799995,51831.82774944001,2071.900597359985,2071.9005973599888,2071.9005973599888
2020-03-06,2423.728346799995,351.8277494400063,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.8277494400063,53393.72834679999,51321.827749439995,2071.9005973599924,2071.9005973599888,2071.9005973599888
