scenario,traded_disputed_day,reference,alternate_not_adopted,approx_cash_difference_if_confirmed
S1_F1_post0935_5_all,True,70.6,70.44,160.07999999999657
S1_F1_post0935_5_1000,True,70.6,70.44,160.07999999999657
S1_F1_post0935_6_all,True,70.6,70.44,160.09599999999656
S1_F1_post0935_6_1000,True,70.6,70.44,160.09599999999656
S1_F1_post0935_7_all,True,70.6,70.44,160.11199999999658
S1_F1_post0935_7_1000,True,70.6,70.44,160.11199999999658
S1_F1_post0935_10_all,True,70.6,70.44,160.15999999999656
S1_F1_post0935_10_1000,True,70.6,70.44,160.15999999999656
S1_F1_post0935_11_all,True,70.6,70.44,160.1759999999966
S1_F1_post0935_11_1000,True,70.6,70.44,160.1759999999966
S1_F1_post0935_12_all,True,70.6,70.44,160.1919999999966
S1_F1_post0935_12_1000,True,70.6,70.44,160.1919999999966
