inventory,bp,layer,n,cash,mean_pct
all,5,anomaly_unlocalized,122,7388.8347021203335,0.2139279723860456
all,5,full_day_consistent_unconfirmed,261,-5527.1232121694775,-0.2127388365498143
all,5,pre1450_price_discrepancy,25,4914.865195597158,0.20917521115970383
all,10,anomaly_unlocalized,122,3866.2742002404248,0.11417008409228192
all,10,full_day_consistent_unconfirmed,261,-9793.372128339533,-0.3126611313348439
all,10,pre1450_price_discrepancy,25,3277.1713251941983,0.10940227109390215
all,11,anomaly_unlocalized,122,3161.7620998637376,0.09421850643350836
all,11,full_day_consistent_unconfirmed,261,-10646.621911574402,-0.33264559029186896
all,11,pre1450_price_discrepancy,25,2949.6325511133327,0.08944768308072513
all,12,anomaly_unlocalized,122,2457.249999487791,0.07426692877475784
all,12,full_day_consistent_unconfirmed,261,-11499.871694808267,-0.3526300492488717
all,12,pre1450_price_discrepancy,25,2622.093777032678,0.06949309506756142
1000,5,anomaly_unlocalized,99,3379.456609153289,0.08547220229716758
1000,5,full_day_consistent_unconfirmed,219,-7086.0974419685535,-0.23993703620453835
1000,5,pre1450_price_discrepancy,23,4571.992269707145,0.20400790558378637
1000,10,anomaly_unlocalized,99,482.0589283063564,-0.014355027113301385
1000,10,full_day_consistent_unconfirmed,219,-10712.329261937582,-0.33987558919479105
1000,10,pre1450_price_discrepancy,23,3061.016573414191,0.10422867164926566
1000,11,anomaly_unlocalized,99,-97.42060786361071,-0.03432047299541656
1000,11,full_day_consistent_unconfirmed,219,-11437.575625932139,-0.3598632997928614
1000,11,pre1450_price_discrepancy,23,2758.8214341553467,0.08427282486234475
1000,12,anomaly_unlocalized,99,-676.900144032963,-0.054285918877508256
1000,12,full_day_consistent_unconfirmed,219,-12162.82198992583,-0.37985101039090874
1000,12,pre1450_price_discrepancy,23,2456.6262948966914,0.06431697807543672
