date,clock,entry,buy_cost,sale_net,single_gap,cash_before,tax_reserve,receivable,deposit,cumulative_deposit,zero_capital_pool_before
2020-01-03,09:25,2020-01-02,18513.8601698,18337.8911476,175.96902219999902,18337.8911476,0,0.0,175.96902219999902,175.96902219999902,18337.8911476
2020-01-07,09:25,2020-01-06,17943.2787584,17858.860257999997,84.41850040000281,17858.860257999997,0,0.0,84.41850040000281,260.38752260000183,17682.891235799998
2020-01-09,09:25,2020-01-08,17673.003352999996,17479.6274704,193.37588259999757,17479.6274704,0,0.0,193.37588259999757,453.7634051999994,17219.239947799997
2020-01-13,09:25,2020-01-10,18043.380760399996,17988.5977906,54.782969799995044,17988.5977906,0,0.0,54.782969799995044,508.54637499999444,17534.8343854
2020-01-15,09:25,2020-01-14,18373.717366999997,18347.8709578,25.846409199995833,18347.8709578,0,0.0,25.846409199995833,534.3927841999903,17839.324582800007
2020-01-17,09:25,2020-01-16,18433.778568199996,18367.8305782,65.94798999999693,18367.8305782,0,0.0,65.94798999999693,600.3407741999872,17833.43779400001
2020-01-21,09:25,2020-01-20,19224.584383999998,19295.9529268,0.0,19295.9529268,0,0.0,0.0,600.3407741999872,18695.612152600013
2020-01-23,09:25,2020-01-22,20525.910409999997,20802.904267,0.0,20874.272809800004,0,0.0,0.0,600.3407741999872,20273.932035600017
2020-02-05,09:25,2020-02-04,18183.523563199997,17978.6179804,204.90558279999823,18326.980380200006,0,0.0,0.0,600.3407741999872,17726.63960600002
2020-02-07,09:25,2020-02-06,19925.298398,18876.8008984,1048.4974995999983,19020.25771540001,0,0.0,905.0406825999889,1505.3814567999761,18419.916941200023
2020-02-11,09:25,2020-02-10,18834.186576199998,18866.8210882,0.0,18866.8210882,0,0.0,0.0,1505.3814567999761,17361.439631400022
2020-02-13,09:25,2020-02-12,19134.492582199997,19106.336532999998,28.15604919999896,19138.971045,0,0.0,0.0,1505.3814567999761,17633.589588200022
2020-02-17,09:25,2020-02-14,18463.8091688,18307.951717,155.85745179999867,18312.4301798,0,0.0,151.3789889999971,1656.7604457999732,16807.048723000025
2020-02-19,09:25,2020-02-18,18674.023372999996,18806.942227000003,0.0,18806.942227000003,0,0.0,0.0,1656.7604457999732,17150.18178120003
2020-02-21,09:25,2020-02-20,18694.043773399997,18767.022986199998,0.0,18899.941840200005,0,0.0,0.0,1656.7604457999732,17243.18139440003
2020-02-25,09:25,2020-02-24,19675.043392999996,20094.337742800002,0.0,20300.23580960001,0,0.0,0.0,1656.7604457999732,18643.475363800037
2020-02-27,09:25,2020-02-26,18664.013172799998,18667.2248842,0.0,19292.417300800014,0,0.0,0.0,1656.7604457999732,17635.65685500004
2020-03-02,09:25,2020-02-28,17322.646345999998,17040.515821599998,282.13052439999956,17668.919949600015,0,0.0,0.0,1656.7604457999732,16012.159503800041
2020-03-04,09:25,2020-03-03,17252.5749446,17399.788988800003,0.0,17746.06259240002,0,0.0,0.0,1656.7604457999732,16089.302146600046
2020-03-06,09:25,2020-03-05,16852.1669366,17120.3543032,0.0,17613.84195100002,0,0.0,0.0,1656.7604457999732,15957.081505200047
2020-03-10,09:25,2020-03-09,16001.299919599998,16142.3329036,0.0,16904.00791800002,0,0.0,0.0,1656.7604457999732,15247.247472200048
2020-03-12,09:25,2020-03-11,16271.575324999998,16501.6060708,0.0,17404.314069200023,0,0.0,0.0,1656.7604457999732,15747.55362340005
2020-03-16,09:25,2020-03-13,15700.9939136,15613.402963,87.5909505999989,16746.141707200026,0,0.0,0.0,1656.7604457999732,15089.381261400053
2020-03-18,09:25,2020-03-17,14069.331280999999,13876.9159882,192.4152927999985,14922.063781800027,0,0.0,0.0,1656.7604457999732,13265.303336000054
2020-03-20,09:25,2020-03-19,13698.953873599998,13477.7235802,221.23029339999812,14330.456081000028,0,0.0,0.0,1656.7604457999732,12673.695635200054
2020-03-24,09:25,2020-03-23,12768.005254999998,12489.722370399999,278.2828845999993,13121.224577800029,0,0.0,0.0,1656.7604457999732,11464.464132000056
2020-03-26,09:25,2020-03-25,13428.678468199998,13517.642821000001,0.0,13870.862143800032,0,0.0,0.0,1656.7604457999732,12214.101698000059
2020-03-30,09:25,2020-03-27,12858.097056799998,13038.6119314,0.0,13480.795607000035,0,0.0,0.0,1656.7604457999732,11824.035161200061
2020-04-01,09:25,2020-03-31,13148.3928626,13178.329274200001,0.0,13801.027824400038,0,0.0,0.0,1656.7604457999732,12144.267378600065
2020-04-03,09:25,2020-04-02,13919.178277999998,13946.7746596,0.0,14599.409621400038,0,0.0,0.0,1656.7604457999732,12942.649175600065
2020-04-08,09:25,2020-04-07,14069.331280999999,14116.431433,0.0,14796.66277640004,0,0.0,0.0,1656.7604457999732,13139.902330600067
2020-04-10,09:25,2020-04-09,13959.219078799999,13916.835228999998,42.38384980000046,14644.16672440004,0,0.0,0.0,1656.7604457999732,12987.406278600067
2020-04-14,09:25,2020-04-13,13298.5458656,13118.450413,180.09545259999868,13803.398058600042,0,0.0,0.0,1656.7604457999732,12146.637612800068
2020-04-16,09:25,2020-04-15,13769.025274999998,13836.996747399999,0.0,14341.848940400041,0,0.0,0.0,1656.7604457999732,12685.088494600068
2020-04-20,09:25,2020-04-17,14079.341481199997,13956.7544698,122.58701139999721,14529.578135200043,0,0.0,0.0,1656.7604457999732,12872.81768940007
2020-04-22,09:25,2020-04-21,14079.341481199997,14126.4112432,0.0,14576.647897200046,0,0.0,0.0,1656.7604457999732,12919.887451400073
2020-04-24,09:25,2020-04-23,13979.2394792,13926.8150392,52.42443999999887,14424.12145520005,0,0.0,0.0,1656.7604457999732,12767.361009400076
2020-04-28,09:25,2020-04-27,14029.290480199998,13916.835228999998,112.45525119999911,14361.717205000048,0,0.0,0.0,1656.7604457999732,12704.956759200075
2020-04-30,09:25,2020-04-29,14329.596486199998,14206.2497248,123.34676139999829,14538.67644960005,0,0.0,0.0,1656.7604457999732,12881.916003800077
2020-05-07,09:25,2020-05-06,14770.045294999998,14725.1998552,44.84543979999762,14934.279818600053,0,0.0,0.0,1656.7604457999732,13277.51937280008
2020-05-11,09:25,2020-05-08,14519.790289999999,14405.8459288,113.94436119999955,14570.080452400054,0,0.0,0.0,1656.7604457999732,12913.32000660008
2020-05-13,09:25,2020-05-12,14119.382281999999,14196.2699146,0.0,14246.560077000055,0,0.0,0.0,1656.7604457999732,12589.799631200081
2020-05-15,09:25,2020-05-14,13759.015074799998,13657.3601638,101.65491099999781,13784.537958800056,0,0.0,0.0,1656.7604457999732,12127.777513000083
2020-05-19,09:25,2020-05-18,13558.811070799999,13457.7639598,101.04711099999804,13483.286843800059,0,0.0,75.52422699993986,1732.284672799913,11826.526398000085
2020-05-21,09:25,2020-05-20,13899.157877599999,13817.037127,82.12075059999916,13817.037127,0,0.0,82.12075059999916,1814.4054233999123,12084.752454200087
2020-05-25,09:25,2020-05-22,13268.515264999998,13228.2283252,40.286939799998436,13228.2283252,0,0.0,40.286939799998436,1854.6923631999107,11413.822901800087
2020-05-27,09:25,2020-05-26,13578.831471199997,13467.74377,111.08770119999826,13467.74377,0,0.0,111.08770119999826,1965.780064399909,11613.051406800088
2020-05-29,09:25,2020-05-28,13418.668267999998,13427.824529200001,0.0,13427.824529200001,0,0.0,0.0,1965.780064399909,11462.044464800092
2020-06-02,09:25,2020-06-01,13919.178277999998,13846.9765576,72.2017203999967,13856.132818800004,0,0.0,63.045459199993275,2028.8255235999022,11890.352754400095
2020-06-04,09:25,2020-06-03,14269.535284999998,14186.290104400001,83.24518059999718,14186.290104400001,0,0.0,83.24518059999718,2112.0707041998994,12157.464580800099
2020-06-08,09:25,2020-06-05,14269.535284999998,14046.5727616,222.96252339999774,14046.5727616,0,0.0,222.96252339999774,2335.033227599897,11934.502057400101
2020-06-10,09:25,2020-06-09,14579.851491199997,14515.623841,64.22765019999679,14515.623841,0,0.0,64.22765019999679,2399.260877799894,12180.590613400103
2020-06-12,09:25,2020-06-11,13718.974273999998,13986.6939004,0.0,13986.6939004,0,0.0,0.0,2399.260877799894,11587.433022600106
2020-06-16,09:25,2020-06-15,13759.015074799998,13637.4005434,121.61453139999867,13905.1201698,0,0.0,0.0,2399.260877799894,11505.859292000107
2020-06-18,09:25,2020-06-17,14269.535284999998,14216.229535,53.305749999997715,14362.334630000003,0,0.0,0.0,2399.260877799894,11963.073752200109
2020-06-22,09:25,2020-06-19,14379.647487199998,14316.027637,63.61985019999884,14408.826982000004,0,0.0,0.0,2399.260877799894,12009.56610420011
2020-06-24,09:25,2020-06-23,14169.433282999998,14076.5121922,92.92109079999864,14105.691687000006,0,0.0,63.74159599999257,2463.0024737998865,11706.430809200112
2020-06-30,09:25,2020-06-29,15210.494103799998,15184.2711244,26.222979399997712,15184.2711244,0,0.0,26.222979399997712,2489.225453199884,12721.268650600114
2020-07-02,09:25,2020-07-01,15360.6471068,15383.8673284,0.0,15383.8673284,0,0.0,0.0,2489.225453199884,12894.641875200115
2020-07-06,09:25,2020-07-03,16231.534524199997,15872.8780282,358.65649599999597,15896.098249800001,0,0.0,335.43627439999545,2824.6617275998797,13406.872796600117
2020-07-08,09:25,2020-07-07,16321.626325999998,16341.929107599999,0.0,16341.929107599999,0,0.0,0.0,2824.6617275998797,13517.26738000012
2020-07-10,09:25,2020-07-09,16702.013933599996,16681.242654399997,20.77127919999839,16701.545436,0,0.0,0.4684975999953167,2825.130225199875,13876.88370840012
2020-07-14,09:25,2020-07-13,16551.8609306,16461.68683,90.17410060000111,16461.68683,0,0.0,90.17410060000111,2915.304325799876,13636.556604800124
2020-07-16,09:25,2020-07-15,16151.452922599996,16162.292523999999,0.0,16162.292523999999,0,0.0,0.0,2915.304325799876,13246.988198200122
2020-07-20,09:25,2020-07-17,14900.177897599999,14755.1392858,145.03861179999876,14765.978887200003,0,0.0,134.19901039999604,3049.503336199872,11850.674561400127
2020-07-22,09:25,2020-07-21,15460.749108799999,15393.8471386,66.90197019999869,15393.8471386,0,0.0,66.90197019999869,3116.405306399871,12344.343802400128
2020-07-24,09:25,2020-07-23,14940.218698399998,14944.7556796,0.0,14944.7556796,0,0.0,0.0,3116.405306399871,11828.35037320013
2020-07-28,09:25,2020-07-27,14169.433282999998,13976.7140902,192.7191927999993,13981.251071400002,0,0.0,188.18221159999666,3304.5875179998675,10864.845765000131
