date,clock,entry,buy_cost,sale_net,single_gap,cash_before,tax_reserve,receivable,deposit,cumulative_deposit,zero_capital_pool_before
2020-01-03,09:25,2020-01-02,18513.8601698,18337.8911476,175.96902219999902,18337.8911476,0.0,0.0,175.96902219999902,175.96902219999902,18337.8911476
2020-01-06,09:25,2020-01-03,18033.370560199997,18178.2141844,0.0,18178.2141844,0.0,0.0,0.0,175.96902219999902,18002.2451622
2020-01-07,09:25,2020-01-06,17943.2787584,17858.860257999997,84.41850040000281,18003.7038822,0.0,0.0,0.0,175.96902219999902,17827.73486
2020-01-08,09:25,2020-01-07,17642.972752399997,17818.9410172,0.0,17879.366141,0.0,0.0,0.0,175.96902219999902,17703.3971188
2020-01-09,09:25,2020-01-08,17673.003352999996,17479.6274704,193.37588259999757,17716.020859,0.0,0.0,0.0,175.96902219999902,17540.0518368
2020-01-10,09:25,2020-01-09,18433.778568199996,18258.052666,175.7259021999962,18301.070172000003,0.0,0.0,132.70839619999242,308.67741839999144,18125.101149800004
2020-01-13,09:25,2020-01-10,18043.380760399996,17988.5977906,54.782969799995044,17988.5977906,0.0,0.0,54.782969799995044,363.4603881999865,17679.92037220001
2020-01-14,09:25,2020-01-13,18674.023372999996,18567.4267822,106.59659079999619,18567.4267822,0.0,0.0,106.59659079999619,470.0569789999827,18203.966394000014
2020-01-15,09:25,2020-01-14,18373.717366999997,18347.8709578,25.846409199995833,18347.8709578,0.0,0.0,25.846409199995833,495.9033881999785,17877.81397880002
2020-01-16,09:25,2020-01-15,18674.023372999996,18657.245074,16.778298999997787,18657.245074,0.0,0.0,16.778298999997787,512.6816871999763,18161.34168580002
2020-01-17,09:25,2020-01-16,18433.778568199996,18367.8305782,65.94798999999693,18367.8305782,0.0,0.0,65.94798999999693,578.6296771999732,17855.148891000023
2020-01-20,09:25,2020-01-17,18904.2579776,18946.6595698,0.0,18946.6595698,0.0,0.0,0.0,578.6296771999732,18368.029892600025
2020-01-21,09:25,2020-01-20,19224.584383999998,19295.9529268,0.0,19338.354519,0.0,0.0,0.0,578.6296771999732,18759.724841800027
2020-01-22,09:25,2020-01-21,18924.278378,19046.4576718,0.0,19160.2278068,0.0,0.0,0.0,578.6296771999732,18581.59812960003
2020-01-23,09:25,2020-01-22,20525.910409999997,20802.904267,0.0,21038.853695800004,0.0,0.0,0.0,578.6296771999732,20460.22401860003
2020-02-03,09:25,2020-01-23,18023.360359999995,19954.6204,0.0,20467.563685800007,0.0,0.0,0.0,578.6296771999732,19888.934008600034
2020-02-05,09:25,2020-02-04,18183.523563199997,17978.6179804,204.90558279999823,20422.82130620001,0.0,0.0,0.0,578.6296771999732,19844.191629000037
2020-02-06,09:25,2020-02-05,18563.9111708,18647.2652638,0.0,20886.563006800014,0.0,0.0,0.0,578.6296771999732,20307.93332960004
2020-02-07,09:25,2020-02-06,19925.298398,18876.8008984,1048.4974995999983,21199.452734400016,0.0,0.0,0.0,578.6296771999732,20620.823057200043
2020-02-10,09:25,2020-02-07,18924.278378,19256.033686000002,0.0,20530.18802240002,0.0,0.0,0.0,578.6296771999732,19951.558345200046
2020-02-11,09:25,2020-02-10,18834.186576199998,18866.8210882,0.0,20472.73073260002,0.0,0.0,0.0,578.6296771999732,19894.101055400046
2020-02-12,09:25,2020-02-11,19104.461981599998,19186.1750146,0.0,20824.719171000022,0.0,0.0,0.0,578.6296771999732,20246.08949380005
2020-02-13,09:25,2020-02-12,19134.492582199997,19106.336532999998,28.15604919999896,20826.593722400023,0.0,0.0,0.0,578.6296771999732,20247.96404520005
2020-02-14,09:25,2020-02-13,18283.6255652,18377.8103884,0.0,20069.911528600027,0.0,0.0,0.0,578.6296771999732,19491.281851400054
2020-02-17,09:25,2020-02-14,18463.8091688,18307.951717,155.85745179999867,20094.237680400027,0.0,0.0,0.0,578.6296771999732,19515.608003200054
2020-02-18,09:25,2020-02-17,19224.584383999998,19146.2557738,78.32861019999837,20776.684285400028,0.0,0.0,0.0,578.6296771999732,20198.054608200055
2020-02-19,09:25,2020-02-18,18674.023372999996,18806.942227000003,0.0,20359.042128400033,0.0,0.0,0.0,578.6296771999732,19780.41245120006
2020-02-20,09:25,2020-02-19,18613.962171799998,18447.6690598,166.29311199999938,20132.687815200035,0.0,0.0,0.0,578.6296771999732,19554.058138000062
2020-02-21,09:25,2020-02-20,18694.043773399997,18767.022986199998,0.0,20285.748629600035,0.0,0.0,0.0,578.6296771999732,19707.118952400062
2020-02-24,09:25,2020-02-21,19775.145394999996,19555.427992,219.7174029999951,21147.13284820004,0.0,0.0,0.0,578.6296771999732,20568.503171000066
2020-02-25,09:25,2020-02-24,19675.043392999996,20094.337742800002,0.0,21466.325196000045,0.0,0.0,0.0,578.6296771999732,20887.695518800072
2020-02-26,09:25,2020-02-25,19574.941391,19914.7011592,0.0,21705.98296220005,0.0,0.0,0.0,578.6296771999732,21127.353285000077
2020-02-27,09:25,2020-02-26,18664.013172799998,18667.2248842,0.0,20798.26645540005,0.0,0.0,0.0,578.6296771999732,20219.636778200078
2020-02-28,09:25,2020-02-27,18103.441961599998,18856.841278,0.0,20991.094560600053,0.0,0.0,0.0,578.6296771999732,20412.46488340008
2020-03-02,09:25,2020-02-28,17322.646345999998,17040.515821599998,282.13052439999956,19928.168420600054,0.0,0.0,0.0,578.6296771999732,19349.53874340008
2020-03-03,09:25,2020-03-02,17853.1869566,17399.788988800003,453.39796779999597,20005.31106340006,0.0,0.0,0.0,578.6296771999732,19426.681386200085
2020-03-04,09:25,2020-03-03,17252.5749446,17399.788988800003,0.0,19551.913095600063,0.0,0.0,0.0,578.6296771999732,18973.28341840009
2020-03-05,09:25,2020-03-04,17122.442342,16721.161895200003,401.28044679999584,19020.500046200064,0.0,0.0,0.0,578.6296771999732,18441.87036900009
2020-03-06,09:25,2020-03-05,16852.1669366,17120.3543032,0.0,19018.412007400068,0.0,0.0,0.0,578.6296771999732,18439.782330200094
2020-03-09,09:25,2020-03-06,16702.013933599996,16950.6975298,0.0,19116.94260060007,0.0,0.0,0.0,578.6296771999732,18538.312923400095
2020-03-10,09:25,2020-03-09,16001.299919599998,16142.3329036,0.0,18557.261570600072,0.0,0.0,0.0,578.6296771999732,17978.6318934001
2020-03-11,09:25,2020-03-10,16692.003733399997,16551.5051218,140.49861159999637,19107.466772800075,0.0,0.0,0.0,578.6296771999732,18528.8370956001
2020-03-12,09:25,2020-03-11,16271.575324999998,16501.6060708,0.0,18917.06911020008,0.0,0.0,0.0,578.6296771999732,18338.439433000105
2020-03-13,09:25,2020-03-12,15200.483903599998,16062.494422000002,0.0,18707.988207200084,0.0,0.0,0.0,578.6296771999732,18129.35853000011
2020-03-16,09:25,2020-03-13,15700.9939136,15613.402963,87.5909505999989,19120.907266600087,0.0,0.0,0.0,578.6296771999732,18542.277589400113
2020-03-17,09:25,2020-03-16,14409.678087799997,14266.128586,143.5495017999965,17686.04193900009,0.0,0.0,0.0,578.6296771999732,17107.412261800117
2020-03-18,09:25,2020-03-17,14069.331280999999,13876.9159882,192.4152927999985,17153.279839400093,0.0,0.0,0.0,578.6296771999732,16574.65016220012
2020-03-19,09:25,2020-03-18,13568.821270999999,13527.6226312,41.198639799999,16611.571189600094,0.0,0.0,0.0,578.6296771999732,16032.94151240012
2020-03-20,09:25,2020-03-19,13698.953873599998,13477.7235802,221.23029339999812,16520.473498800093,0.0,0.0,0.0,578.6296771999732,15941.84382160012
