scenario,start,recovered,duration_calendar_days,peak_deficit,peak_date,open_at_end
S0_open_5_all,2021-10-20,2023-06-19,607,23185.420913098904,2023-04-26,False
S0_open_5_all,2023-06-21,2023-06-30,9,2102.652483648839,2023-06-27,False
S0_open_5_all,2023-07-10,2023-07-11,1,147.8622062488066,2023-07-10,False
S0_open_5_all,2023-07-12,2023-07-13,1,1492.9415273988016,2023-07-12,False
S0_open_5_all,2023-07-19,2023-08-07,19,3350.628074298773,2023-07-28,False
S0_open_5_all,2023-08-09,2024-03-19,223,22462.165852698643,2023-10-23,False
S0_open_5_all,2024-03-25,2024-04-26,32,3101.2974030484183,2024-04-11,False
S0_open_5_all,2024-05-06,2024-05-20,14,1294.5473769983582,2024-05-14,False
S0_open_5_all,2024-05-21,2024-06-21,31,3785.025459698303,2024-06-12,False
S0_open_5_all,2024-06-24,2024-06-28,4,622.5540487982544,2024-06-26,False
S0_open_5_all,2024-07-04,2024-07-09,5,141.72448984824587,2024-07-04,False
S0_open_5_all,2024-07-17,2024-07-18,1,469.1285941482274,2024-07-17,False
S0_open_5_all,2024-07-19,2024-07-22,3,285.0796752482238,2024-07-19,False
S0_open_5_all,2024-07-23,2024-10-08,77,4631.263092098143,2024-08-27,False
S0_open_5_all,2024-10-09,2025-08-12,307,26341.274139447836,2025-04-07,False
S0_open_5_all,2026-09-11,,0,38080.110815618114,2026-09-11,True
S0_open_5_1000,2020-01-03,2020-01-06,3,157.54321109999728,2020-01-03,False
S0_open_5_1000,2020-01-07,2020-01-08,1,224.06066129999817,2020-01-07,False
S0_open_5_1000,2020-01-09,2020-01-10,1,399.8603025999983,2020-01-09,False
S0_open_5_1000,2020-01-13,2020-01-14,1,436.6272874999959,2020-01-13,False
S0_open_5_1000,2020-01-15,2020-01-16,1,444.1128920999945,2020-01-15,False
S0_open_5_1000,2020-01-17,2020-01-20,3,491.6600870999901,2020-01-17,False
S0_open_5_1000,2020-01-21,2020-01-22,1,401.0312156999898,2020-01-21,False
S0_open_5_1000,2020-01-23,2020-02-04,12,103.37278719999084,2020-01-23,False
S0_open_5_1000,2020-02-05,2020-02-06,1,290.19737859998713,2020-02-05,False
S0_open_5_1000,2020-02-07,2020-02-10,3,1319.2943283999812,2020-02-07,False
S0_open_5_1000,2020-02-11,2020-02-12,1,1267.8092723999798,2020-02-11,False
S0_open_5_1000,2020-02-13,2020-02-14,1,1276.8448969999808,2020-02-13,False
S0_open_5_1000,2020-02-17,2020-02-18,1,1414.3165228999787,2020-02-17,False
S0_open_5_1000,2020-02-19,2020-02-20,1,1262.65709589998,2020-02-19,False
S0_open_5_1000,2020-02-21,2020-02-24,3,1170.947289499978,2020-02-21,False
S0_open_5_1000,2020-02-25,2020-02-26,1,731.7680145999802,2020-02-25,False
S0_open_5_1000,2020-02-27,2020-02-28,1,709.8906588999816,2020-02-27,False
S0_open_5_1000,2020-03-02,2020-03-03,1,974.8397210999829,2020-03-02,False
S0_open_5_1000,2020-03-04,2020-03-05,1,810.2993989999777,2020-03-04,False
S0_open_5_1000,2020-03-06,2020-03-09,3,525.1256156999771,2020-03-06,False
S0_open_5_1000,2020-03-10,2020-03-11,1,368.0207236999759,2020-03-10,False
S0_open_5_1000,2020-03-12,2020-03-13,1,121.60325079997892,2020-03-12,False
S0_open_5_1000,2020-03-16,2020-03-17,1,193.53702609997708,2020-03-16,False
S0_open_5_1000,2020-03-18,2020-03-19,1,371.9792724999752,2020-03-18,False
S0_open_5_1000,2020-03-20,2020-03-23,3,579.6213191999741,2020-03-20,False
S0_open_5_1000,2020-03-24,2020-03-25,1,845.275461499974,2020-03-24,False
S0_open_5_1000,2020-03-26,2020-03-27,1,742.8378850999725,2020-03-26,False
S0_open_5_1000,2020-03-30,2020-03-31,1,549.3745477999728,2020-03-30,False
S0_open_5_1000,2020-04-01,2020-04-02,1,506.2747419999705,2020-04-01,False
S0_open_5_1000,2020-04-03,2020-04-07,4,464.7453511999684,2020-04-03,False
S0_open_5_1000,2020-04-08,2020-04-09,1,403.55227519996697,2020-04-08,False
S0_open_5_1000,2020-04-10,2020-04-13,3,431.99810009996327,2020-04-10,False
S0_open_5_1000,2020-04-14,2020-04-15,1,598.8851263999622,2020-04-14,False
S0_open_5_1000,2020-04-16,2020-04-17,1,517.1105901999617,2020-04-16,False
S0_open_5_1000,2020-04-20,2020-04-21,1,625.6795958999592,2020-04-20,False
S0_open_5_1000,2020-04-22,2020-04-23,1,564.5069148999592,2020-04-22,False
