scenario,single_gap_max,single_gap_date,single_gap_entry,peak_deposit,peak_date,first_deposit,days_first_to_peak,days_first_to_cutoff,retained_deposit_yuan_days,unreturned,withdrawals,terminal_receivable,terminal_tax_reserve,incremental_pool_deficit_excluding_hold_dividends,incremental_pool_peak_date
S0_open_5_all,4348.957669793992,2025-09-23,2025-09-22,33679.13438618633,2025-10-29,2020-01-03,2126,2443,44248546.06226887,33679.13438618633,0.0,0,0.0,41839.13438618633,2025-10-29
S0_open_5_1000,4348.957669793992,2025-09-23,2025-09-22,27253.83477470303,2026-09-09,2020-01-03,2441,2443,26856733.433631457,27253.83477470303,0.0,0,0.0,30953.834774703028,2026-09-09
S0_open_10_all,4421.550351587997,2025-09-23,2025-09-22,66568.00128958566,2026-09-09,2020-01-03,2441,2443,72825119.54604334,66568.00128958566,0.0,0,0.0,77668.00128958566,2026-09-09
S0_open_10_1000,4421.550351587997,2025-09-23,2025-09-22,46204.07614740786,2026-09-09,2020-01-03,2441,2443,40509681.476097584,46204.07614740786,0.0,0,0.0,49904.07614740786,2026-09-09
S0_open_11_all,4436.068887946807,2025-09-23,2025-09-22,74133.5723927523,2026-09-09,2020-01-03,2441,2443,78741635.60459113,74133.5723927523,0.0,0,0.0,85233.5723927523,2026-09-09
S0_open_11_1000,4436.068887946807,2025-09-23,2025-09-22,49994.12442195263,2026-09-09,2020-01-03,2441,2443,43443272.412836045,49994.12442195263,0.0,0,0.0,53694.12442195263,2026-09-09
S0_open_12_all,4450.587424305602,2025-09-23,2025-09-22,81699.1434959106,2026-09-09,2020-01-03,2441,2443,84686296.78782663,81699.1434959106,0.0,0,0.0,92799.1434959106,2026-09-09
S0_open_12_1000,4450.587424305602,2025-09-23,2025-09-22,53784.1726964933,2026-09-09,2020-01-03,2441,2443,46386219.87403099,53784.1726964933,0.0,0,0.0,57484.1726964933,2026-09-09
S1_F1_open_5_all,4265.148596750994,2025-10-29,2025-10-28,2394.613608199757,2023-05-31,2020-01-03,1244,2443,3876164.4281520657,2394.613608199757,0.0,0,0.0,9999.865504083537,2025-09-02
S1_F1_open_5_1000,1932.5882208599944,2026-06-01,2026-05-29,2952.366592249764,2024-01-22,2020-01-03,1480,2443,4472494.657578206,2952.366592249764,0.0,0,0.0,4452.366592249764,2024-01-22
