date,minimum_old_shares,outstanding_before,bought_today
2020-01-02,1000,0,0
2020-01-10,1000,0,0
2020-01-14,1000,0,0
2020-01-16,1000,0,0
2020-01-20,1000,0,0
2020-01-21,2000,0,1
2020-01-23,1000,0,0
2020-02-11,1000,0,0
2020-02-18,1000,0,0
2020-02-24,1000,0,0
2020-02-28,1000,0,0
2020-03-11,1000,0,0
2020-03-25,1000,0,0
2020-03-26,2000,0,1
2020-04-03,1000,0,0
2020-04-15,1000,0,0
2020-04-17,1000,0,0
2020-04-21,1000,0,0
2020-04-23,1000,0,0
2020-04-29,1000,0,0
2020-05-06,1000,0,0
2020-05-07,2000,0,1
2020-05-20,1000,0,0
2020-05-27,1000,0,0
2020-06-01,1000,0,0
2020-06-02,2000,0,1
2020-06-17,1000,0,0
2020-06-19,1000,0,0
2020-06-29,1000,0,0
2020-07-02,1000,0,0
2020-07-03,2000,0,1
2020-07-09,1000,0,0
2020-07-14,1000,0,0
2020-07-21,1000,0,0
2020-07-22,2000,0,1
2020-07-30,1000,0,0
2020-08-13,1000,0,0
2020-08-18,1000,0,0
2020-08-28,1000,0,0
2020-08-31,2000,0,1
2020-09-02,1000,0,0
2020-09-09,1000,0,0
2020-09-14,1000,0,0
2020-09-15,2000,0,1
2020-09-21,1000,0,0
2020-10-13,1000,0,0
2020-10-21,1000,0,0
2020-10-23,1000,0,0
2020-10-28,1000,0,0
2020-11-04,1000,0,0
2020-11-06,1000,0,0
2020-11-16,1000,0,0
2020-12-02,1000,0,0
2020-12-09,1000,0,0
2020-12-15,1000,0,0
2020-12-18,1000,0,0
2020-12-24,1000,0,0
2020-12-28,1000,0,0
2020-12-31,1000,0,0
2021-01-06,1000,0,0
2021-01-13,1000,0,0
2021-01-14,2000,0,1
2021-01-19,1000,0,0
2021-01-26,1000,0,0
2021-02-05,1000,0,0
2021-02-10,1000,0,0
2021-02-18,2000,0,1
2021-02-22,1000,0,0
2021-02-25,1000,0,0
2021-03-04,1000,0,0
2021-03-08,1000,0,0
2021-03-17,1000,0,0
2021-03-18,2000,0,1
2021-03-31,1000,0,0
2021-04-08,1000,0,0
2021-04-20,1000,0,0
2021-04-22,1000,0,0
2021-04-28,1000,0,0
2021-05-07,1000,0,0
2021-05-13,1000,0,0
2021-05-19,1000,0,0
2021-05-26,1000,0,0
2021-06-01,1000,0,0
2021-06-02,2000,0,1
2021-06-08,1000,0,0
2021-06-18,1000,0,0
2021-06-25,1000,0,0
2021-07-06,1000,0,0
2021-07-07,2000,0,1
2021-07-16,1000,0,0
2021-07-20,1000,0,0
2021-07-21,2000,0,1
2021-08-02,1000,0,0
2021-08-03,2000,0,1
2021-08-11,1000,0,0
2021-08-17,1000,0,0
2021-08-19,1000,0,0
2021-09-02,1000,0,0
2021-09-08,1000,0,0
2021-10-11,1000,0,0
2021-10-14,1000,0,0
2021-10-20,1000,0,0
2021-10-25,1000,0,0
2021-11-01,1000,0,0
2021-11-05,1000,0,0
2021-11-12,1000,0,0
2021-11-16,1000,0,0
2021-11-22,1000,0,0
2021-12-01,1000,0,0
2021-12-06,1000,0,0
2021-12-09,1000,0,0
2021-12-10,2000,0,1
