rule,samples,direction,cash,mean,original_mean
S0,1623,independent opposite buy/sell candidate only,-131511.47060837405,-0.32727591657662203,-0.1580071170123271
S1_F1,341,independent opposite buy/sell candidate only,-39771.64349125104,-0.34650676603120045,-0.1384753084010654
S1_F2,375,independent opposite buy/sell candidate only,-22739.43742877509,-0.28146026085976306,-0.19859589285825993
S1_F3,295,independent opposite buy/sell candidate only,-35510.2961155521,-0.2435361461017978,-0.1943363517975946
S1_F4,237,independent opposite buy/sell candidate only,-27872.430329447365,-0.3919405858043552,-0.055906345312539046
S1_F5,192,independent opposite buy/sell candidate only,-11082.139313474581,-0.23435122140092865,-0.26048875922078735
S1_F6,603,independent opposite buy/sell candidate only,-37117.038492986605,-0.2896999244687434,-0.1991486983140235
S1_F7,764,independent opposite buy/sell candidate only,-76093.296164679,-0.35393733449604425,-0.1257872637823024
S1_F8,342,independent opposite buy/sell candidate only,-30538.13258484123,-0.3710169430658186,-0.11393238366382226
S2_F1,310,independent opposite buy/sell candidate only,-22116.22924544622,-0.24500157183732366,-0.23744483974427907
S2_F2,411,independent opposite buy/sell candidate only,-50288.23917809602,-0.46027304378037903,-0.019589362425909702
S2_F3,294,independent opposite buy/sell candidate only,-24125.35220872404,-0.2267875169610833,-0.21197029067260015
S2_F4,244,independent opposite buy/sell candidate only,-28973.254526426346,-0.4042111190827179,-0.045581522007309146
S2_F5,190,independent opposite buy/sell candidate only,-16390.46455286962,-0.4410324118014401,-0.05737956787224786
S2_F6,599,independent opposite buy/sell candidate only,-49260.392436985676,-0.3078470421541878,-0.18154641947989056
