scenario,rule,window,bp,n,years,months,mean,median,win,cash,mean_cash,pf,pf_cash,worst,worst_cash,tail5,tail5_cash,longest_loss,fee,max_extra_cash,need_extra_n
S0_open_5,S0,open,5,1623,7,81,-0.1580071170123271,-0.2039058190314309,38.817005545286506,-32234.609243117986,-19.861127075242134,0.7222344842433968,0.8688022870445579,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1489.7142897971535,17,43829.449243122006,4348.957669793992,990
S0_open_10,S0,open,10,1623,7,81,-0.2579208043779901,-0.3038133372982059,34.62723351817621,-70287.30955423955,-43.30702991635216,0.5920799662116741,0.7375450245282659,-10.305722231838008,-4421.550351587986,-3.9916620548383284,-1542.5670871106274,21,43816.989554244,4421.550351587997,1057
S0_open_11,S0,open,11,1623,7,81,-0.2779035418511433,-0.3237948409515856,33.57979051139864,-77897.84961647185,-47.99621048457908,0.5694628708281345,0.7140189527570795,-10.32671763882494,-4436.0688879468125,-4.0120233960315455,-1553.2860590265807,21,43814.497616468405,4436.068887946807,1074
S0_open_12,S0,open,12,1623,7,81,-0.2978862793242738,-0.34377634460493445,32.778804682686385,-85508.38967869536,-52.68539105280059,0.5478890043429389,0.6913198677918471,-10.347713045811842,-4450.587424305596,-4.0323847372247394,-1564.005030942521,43,43812.0056786928,4450.587424305602,1087
S1_F1_open_5,S1_F1,open,5,341,7,81,-0.1384753084010654,-0.20189097164350003,39.002932551319645,3535.490901752922,10.368008509539361,0.7482835526669829,1.0731578924535836,-10.200745196903522,-4265.148596750993,-4.01099676849547,-1390.6724977205504,16,9614.179098248002,4265.148596750994,208
S1_F1_open_6,S1_F1,open,6,341,7,81,-0.15845613700441222,-0.22186939745371514,38.41642228739003,1833.9792893025606,5.378238385051497,0.7182467501095369,1.0372444590992573,-10.221740603890424,-4280.355957301189,-4.031369993589653,-1400.7967287313313,16,9613.6247106976,4280.355957301188,210
S1_F1_open_7,S1_F1,open,7,341,7,81,-0.1784369656077487,-0.24184782326388823,37.5366568914956,132.46767685315353,0.38846826056643263,0.6895857492676344,1.002640648367365,-10.242736010877326,-4295.563317851399,-4.051743218683836,-1410.9209597421109,16,9613.070323147202,4295.563317851396,213
S1_F1_open_10,S1_F1,open,10,341,7,81,-0.23837945141775657,-0.3017831006944285,34.60410557184751,-4972.067160495073,-14.580842112888778,0.6112716555878344,0.9062000850451646,-10.305722231838008,-4341.185399502001,-4.112862893966362,-1441.2936527744382,22,9611.407160496,4341.185399501992,223
S1_F1_open_11,S1_F1,open,11,341,7,81,-0.25836028002111594,-0.32176152650464357,34.31085043988269,-6673.578772946448,-19.570612237379613,0.5875459398201769,0.8763820078719221,-10.32671763882494,-4356.3927600521965,-4.133236119060562,-1451.417883785227,22,9610.8527729456,4356.3927600522,224
S1_F1_open_12,S1_F1,open,12,341,7,81,-0.2783411086244511,-0.3417399523148377,34.31085043988269,-8375.090385395793,-24.560382361864498,0.5647978931489174,0.8476255203680002,-10.347713045811842,-4371.600120602407,-4.1536093441547415,-1461.5421147960044,22,9610.2983853952,4371.600120602408,224
S1_F1_post0935_5,S1_F1,post0935,5,341,7,81,-0.20338788566060848,-0.2551697977647731,43.6950146627566,-3358.8153313991074,-9.849898332548703,0.7335811434144981,0.9520109419164454,-10.200745196903522,-6656.691276503985,-5.16220502625877,-2016.247526226271,12,9615.040331400001,6656.691276503989,191
S1_F1_post0935_6,S1_F1,post0935,6,341,7,81,-0.223375206550394,-0.27515979776476246,43.401759530791786,-5061.016529679809,-14.84169070287334,0.7116892676034988,0.9285723544637854,-10.221740603890424,-6672.137671804797,-5.182681992207411,-2026.5127810493084,12,9614.48652968,6672.137671804798,192
S1_F1_post0935_7,S1_F1,post0935,7,341,7,81,-0.2433625274401695,-0.2951497977647711,43.10850439882698,-6763.217727959693,-19.83348307319558,0.6904488373708462,0.9057003472746176,-10.242736010877326,-6687.584067105594,-5.203158958156044,-2036.778035872341,12,9613.93272796,6687.584067105592,193
S1_F1_post0935_10,S1_F1,post0935,10,341,7,81,-0.3033244901094943,-0.3551197977647584,41.348973607038126,-11869.821322799107,-34.8088601841616,0.6307095244920863,0.84047731057185,-10.305722231838008,-6733.923253008,-5.264589856001941,-2067.573800341439,14,9612.271322800001,6733.923253008004,199
S1_F1_post0935_11,S1_F1,post0935,11,341,7,81,-0.32331181099929146,-0.37510979776476705,41.05571847507331,-13572.02252108079,-39.80065255448912,0.6119584637302774,0.8197955995757111,-10.32671763882494,-6749.369648308797,-5.285066821950592,-2077.839055164482,14,9611.71752108,6749.369648308799,200
S1_F1_post0935_12,S1_F1,post0935,12,341,7,81,-0.3432991318890665,-0.3950997977647758,41.05571847507331,-15274.223719360594,-44.79244492481113,0.5937448900839916,0.7996112668754435,-10.347713045811842,-6764.816043609609,-5.305543787899226,-2088.1043099875124,14,9611.16371936,6764.816043609608,200
S2_F2_open_5,S2_F2,open,5,411,7,80,-0.019589362425909702,-0.20189817022356837,38.19951338199513,9745.43141359803,23.71151195522635,0.9594937369046391,1.193072692703289,-6.391240648360583,-3438.487468817994,-2.747493333499029,-1170.6436232784697,31,10806.503586403001,3438.4874688179916,254
