date,clock,side,quantity,reference,value,fee,tax,deposit,cash,shares,entry
2020-01-02,15:00,SELL,1000,18.38,18357.944,23.72510288,0.0,0.0,18334.21889712,2000,2020-01-02
2020-01-03,09:25,BUY,1000,18.49,18512.188000000002,5.37024376,0.0,183.33934664000117,0.0,3000,2020-01-02
2020-01-03,15:00,SELL,1000,18.22,18198.136,23.56209872,0.0,0.0,18174.573901279997,2000,2020-01-03
2020-01-06,09:25,BUY,1000,18.01,18031.612,5.36063224,0.0,0.0,137.6012690399948,3000,2020-01-03
2020-01-06,15:00,SELL,1000,17.9,17878.52,23.236090400000002,0.0,0.0,17992.885178639994,2000,2020-01-06
2020-01-07,09:25,BUY,1000,17.92,17941.504,5.35883008,0.0,0.0,46.02234855999268,3000,2020-01-06
2020-01-07,15:00,SELL,1000,17.86,17838.568,23.195339360000002,0.0,0.0,17861.39500919999,2000,2020-01-07
2020-01-08,09:25,BUY,1000,17.62,17641.144,5.35282288,0.0,0.0,214.8981863199915,3000,2020-01-07
2020-01-08,15:00,SELL,1000,17.52,17498.976,22.84895552,0.0,0.0,17691.02523079999,2000,2020-01-08
2020-01-09,09:25,BUY,1000,17.65,17671.18,5.3534236,0.0,0.0,14.491807199989125,3000,2020-01-08
2020-01-09,15:00,SELL,1000,18.3,18278.04,23.6436008,0.0,0.0,18268.88820639999,2000,2020-01-09
2020-01-10,09:25,BUY,1000,18.41,18432.092,5.36864184,0.0,168.57243544000812,0.0,3000,2020-01-09
2020-01-10,15:00,SELL,1000,18.03,18008.364,23.368531280000003,0.0,0.0,17984.99546872,2000,2020-01-10
2020-01-13,09:25,BUY,1000,18.02,18041.624000000003,5.36083248,0.0,61.98936376000347,0.0,3000,2020-01-10
2020-01-13,15:00,SELL,1000,18.61,18587.668,23.959421360000004,0.0,0.0,18563.708578640002,2000,2020-01-13
2020-01-14,09:25,BUY,1000,18.65,18672.38,5.3734476,0.0,114.04486895999798,0.0,3000,2020-01-13
2020-01-14,15:00,SELL,1000,18.39,18367.932,23.735290640000002,0.0,0.0,18344.19670936,2000,2020-01-14
2020-01-15,09:25,BUY,1000,18.35,18372.02,5.3674404000000004,0.0,33.19073104000199,0.0,3000,2020-01-14
2020-01-15,15:00,SELL,1000,18.7,18677.56,24.0511112,0.0,0.0,18653.508888800003,2000,2020-01-15
