date,clock,side,quantity,reference,value,fee,tax,deposit,cash,shares,entry
2020-01-02,15:00,SELL,1000,18.38,18370.81,23.738226200000003,0.0,0.0,18347.071773800002,0,2020-01-02
2020-01-03,09:25,BUY,1000,18.49,18499.245,5.3699849,0.0,157.54321109999728,0.0,1000,2020-01-02
2020-01-06,15:00,SELL,1000,17.9,17891.05,23.248871,0.0,0.0,17867.801129,0,2020-01-06
2020-01-07,09:25,BUY,1000,17.92,17928.96,5.3585792,0.0,66.5174502000009,0.0,1000,2020-01-06
2020-01-08,15:00,SELL,1000,17.52,17511.24,22.861464800000004,0.0,0.0,17488.3785352,0,2020-01-08
2020-01-09,09:25,BUY,1000,17.65,17658.825,5.3531765,0.0,175.79964130000008,0.0,1000,2020-01-08
2020-01-10,15:00,SELL,1000,18.03,18020.985,23.3814047,0.0,0.0,17997.6035953,0,2020-01-10
2020-01-13,09:25,BUY,1000,18.02,18029.01,5.3605802,0.0,36.766984899997624,0.0,1000,2020-01-10
2020-01-14,15:00,SELL,1000,18.39,18380.805,23.7484211,0.0,0.0,18357.0565789,0,2020-01-14
2020-01-15,09:25,BUY,1000,18.35,18359.175,5.3671835,0.0,7.485604599998624,0.0,1000,2020-01-14
2020-01-16,15:00,SELL,1000,18.41,18400.795000000002,23.768810900000002,0.0,0.0,18377.0261891,0,2020-01-16
2020-01-17,09:25,BUY,1000,18.41,18419.204999999998,5.3683841,0.0,47.547194999995554,0.0,1000,2020-01-16
2020-01-20,15:00,SELL,1000,19.34,19330.33,24.716936600000004,0.0,0.0,19305.6130634,0,2020-01-20
2020-01-21,09:25,BUY,1000,19.2,19209.6,5.384192,0.0,0.0,90.62887140000021,1000,2020-01-20
2020-01-22,15:00,SELL,1000,20.85,20839.575,26.256366500000002,0.0,0.0,20903.9475049,0,2020-01-22
2020-01-23,09:25,BUY,1000,20.5,20510.25,5.410205,0.0,0.0,388.2872998999992,1000,2020-01-22
