date,clock,side,quantity,reference,value,fee,tax,deposit,cash,shares,entry
2020-01-02,15:00,SELL,1000,18.38,18357.944,23.72510288,0.0,0.0,18334.21889712,2000,2020-01-02
2020-01-03,09:25,BUY,1000,18.49,18512.188000000002,5.37024376,0.0,183.33934664000117,0.0,3000,2020-01-02
2020-01-10,15:00,SELL,1000,18.03,18008.364,23.368531280000003,0.0,0.0,17984.99546872,2000,2020-01-10
2020-01-13,09:25,BUY,1000,18.02,18041.624000000003,5.36083248,0.0,61.98936376000347,0.0,3000,2020-01-10
2020-01-14,15:00,SELL,1000,18.39,18367.932,23.735290640000002,0.0,0.0,18344.19670936,2000,2020-01-14
2020-01-15,09:25,BUY,1000,18.35,18372.02,5.3674404000000004,0.0,33.19073104000199,0.0,3000,2020-01-14
2020-01-16,15:00,SELL,1000,18.41,18387.908,23.75566616,0.0,0.0,18364.15233384,2000,2020-01-16
2020-01-17,09:25,BUY,1000,18.41,18432.092,5.36864184,0.0,73.30830799999967,0.0,3000,2020-01-16
2020-01-20,15:00,SELL,1000,19.34,19316.792,24.703127840000004,0.0,0.0,19292.088872160002,2000,2020-01-20
2020-01-21,09:25,BUY,1000,19.2,19223.04,5.3844608,0.0,0.0,63.664411360001395,3000,2020-01-20
2020-01-21,15:00,SELL,1000,19.09,19067.092,24.448433840000003,0.0,0.0,19106.307977520002,2000,2020-01-21
2020-01-22,09:25,BUY,1000,18.9,18922.68,5.3784536,0.0,0.0,178.2495239200034,3000,2020-01-21
2020-01-23,15:00,SELL,1000,20.0,19976.0,25.37552,0.0,0.0,20128.874003920002,2000,2020-01-23
2020-02-03,09:25,BUY,1000,18.0,18021.600000000002,5.360432,0.0,0.0,2101.9135719199985,3000,2020-01-23
2020-02-11,15:00,SELL,1000,19.23,19206.924,24.59106248,0.0,0.0,21284.246509439996,2000,2020-02-11
2020-02-12,09:25,BUY,1000,19.08,19102.896,5.38205792,0.0,0.0,2175.968451519995,3000,2020-02-11
2020-02-18,15:00,SELL,1000,18.85,18827.38,24.203927600000004,0.0,0.0,20979.144523919997,2000,2020-02-18
2020-02-19,09:25,BUY,1000,18.65,18672.38,5.3734476,0.0,0.0,2301.3910763199965,3000,2020-02-18
2020-02-24,15:00,SELL,1000,20.14,20115.832000000002,25.518148640000003,0.0,0.0,22391.70492768,2000,2020-02-24
