date,clock,side,quantity,reference,value,fee,tax,deposit,cash,shares,entry
2020-01-02,15:00,SELL,1000,18.38,18370.81,23.738226200000003,0.0,0.0,18347.071773800002,0,2020-01-02
2020-01-03,09:40,BUY,1000,18.47,18479.235,5.3695847,0.0,137.5328109000002,0.0,1000,2020-01-02
2020-01-10,15:00,SELL,1000,18.03,18020.985,23.3814047,0.0,0.0,17997.6035953,0,2020-01-10
2020-01-13,09:40,BUY,1000,17.85,17858.925,5.3571785,0.0,0.0,133.32141680000132,1000,2020-01-10
2020-01-14,15:00,SELL,1000,18.39,18380.805,23.7484211,0.0,0.0,18490.3779957,0,2020-01-14
2020-01-15,09:40,BUY,1000,18.51,18519.254999999997,5.3703851,0.0,34.24738939999588,0.0,1000,2020-01-14
2020-01-16,15:00,SELL,1000,18.41,18400.795000000002,23.768810900000002,0.0,0.0,18377.0261891,0,2020-01-16
2020-01-17,09:40,BUY,1000,18.4,18409.2,5.368184,0.0,37.541994899998826,0.0,1000,2020-01-16
2020-01-20,15:00,SELL,1000,19.34,19330.33,24.716936600000004,0.0,0.0,19305.6130634,0,2020-01-20
2020-01-21,09:40,BUY,1000,19.26,19269.629999999997,5.3853926,0.0,0.0,30.59767080000165,1000,2020-01-20
2020-01-23,15:00,SELL,1000,20.0,19990.0,25.3898,0.0,0.0,19995.2078708,0,2020-01-23
2020-02-03,09:40,BUY,1000,18.0,18009.0,5.36018,0.0,0.0,1980.8476908000011,1000,2020-01-23
2020-02-11,15:00,SELL,1000,19.23,19220.385000000002,24.604792700000004,0.0,0.0,21176.627898100003,0,2020-02-11
2020-02-12,09:40,BUY,1000,18.92,18929.46,5.3785892,0.0,0.0,2241.7893089000027,1000,2020-02-11
2020-02-18,15:00,SELL,1000,18.85,18840.575,24.217386500000003,0.0,0.0,21058.146922400003,0,2020-02-18
2020-02-19,09:40,BUY,1000,18.62,18629.309999999998,5.3725862,0.0,0.0,2423.464336200006,1000,2020-02-18
2020-02-24,15:00,SELL,1000,20.14,20129.93,25.532528600000003,0.0,0.0,22527.861807600006,0,2020-02-24
2020-02-25,09:40,BUY,1000,19.96,19969.98,5.3993996,0.0,0.0,2552.482408000007,1000,2020-02-24
2020-02-28,15:00,SELL,1000,17.08,17071.46,22.4128892,0.0,0.0,19601.529518800005,0,2020-02-28
2020-03-02,09:40,BUY,1000,17.17,17178.585,5.3435717,0.0,0.0,2417.600947100007,1000,2020-02-28
2020-03-11,15:00,SELL,1000,16.54,16531.73,21.8623646,0.0,0.0,18927.468582500005,0,2020-03-11
2020-03-12,09:40,BUY,1000,16.31,16318.154999999997,5.3263631,0.0,0.0,2603.9872194000072,1000,2020-03-11
2020-03-25,15:00,SELL,1000,13.55,13543.225,18.8140895,0.0,0.0,16128.398129900008,0,2020-03-25
