scenario,delay,increment,deposits,delta_deposit
S0_open_5_all,1,-38080.11081561813,33679.13438618633,0.0
S0_open_5_all,3,-38080.11081561813,33679.13438618633,0.0
S0_open_5_1000,1,-29817.461984328016,27253.83477470303,0.0
S0_open_5_1000,3,-29817.461984328016,27253.83477470303,0.0
S0_open_10_all,1,-76036.08889923964,66568.00128958566,0.0
S0_open_10_all,3,-76036.08889923964,66568.00128958566,0.0
S0_open_10_1000,1,-48830.97228865785,46204.07614740786,0.0
S0_open_10_1000,3,-48830.97228865785,46204.07614740786,0.0
S0_open_11_all,1,-83627.28451597173,74133.5723927523,0.0
S0_open_11_all,3,-83627.28451597173,74133.5723927523,0.0
S0_open_11_1000,1,-52633.674349527624,49994.12442195263,0.0
S0_open_11_1000,3,-52633.67434952765,49994.124421952656,2.9103830456733704e-11
S0_open_12_all,1,-91218.4801326954,81699.1434959106,0.0
S0_open_12_all,3,-91218.4801326954,81699.1434959106,0.0
S0_open_12_1000,1,-56436.376410393284,53784.172696493304,0.0
S0_open_12_1000,3,-56436.376410393284,53784.172696493304,0.0
S1_F1_open_5_all,1,1761.372766802815,2394.6136081997574,0.0
S1_F1_open_5_all,3,1761.372766802815,2394.6136081997574,0.0
S1_F1_open_5_1000,1,11271.40725744568,2952.366592249764,0.0
S1_F1_open_5_1000,3,11271.40725744568,2952.366592249764,0.0
S1_F1_open_6_all,1,63.31442736260942,2863.657849839936,0.0
S1_F1_open_6_all,3,63.31442736260942,2863.657849839936,0.0
S1_F1_open_6_1000,1,9870.131837334222,3408.827170699926,0.0
S1_F1_open_6_1000,3,9870.131837334222,3408.827170699926,0.0
S1_F1_open_7_all,1,-1634.743912077014,3711.4769217174708,0.0
S1_F1_open_7_all,3,-1634.743912077014,3711.4769217174708,0.0
S1_F1_open_7_1000,1,8468.856417223244,3865.287749149922,0.0
S1_F1_open_7_1000,3,8468.856417223244,3865.287749149922,0.0
S1_F1_open_10_all,1,-6728.918930395157,6523.450072903466,0.0
S1_F1_open_10_all,3,-6728.918930395157,6523.450072903466,0.0
S1_F1_open_10_1000,1,4265.0301568906725,5234.669484499724,0.0
S1_F1_open_10_1000,3,4265.0301568906725,5234.669484499724,0.0
S1_F1_open_11_all,1,-8426.977269836323,7471.044827394835,0.0
S1_F1_open_11_all,3,-8426.977269836323,7471.044827394835,0.0
S1_F1_open_11_1000,1,2863.75473677837,5691.130062950215,0.0
S1_F1_open_11_1000,3,2863.75473677837,5691.130062950215,0.0
S1_F1_open_12_all,1,-10125.03560927583,8418.639581885134,0.0
S1_F1_open_12_all,3,-10125.03560927583,8418.639581885134,0.0
S1_F1_open_12_1000,1,1462.4793166674935,6147.590641400164,0.0
S1_F1_open_12_1000,3,1462.4793166674935,6147.590641400164,0.0
S1_F1_post0935_5_all,1,-4122.418361299118,6309.483404110448,0.0
S1_F1_post0935_5_all,3,-4122.418361299118,6309.483404110448,0.0
S1_F1_post0935_5_1000,1,8099.216504720709,3317.648115149783,0.0
S1_F1_post0935_5_1000,3,8099.216504720709,3317.648115149783,0.0
S1_F1_post0935_6_all,1,-5821.065285559831,7339.151284533047,0.0
