scenario,price_fee_missed_dividend,fifo_dividend_tax,terminal_reserve,net
S0_open_5_all,-36600.1108156198,1480.0,0.0,-38080.11081561813
S0_open_5_1000,-29571.461984328915,246.0,0.0,-29817.461984328016
S0_open_10_all,-74556.08889924121,1480.0,0.0,-76036.08889923964
S0_open_10_1000,-48584.97228865858,246.0,0.0,-48830.97228865785
S0_open_11_all,-82147.28451597091,1480.0,0.0,-83627.28451597173
S0_open_11_1000,-52387.67434952727,246.0,0.0,-52633.67434952762
S0_open_12_all,-89738.48013269482,1480.0,0.0,-91218.4801326954
S0_open_12_1000,-56190.37641039304,246.0,0.0,-56436.37641039328
S1_F1_open_5_all,3590.372766802482,1829.0,0.0,1761.372766802815
S1_F1_open_5_1000,11971.40725744541,700.0,0.0,11271.40725744568
S1_F1_open_6_all,1892.3144273625458,1829.0,0.0,63.31442736260942
S1_F1_open_6_1000,10570.131837334116,700.0,0.0,9870.131837334222
S1_F1_open_7_all,194.25608792289677,1829.0,0.0,-1634.743912077014
S1_F1_open_7_1000,9168.856417223069,700.0,0.0,8468.856417223244
S1_F1_open_10_all,-4899.918930395443,1829.0,0.0,-6728.918930395157
S1_F1_open_10_1000,4965.030156890425,700.0,0.0,4265.0301568906725
S1_F1_open_11_all,-6597.977269836223,1829.0,0.0,-8426.977269836323
S1_F1_open_11_1000,3563.754736778488,700.0,0.0,2863.75473677837
S1_F1_open_12_all,-8296.035609275681,1829.0,0.0,-10125.03560927583
S1_F1_open_12_1000,2162.4793166676354,700.0,0.0,1462.4793166674935
S1_F1_post0935_5_all,-2293.4183612994857,1829.0,0.0,-4122.418361299118
S1_F1_post0935_5_1000,8799.216504720454,700.0,0.0,8099.216504720709
S1_F1_post0935_6_all,-3992.0652855598382,1829.0,0.0,-5821.065285559831
S1_F1_post0935_6_1000,7397.624024064155,700.0,0.0,6697.624024064193
S1_F1_post0935_7_all,-5690.712209819863,1829.0,0.0,-7519.712209819758
S1_F1_post0935_7_1000,5996.031543408111,700.0,0.0,5296.031543408259
S1_F1_post0935_10_all,-10786.652982599451,1829.0,0.0,-12615.652982599133
S1_F1_post0935_10_1000,1791.254101440425,700.0,0.0,1091.254101440718
S1_F1_post0935_11_all,-12485.299906860642,1829.0,0.0,-14314.299906860804
S1_F1_post0935_11_1000,389.66162078345224,700.0,0.0,-310.33837921672966
S1_F1_post0935_12_all,-14183.946831120606,1829.0,0.0,-16012.946831120702
S1_F1_post0935_12_1000,-1011.9308598724947,700.0,0.0,-1711.9308598725038
S2_F2_open_5_all,8256.576685547558,1480.0,0.0,6776.576685548032
S2_F2_open_5_1000,1605.3514368914948,740.0,0.0,865.3514368918404
S2_F2_open_10_all,-1169.9266029052997,1480.0,0.0,-2649.9266029048595
S2_F2_open_10_1000,-6429.253760217356,740.0,0.0,-7169.25376021702
S2_F2_open_11_all,-3055.227260597183,1480.0,0.0,-4535.227260597341
S2_F2_open_11_1000,-8036.174799640287,740.0,0.0,-8776.174799640416
S2_F2_open_12_all,-4940.527918287635,1480.0,0.0,-6420.527918287815
S2_F2_open_12_1000,-9643.095839061978,740.0,0.0,-10383.095839062107
